# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = POS_RESPONSE_TO_HISTAMINE_DN (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 3.02075e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   132158     3   52321836   52329272      8       2  1000       1.2068       0.1075   -5.3975e-06       1.2068
_SET1_   440        7   97481429   97501854     59      12  1000       1.2866     0.094196   -5.3975e-06       1.2866
_SET1_   83940      8  125500735  125551329     93      13  1000      0.23471      0.39286   -5.3975e-06      0.23471
_SET1_   2553      15   50569389   50647605    167       8  1000       3.3735   0.00029941   -5.3975e-06       3.3735
_SET1_   79091     16    8715497    8740079     34       5  1000     -0.77229      0.76594   -5.3975e-06     -0.77228
_SET1_   81620     16   88870186   88875666     13       3  1000        2.342    0.0086418   -5.3975e-06        2.342
_SET1_   9611      17   15933408   16118874    260       6  1000       1.0618      0.12729   -5.3975e-06       1.0618
_SET1_   9441      19   16685718   16739015     50       8  1000       1.5202     0.058653   -5.3975e-06       1.5202
_SET1_   8894      20   32676115   32700085     24       5  1000      -1.1606      0.86939   -5.3975e-06      -1.1605
_SET1_   8813      20   49551404   49575081     25       6  1000      0.32694      0.35683   -5.3975e-06      0.32695
_SET1_   84861     22   20795806   20850170     92       6  1000     -0.18807      0.55231   -5.3975e-06     -0.18807
