# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = OKAWA_NEUROBLASTOMA_1P36_31_DELETION (set)
# _SET1_  NGENES = 22
# _SET1_  P-VALUE = 5.86575e-06
_SET1_   GENE     CHR    START     STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   55966      1  4715105  4843851    499      76  1000       0.1097      0.45018   -1.9617e-06      0.10971
_SET1_   261734     1  5922870  6052618    317      13  1000      0.49691       0.2875   -1.9617e-06      0.49691
_SET1_   8514       1  6052358  6161253    240      40  1000       2.1885     0.013241   -1.9617e-06       2.1885
_SET1_   26038      1  6161847  6240194    263      25  1000        1.631     0.047025   -1.9617e-06        1.631
_SET1_   6146       1  6245080  6259679     30       5  1000       2.1098     0.016161   -1.9617e-06       2.1098
_SET1_   388591     1  6266189  6281359     31       4  1000      0.78314      0.20869   -1.9617e-06      0.78314
_SET1_   23463      1  6281253  6296044     20       4  1000     -0.21287      0.57474   -1.9617e-06     -0.21287
_SET1_   390992     1  6304252  6305638      3       1  1000      0.34328      0.34884   -1.9617e-06      0.34328
_SET1_   387509     1  6307406  6321035     32       2  1000      0.17668      0.40729   -1.9617e-06      0.17668
_SET1_   11332      1  6324332  6453826    324      17  1000       2.3435    0.0085233   -1.9617e-06       2.3435
_SET1_   54626      1  6475292  6484724     25       4  1000       1.1946      0.11074   -1.9617e-06       1.1946
_SET1_   83715      1  6484836  6521004     95      10  1000       1.8443     0.030308   -1.9617e-06       1.8443
_SET1_   8718       1  6520787  6527432     17       5  1000       3.0983   0.00090958   -1.9617e-06       3.0983
_SET1_   57449      1  6526152  6580121    128      22  1000       2.7123    0.0030698   -1.9617e-06       2.7123
_SET1_   79707      1  6581407  6614658    106       2  1000      0.66594      0.23488   -1.9617e-06      0.66594
_SET1_   80835      1  6614987  6639817     51       9  1000       1.5863     0.052809   -1.9617e-06       1.5863
_SET1_   3104       1  6640051  6649340      3       1  1000     -0.15614      0.54624   -1.9617e-06     -0.15614
_SET1_   9903       1  6650784  6662958     16       3  1000      0.94847      0.15857   -1.9617e-06      0.94847
_SET1_   148479     1  6673756  6684093     16       3  1000      0.37396      0.33469   -1.9617e-06      0.37396
_SET1_   90326      1  6684925  6695646     22       3  1000      0.31596      0.35519   -1.9617e-06      0.31596
_SET1_   55735      1  6694228  6761966    104       8  1000      0.33171      0.34659   -1.9617e-06      0.33171
_SET1_   23261      1  6845384  7829766   2248     185  1000       2.5269    0.0050271   -1.9617e-06       2.5269

# _SET2_  VARIABLE = NIKOLSKY_BREAST_CANCER_5P15_AMPLICON (set)
# _SET2_  NGENES = 26
# _SET2_  P-VALUE = 5.5114e-08
_SET2_   GENE     CHR    START     STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   153478     5   140373   190087    164      14  1000       2.3429    0.0082959   -1.9617e-06       2.3429
_SET2_   389257     5   191626   195468      8       2  1000       2.4884    0.0057778   -1.9617e-06       2.4884
_SET2_   133957     5   204875   218333     53       8  1000       3.8031   6.1222e-05   -1.9617e-06       3.8031
_SET2_   6389       5   218338   256815    316       5  1000       1.7995     0.031124   -1.9617e-06       1.7995
_SET2_   10016      5   271736   315089    182      12  1000       2.5652     0.004468   -1.9617e-06       2.5652
_SET2_   57491      5   304291   438406    413      33  1000        4.596   1.7096e-06   -1.9617e-06        4.596
_SET2_   11336      5   443305   467414     84       8  1000      0.18512      0.40363   -1.9617e-06      0.18513
_SET2_   6550       5   473298   524549    238      34  1000       0.8436      0.18855   -1.9617e-06       0.8436
_SET2_   55722      5   612405   655807    124      10  1000     -0.45581        0.655   -1.9617e-06     -0.45581
_SET2_   11076      5   659977   693510    166      17  1000      -1.2677      0.88775   -1.9617e-06      -1.2677
_SET2_   79844      5   795720   859088    186      16  1000       1.2948     0.091678   -1.9617e-06       1.2948
_SET2_   65980      5   863850   892939     37       5  1000     0.011968      0.48463   -1.9617e-06      0.01197
_SET2_   9319       5   892764   918164     41       5  1000      0.87392       0.1835   -1.9617e-06      0.87392
_SET2_   85409      5  1008941  1038927    112      17  1000     0.064153      0.45875   -1.9617e-06     0.064155
_SET2_   10723      5  1050489  1112172    217      35  1000       2.0297     0.019479   -1.9617e-06       2.0297
_SET2_   340024     5  1201710  1225232     94      21  1000     -0.48213      0.67076   -1.9617e-06     -0.48213
_SET2_   348932     5  1225470  1246304     83      19  1000      0.29654       0.3688   -1.9617e-06      0.29654
_SET2_   7015       5  1253282  1295178     83      23  1000       1.4141     0.073672   -1.9617e-06       1.4141
_SET2_   81037      5  1317869  1345180     51       5  1000       1.3426     0.080455   -1.9617e-06       1.3426
_SET2_   6531       5  1392905  1445543    160      22  1000      0.71199      0.22449   -1.9617e-06      0.71199
_SET2_   79888      5  1461542  1525644    216      38  1000      0.46232      0.30984   -1.9617e-06      0.46233
_SET2_   64979      5  1798499  1799956      8       3  1000      0.74578      0.21906   -1.9617e-06      0.74579
_SET2_   4726       5  1801496  1816165     48       5  1000      0.36401      0.34237   -1.9617e-06      0.36401
_SET2_   50805      5  1877541  1887293     35       6  1000       1.9785     0.021574   -1.9617e-06       1.9785
_SET2_   153572     5  2746279  2751769     10       4  1000      0.83742      0.19315   -1.9617e-06      0.83743
_SET2_   153571     5  2752058  2755511      4       2  1000       2.6171     0.003932   -1.9617e-06       2.6171
