# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3 (set)
# _SET1_  NGENES = 1047
# _SET1_  P-VALUE = 8.1671e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5590          1    1981909    2116834    431      31  1000      0.18404      0.43699    1.0174e-06      0.18404
_SET1_   63976         1    2985565    3355185   1283     151  1000    -0.073167      0.56661    1.0174e-06    -0.073168
_SET1_   49856         1    3547331    3566671     35       7  1000      0.16709      0.44338    1.0174e-06      0.16708
_SET1_   54897         1   10696661   10856733    303      55  1000      0.36153      0.38036    1.0174e-06      0.36153
_SET1_   9249          1   12627939   12677820    139      24  1000      0.63023      0.26928    1.0174e-06      0.63023
_SET1_   55092         1   15479028   15546974    299      21  1000      0.12854      0.45102    1.0174e-06      0.12854
_SET1_   1969          1   16450832   16482582     45       9  1000     0.095118      0.46318    1.0174e-06     0.095117
_SET1_   84966         1   18434240   18704977    821     100  1000     -0.58346      0.74516    1.0174e-06     -0.58347
_SET1_   100532736     1   19923471   19984949    199      21  1000        2.344     0.010766    1.0174e-06        2.344
_SET1_   249           1   21835475   21904905    250      28  1000      0.19127      0.43462    1.0174e-06      0.19126
_SET1_   54361         1   22443798   22470474     54       8  1000      0.26412      0.39676    1.0174e-06      0.26411
_SET1_   55616         1   23755056   23810750     96      11  1000     -0.49085      0.70113    1.0174e-06     -0.49085
_SET1_   1870          1   23832920   23857712     41       5  1000      0.45176      0.31507    1.0174e-06      0.45176
_SET1_   3399          1   23884421   23886285      8       3  1000     0.089369       0.4526    1.0174e-06     0.089368
_SET1_   57822         1   24645812   24690972     78      15  1000     -0.10249      0.54613    1.0174e-06     -0.10249
_SET1_   26119         1   25870071   25895377     58       8  1000     -0.84636       0.8005    1.0174e-06     -0.84636
_SET1_   388610        1   27320189   27327377      2       1  1000      0.32603      0.35714    1.0174e-06      0.32603
_SET1_   115572        1   27331511   27339333      1       1  1000      0.24228       0.3941    1.0174e-06      0.24228
_SET1_   9064          1   27681670   27693558     16       4  1000        1.183      0.11574    1.0174e-06        1.183
_SET1_   9473          1   28199055   28213196     38       7  1000       1.1236      0.12679    1.0174e-06       1.1236
_SET1_   4985          1   29138654   29190208    140      15  1000      0.74174       0.2279    1.0174e-06      0.74174
_SET1_   10076         1   29563028   29653325    168      21  1000      -1.3576      0.91605    1.0174e-06      -1.3576
_SET1_   347735        1   31882412   31907527     71       9  1000      0.54247      0.28941    1.0174e-06      0.54247
_SET1_   3061          1   32083290   32093214     21       3  1000     -0.57232      0.70533    1.0174e-06     -0.57233
_SET1_   576           1   32192718   32230494     33       6  1000     -0.52537      0.71513    1.0174e-06     -0.52537
_SET1_   63967         1   36185819   36235568     36       4  1000       1.7445     0.043223    1.0174e-06       1.7445
_SET1_   55194         1   36787631   36790567      2       1  1000     -0.78417      0.76235    1.0174e-06     -0.78417
_SET1_   2899          1   37261128   37499844    391      39  1000      0.90707      0.19441    1.0174e-06      0.90707
_SET1_   80149         1   37940119   37949978      9       3  1000      0.53183      0.28549    1.0174e-06      0.53183
_SET1_   284654        1   38076821   38100595     38       7  1000       1.2719     0.099664    1.0174e-06       1.2719
_SET1_   2275          1   38462439   38471199     10       5  1000      0.31074      0.37069    1.0174e-06      0.31074
_SET1_   26508         1   40089103   40105348     26       9  1000      -1.2461       0.8937    1.0174e-06      -1.2461
_SET1_   84879         1   40420784   40435630      9       4  1000      0.59356      0.26971    1.0174e-06      0.59355
_SET1_   55182         1   44870837   45117396    562      68  1000     -0.61765      0.75122    1.0174e-06     -0.61765
_SET1_   8643          1   45285516   45309226     41       5  1000      -0.9112      0.81874    1.0174e-06      -0.9112
_SET1_   6491          1   47715811   47779819    193      15  1000       1.6913     0.046121    1.0174e-06       1.6913
_SET1_   63950         1   50883223   50889119      1       1  1000       -1.334       0.9101    1.0174e-06       -1.334
_SET1_   5865          1   52373628   52456436     88       9  1000     -0.59761      0.72528    1.0174e-06     -0.59761
_SET1_   55268         1   53361582   53392846     24       4  1000     -0.24835      0.58814    1.0174e-06     -0.24836
_SET1_   127435        1   53527724   53551174    103      11  1000     -0.23229      0.61137    1.0174e-06      -0.2323
_SET1_   148979        1   53971904   54203748    600      42  1000      -1.6596      0.95599    1.0174e-06      -1.6596
_SET1_   8613          1   56960419   57045257    224      32  1000      0.13849      0.46102    1.0174e-06      0.13849
_SET1_   4070          1   59041095   59043166      9       3  1000     -0.60693      0.72888    1.0174e-06     -0.60693
_SET1_   163782        1   62701837   62785083    319      23  1000      0.46172      0.32541    1.0174e-06      0.46172
_SET1_   4919          1   64239690   64647181    852      67  1000      -0.3146      0.64386    1.0174e-06      -0.3146
_SET1_   5733          1   71318036   71513497    535      38  1000       1.3618     0.091115    1.0174e-06       1.3618
_SET1_   204962        1   75667816   76081698    839      29  1000     -0.27701      0.61268    1.0174e-06     -0.27701
_SET1_   54810         1   78510646   78604129    158      11  1000     -0.25893      0.60177    1.0174e-06     -0.25893
_SET1_   3491          1   86046444   86049650      3       1  1000     -0.46006      0.65414    1.0174e-06     -0.46006
_SET1_   8412          1   94027343   94312706    726      23  1000      -1.2134      0.89394    1.0174e-06      -1.2134
_SET1_   9411          1   94634463   94713251    105      15  1000       1.2001      0.11992    1.0174e-06       1.2001
_SET1_   2152          1   94994732   95007413     18       4  1000     -0.23069      0.57756    1.0174e-06     -0.23069
_SET1_   51375         1   99127236   99226056    303      17  1000      0.28293      0.39114    1.0174e-06      0.28293
_SET1_   8556          1  100810598  100985833    362      22  1000      0.83441      0.21682    1.0174e-06       0.8344
_SET1_   54112         1  101003728  101007583      8       3  1000      0.39449      0.33663    1.0174e-06      0.39449
_SET1_   1901          1  101702305  101707076     10       4  1000      0.62602      0.27335    1.0174e-06      0.62602
_SET1_   284612        1  110009100  110024764     29       1  1000       1.0601      0.13338    1.0174e-06       1.0601
_SET1_   388662        1  110693132  110744824     88      10  1000     -0.23487      0.58222    1.0174e-06     -0.23487
_SET1_   3738          1  111196182  111217655      8       2  1000      0.76293      0.21127    1.0174e-06      0.76293
_SET1_   389           1  113243749  113250025     13       3  1000     -0.34121      0.62208    1.0174e-06     -0.34121
_SET1_   333926        1  113252616  113257950      4       2  1000       -1.171      0.86933    1.0174e-06      -1.1711
_SET1_   148281        1  114631914  114696472    215      45  1000     -0.87846       0.8186    1.0174e-06     -0.87846
_SET1_   4803          1  115828537  115880857    125      21  1000       1.1398      0.13224    1.0174e-06       1.1398
_SET1_   6913          1  119425666  119532179    231      23  1000      -0.6189      0.73641    1.0174e-06      -0.6189
_SET1_   10628         1  145438438  145442635      4       1  1000      0.15807      0.44921    1.0174e-06      0.15807
_SET1_   6282          1  152004982  152009511      5       1  1000     -0.51591      0.70036    1.0174e-06     -0.51591
_SET1_   4881          1  153651093  153666468     10       3  1000       1.1509      0.11946    1.0174e-06       1.1509
_SET1_   126669        1  154442118  154474786     39       6  1000       1.6319     0.050621    1.0174e-06       1.6319
_SET1_   1141          1  154540257  154552354     13       4  1000       1.3147      0.09536    1.0174e-06       1.3147
_SET1_   51043         1  154975106  154991001     13       4  1000     -0.17795      0.55784    1.0174e-06     -0.17795
_SET1_   57127         1  156338980  156355013     49       9  1000      -1.3012      0.90267    1.0174e-06      -1.3012
_SET1_   63827         1  156611740  156629324     21       4  1000     -0.53632      0.69133    1.0174e-06     -0.53632
_SET1_   10763         1  156638555  156647189     16       3  1000        1.032      0.14254    1.0174e-06        1.032
_SET1_   375033        1  156863496  156886226     58       6  1000     -0.81589      0.79674    1.0174e-06     -0.81589
_SET1_   8407          1  159887897  159895332     10       3  1000      0.55108      0.27882    1.0174e-06      0.55107
_SET1_   3766          1  160007257  160040051     45       8  1000     0.079948      0.46105    1.0174e-06     0.079947
_SET1_   50848         1  160965001  160991133     53       3  1000      0.83897      0.19094    1.0174e-06      0.83897
_SET1_   92241         1  167599474  167677933    198      42  1000        1.433      0.08171    1.0174e-06        1.433
_SET1_   481           1  169075947  169101960    108      18  1000     -0.18831      0.57673    1.0174e-06     -0.18831
_SET1_   148753        1  179696912  179785333    227      27  1000     -0.21548      0.59239    1.0174e-06     -0.21548
_SET1_   3918          1  183147952  183214262    191      14  1000      0.41986      0.33842    1.0174e-06      0.41986
_SET1_   116496        1  184760159  184943718    314      22  1000       0.6328      0.26532    1.0174e-06       0.6328
_SET1_   83872         1  185703683  186160085    669      29  1000     -0.53175      0.71209    1.0174e-06     -0.53175
_SET1_   259266        1  197053257  197115824     80       5  1000       0.7114       0.2364    1.0174e-06       0.7114
_SET1_   56956         1  197881635  197904606     25       6  1000     -0.49992      0.68703    1.0174e-06     -0.49992
_SET1_   55765         1  200860627  200884864     59      12  1000    -0.023921      0.50952    1.0174e-06    -0.023922
_SET1_   3898          1  201349966  201368669     37       8  1000      0.21973      0.41205    1.0174e-06      0.21973
_SET1_   127833        1  202559724  202679551    250      34  1000      0.78546      0.22218    1.0174e-06      0.78546
_SET1_   9580          1  204042237  204096871    117      28  1000      -1.5722      0.94495    1.0174e-06      -1.5722
_SET1_   55224         1  204100190  204121307     40      13  1000       1.3395     0.092856    1.0174e-06       1.3395
_SET1_   6900          1  205012340  205047173    114      13  1000      -1.2194      0.89021    1.0174e-06      -1.2194
_SET1_   81788         1  205271191  205290883     43      10  1000      -1.0755      0.86069    1.0174e-06      -1.0755
_SET1_   93273         1  205350506  205391214    116      10  1000     -0.48771      0.68466    1.0174e-06     -0.48771
_SET1_   5129          1  205473684  205501921     92      24  1000       1.1055      0.14233    1.0174e-06       1.1055
_SET1_   255928        1  210111519  210337636    475      21  1000      -1.4007      0.92201    1.0174e-06      -1.4007
_SET1_   3756          1  210851657  211307457   1102      61  1000     -0.71623      0.77584    1.0174e-06     -0.71623
_SET1_   51514         1  212208919  212278187     83       9  1000      -0.6505       0.7382    1.0174e-06      -0.6505
_SET1_   467           1  212738676  212794119    158      25  1000      -1.4424      0.93025    1.0174e-06      -1.4424
_SET1_   55509         1  212859759  212873327     36       9  1000    -0.048627      0.52351    1.0174e-06    -0.048628
_SET1_   79805         1  213123887  213164986     60      14  1000    0.0078045      0.49918    1.0174e-06    0.0078035
_SET1_   5629          1  214161278  214214853     66       9  1000      0.40763      0.34434    1.0174e-06      0.40763
_SET1_   5784          1  214521640  214725024    586      46  1000      0.34936      0.38077    1.0174e-06      0.34936
_SET1_   7042          1  218518676  218617961    168      27  1000     -0.61462      0.74082    1.0174e-06     -0.61462
_SET1_   55532         1  220087606  220101993     22       5  1000     -0.30809      0.61256    1.0174e-06     -0.30809
_SET1_   79762         1  220863628  220872499     20       4  1000     -0.68141       0.7549    1.0174e-06     -0.68141
_SET1_   3142          1  221052743  221058401     14       4  1000       -1.089      0.85667    1.0174e-06       -1.089
_SET1_   11221         1  221874764  221916204     69      15  1000     -0.28414      0.61204    1.0174e-06     -0.28414
_SET1_   149111        1  224734563  224928269    474      28  1000      -1.0607      0.86042    1.0174e-06      -1.0607
_SET1_   9725          1  226033233  226070420     84       8  1000      -0.4529      0.67875    1.0174e-06      -0.4529
_SET1_   3707          1  226819391  226927028    144      19  1000     -0.43978      0.67536    1.0174e-06     -0.43979
_SET1_   7483          1  228109165  228135676     57       5  1000     -0.13303      0.54055    1.0174e-06     -0.13303
_SET1_   27185         1  231762561  232177018    895      84  1000      0.34243       0.3895    1.0174e-06      0.34243
