# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KEGG_PARKINSONS_DISEASE (set)
# _SET1_  NGENES = 107
# _SET1_  P-VALUE = 7.50836e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   118424     1    1189292    1209234     24       5  1000       2.4206    0.0070245   -3.0071e-06       2.4206
_SET1_   11315      1    8021714    8045342     55       9  1000      -1.0277      0.83482   -3.0071e-06      -1.0277
_SET1_   842        1   15817896   15851407    104       5  1000      0.32141      0.34335   -3.0071e-06      0.32141
_SET1_   440567     1   16133657   16134194      4       1  1000      0.60985      0.25405   -3.0071e-06      0.60985
_SET1_   6390       1   17345217   17380665     89       7  1000      0.25124      0.37369   -3.0071e-06      0.25124
_SET1_   65018      1   20959948   20978004     62       8  1000       2.0312     0.018276   -3.0071e-06       2.0312
_SET1_   4725       1   39491967   39500308     34       5  1000     -0.27352      0.58547   -3.0071e-06     -0.27352
_SET1_   7388       1   46769324   46782448     13       4  1000      0.20169      0.39911   -3.0071e-06       0.2017
_SET1_   515        1  111991467  112004540     20       3  1000      0.14093      0.41808   -3.0071e-06      0.14093
_SET1_   4720       1  161167209  161184185     17       4  1000       1.2553     0.094472   -3.0071e-06       1.2553
_SET1_   6391       1  161284166  161334541    217       7  1000     -0.36802       0.6171   -3.0071e-06     -0.36802
_SET1_   9167       2   42577640   42596150     25       5  1000       1.9249     0.023607   -3.0071e-06       1.9249
_SET1_   27429      2   74756532   74760683      3       2  1000       1.8134     0.033237   -3.0071e-06       1.8134
_SET1_   518        2  176040986  176046490     10       2  1000    -0.048455      0.49563   -3.0071e-06    -0.048452
_SET1_   4709       2  201936462  201950473      5       1  1000      0.37028      0.33167   -3.0071e-06      0.37028
_SET1_   4719       2  206987803  207024243     76       5  1000       1.0996      0.11967   -3.0071e-06       1.0996
_SET1_   4705       2  240896789  240964819    164      14  1000      0.88843      0.17162   -3.0071e-06      0.88843
_SET1_   7384       3   48636432   48647391      5       2  1000      0.97747      0.15529   -3.0071e-06      0.97747
_SET1_   7318       3   49842638   49851391      7       2  1000      0.76286      0.20487   -3.0071e-06      0.76287
_SET1_   4710       3  120315128  120321258     15       4  1000     -0.81592      0.77626   -3.0071e-06     -0.81592
_SET1_   4711       3  179322575  179342288     29       5  1000    -0.044592      0.49389   -3.0071e-06    -0.044589
_SET1_   7345       4   41258898   41270446     30       6  1000      0.87783      0.17583   -3.0071e-06      0.87784
_SET1_   170712     4   46736844   46911252    320      16  1000      0.47982      0.29086   -3.0071e-06      0.47982
_SET1_   6622       4   90645250   90759447    319      18  1000      0.58714      0.25765   -3.0071e-06      0.58714
_SET1_   83447      4  128651555  128695447     47       5  1000     0.049392      0.45501   -3.0071e-06     0.049395
_SET1_   4717       4  140211071  140223705     20       2  1000      0.55683      0.26514   -3.0071e-06      0.55683
_SET1_   5481       4  159630279  159644552     19       3  1000      0.71156      0.21997   -3.0071e-06      0.71157
_SET1_   836        4  185548850  185570629     52       9  1000      0.66878      0.23533   -3.0071e-06      0.66879
_SET1_   291        4  186064417  186071538      8       2  1000      -1.1539      0.86193   -3.0071e-06      -1.1539
_SET1_   6389       5     218338     256815    316       5  1000       0.7023       0.2137   -3.0071e-06      0.70231
_SET1_   6531       5    1392905    1445543    160      22  1000     -0.93023      0.81268   -3.0071e-06     -0.93023
_SET1_   4726       5    1801496    1816165     48       5  1000      -1.3126      0.89458   -3.0071e-06      -1.3126
_SET1_   4724       5   52856464   52979171    302      16  1000     0.050865      0.45321   -3.0071e-06     0.050868
_SET1_   1350       5   85913784   85916583      5       2  1000         1.01      0.14614   -3.0071e-06         1.01
_SET1_   9627       5  121647455  121799794    189      16  1000      0.21726       0.3926   -3.0071e-06      0.21726
_SET1_   27089      5  132202319  132204536      2       1  1000     -0.68059      0.73299   -3.0071e-06     -0.68059
_SET1_   7416       5  133307566  133341300     73      10  1000     -0.39494      0.63368   -3.0071e-06     -0.39494
_SET1_   4695       5  140024948  140027370      6       2  1000     -0.49214       0.6669   -3.0071e-06     -0.49214
_SET1_   1347       6   75947391   75953644      8       2  1000     -0.21791       0.5688   -3.0071e-06     -0.21791
_SET1_   51465      6   90036344   90062619     33       9  1000     0.072634      0.45282   -3.0071e-06     0.072637
_SET1_   5071       6  161768590  163148834   4468     218  1000       1.0095      0.15533   -3.0071e-06       1.0095
_SET1_   4697       7   10971580   10979813     26       7  1000      -1.4801      0.92395   -3.0071e-06      -1.4801
_SET1_   54205      7   25158270   25164980      5       2  1000       2.0023     0.019839   -3.0071e-06       2.0023
_SET1_   4698       7  123181083  123197958     17       2  1000       1.0191      0.13762   -3.0071e-06       1.0191
_SET1_   2861       7  124385655  124406079     31       5  1000      0.88517      0.17172   -3.0071e-06      0.88517
_SET1_   4708       7  140396481  140406446     13       2  1000      -1.5991       0.9382   -3.0071e-06      -1.5991
_SET1_   6570       8   20002366   20040717    155      17  1000      0.14025      0.42398   -3.0071e-06      0.14025
_SET1_   7419       8   42249279   42263455      9       2  1000      -1.5056      0.92822   -3.0071e-06      -1.5056
_SET1_   7381       8   97238904   97247862     12       2  1000      0.91896      0.16155   -3.0071e-06      0.91896
_SET1_   1345       8  100890223  100906242     26       2  1000      0.13157      0.41977   -3.0071e-06      0.13157
_SET1_   4715       8  125551343  125580751     98      16  1000      0.97286      0.15402   -3.0071e-06      0.97286
_SET1_   1537       8  145149960  145152428      2       1  1000     -0.12088       0.5334   -3.0071e-06     -0.12088
_SET1_   4712       9   32553524   32573182     35       5  1000      0.29902      0.35841   -3.0071e-06      0.29902
_SET1_   4702       9  124894745  124922098     90      11  1000     -0.28186      0.58969   -3.0071e-06     -0.28185
_SET1_   509       10    7830093    7849764     54       7  1000      0.43223        0.311   -3.0071e-06      0.43223
_SET1_   7417      10   76969912   76991206     32       6  1000     -0.84816      0.78666   -3.0071e-06     -0.84816
_SET1_   4714      10  102283497  102289640      6       1  1000       0.8076      0.19138   -3.0071e-06       0.8076
_SET1_   6571      10  119000584  119038941    103      19  1000       2.5142    0.0053764   -3.0071e-06       2.5142
_SET1_   7054      11    2185159    2193107     22       5  1000      0.63621      0.24438   -3.0071e-06      0.63621
_SET1_   4722      11   47600562   47606115      4       2  1000       1.6629      0.04287   -3.0071e-06       1.6629
_SET1_   9246      11   57319128   57335803     38       6  1000     0.015393       0.4694   -3.0071e-06     0.015396
_SET1_   1351      11   63742079   63744015      3       1  1000      -1.2998      0.89198   -3.0071e-06      -1.2998
_SET1_   4723      11   67374323   67380012      3       1  1000      0.42253      0.31375   -3.0071e-06      0.42253
_SET1_   4728      11   67798084   67804114     11       4  1000     -0.49623      0.67213   -3.0071e-06     -0.49622
_SET1_   4718      11   77779393   77791265     33       5  1000      0.39442      0.32476   -3.0071e-06      0.39442
_SET1_   6392      11  111957548  111966525     17       4  1000      0.73396      0.21875   -3.0071e-06      0.73397
_SET1_   4704      12    4758264    4796720     98      12  1000     -0.74472      0.75448   -3.0071e-06     -0.74472
_SET1_   120892    12   40618813   40763087    414      25  1000      0.78415      0.20002   -3.0071e-06      0.78415
_SET1_   517       12   54058944   54070512     21       4  1000      -0.1267      0.52629   -3.0071e-06      -0.1267
_SET1_   506       12   57031959   57039852      8       2  1000      -1.2534      0.88306   -3.0071e-06      -1.2534
_SET1_   56901     12   57628686   57634545      1       1  1000       2.1699      0.01461   -3.0071e-06         2.17
_SET1_   317       12   99039078   99129211    145      12  1000     -0.58961       0.7026   -3.0071e-06      -0.5896
_SET1_   1337      12  120875893  120878545      2       1  1000     -0.67846      0.73294   -3.0071e-06     -0.67846
_SET1_   4707      14   92582467   92588153     36       3  1000     -0.35929      0.61273   -3.0071e-06     -0.35929
_SET1_   341947    14   93813537   93814700      7       3  1000      0.25505      0.38321   -3.0071e-06      0.25505
_SET1_   9377      15   75212616   75230495     28       3  1000      0.25225      0.37221   -3.0071e-06      0.25225
_SET1_   4716      16    2009517    2011976     15       3  1000      0.32572      0.35097   -3.0071e-06      0.32572
_SET1_   7385      16   21964609   21994668     22       5  1000     -0.41927       0.6458   -3.0071e-06     -0.41927
_SET1_   4706      16   23592335   23607639     29       3  1000       1.3173      0.08406   -3.0071e-06       1.3173
_SET1_   1339      16   31439052   31439749      2       1  1000      0.17277      0.41442   -3.0071e-06      0.17277
_SET1_   1327      16   85833173   85840608      9       2  1000   -0.0077172      0.47942   -3.0071e-06   -0.0077142
_SET1_   7326      17    4172512    4269969    102       3  1000      0.13701      0.41104   -3.0071e-06      0.13701
_SET1_   7314      17   16284367   16286059      2       1  1000     -0.60577      0.72232   -3.0071e-06     -0.60577
_SET1_   516       17   46970148   46973233      6       2  1000      0.25671      0.37551   -3.0071e-06      0.25672
_SET1_   10476     17   73034955   73043074     23       6  1000     -0.39493      0.63706   -3.0071e-06     -0.39493
_SET1_   4729      18    9102628    9134343     36       4  1000     -0.75054      0.75409   -3.0071e-06     -0.75054
_SET1_   498       18   43664110   43684199     78       6  1000       1.5104     0.057023   -3.0071e-06       1.5104
_SET1_   513       19    1241749    1244824      3       2  1000       2.1383     0.014744   -3.0071e-06       2.1383
_SET1_   374291    19    1383526    1395588     35       6  1000       1.1344      0.11713   -3.0071e-06       1.1344
_SET1_   10975     19    1597154    1605483      8       3  1000       1.3295     0.085675   -3.0071e-06       1.3295
_SET1_   4701      19    8373492    8386452     40       5  1000     0.094064      0.44049   -3.0071e-06     0.094067
_SET1_   4713      19   14676890   14682889      7       2  1000     -0.72446      0.74515   -3.0071e-06     -0.72446
_SET1_   7386      19   29698167   29704136      4       2  1000     -0.32849      0.60877   -3.0071e-06     -0.32849
_SET1_   1340      19   36139125   36149686     20       5  1000      0.55278      0.27373   -3.0071e-06      0.55278
_SET1_   1346      19   36641824   36643771      4       2  1000      0.21163      0.39431   -3.0071e-06      0.21163
_SET1_   4696      19   54606160   54610281     16       3  1000      0.42579      0.31119   -3.0071e-06      0.42579
_SET1_   125965    19   55861070   55866182      3       1  1000      0.59966      0.25337   -3.0071e-06      0.59966
_SET1_   84701     20   30225685   30232837     14       2  1000     -0.68311      0.73211   -3.0071e-06     -0.68311
_SET1_   514       20   57603733   57607422      3       1  1000      -1.5227      0.92731   -3.0071e-06      -1.5226
_SET1_   522       21   27096791   27107965     14       3  1000      0.60967      0.25307   -3.0071e-06      0.60968
_SET1_   539       21   35275757   35288158     31       6  1000      -0.1292      0.52862   -3.0071e-06      -0.1292
_SET1_   4731      21   44313378   44329773     48       6  1000      0.26165      0.37224   -3.0071e-06      0.26165
_SET1_   7327      21   46188495   46221751     87      12  1000     -0.52019      0.67971   -3.0071e-06     -0.52018
_SET1_   5413      22   19701987   19710845      3       1  1000     -0.65961       0.7414   -3.0071e-06     -0.65961
_SET1_   7332      22   21903736   21978323    103       4  1000      0.31535       0.3474   -3.0071e-06      0.31535
_SET1_   29796     22   30163358   30166402      8       3  1000       1.9606     0.021813   -3.0071e-06       1.9606
_SET1_   4700      22   42481530   42486888      7       2  1000      0.39483        0.323   -3.0071e-06      0.39484
