# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES (set)
# _SET1_  NGENES = 488
# _SET1_  P-VALUE = 3.82901e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5590       1    1981909    2116834    431      31  1000     -0.60851      0.72412    -2.159e-06     -0.60851
_SET1_   2475       1   11166588   11322614    285       6  1000     -0.80999      0.76715    -2.159e-06     -0.80999
_SET1_   998        1   22379120   22419439     38       7  1000     -0.67625      0.74907    -2.159e-06     -0.67625
_SET1_   3399       1   23884421   23886285      8       3  1000     -0.36132      0.63424    -2.159e-06     -0.36132
_SET1_   3925       1   26210670   26233368     22       3  1000      0.26927       0.3757    -2.159e-06      0.26927
_SET1_   6195       1   26856249   26901520     78       8  1000       -1.224      0.88401    -2.159e-06       -1.224
_SET1_   10163      1   27730734   27816678    105       6  1000       1.2668     0.097058    -2.159e-06       1.2668
_SET1_   10076      1   29563028   29653325    168      21  1000      0.57104      0.28682    -2.159e-06      0.57105
_SET1_   3932       1   32716840   32751766     25       6  1000      0.90105      0.18687    -2.159e-06      0.90105
_SET1_   1298       1   40766162   40782939     49       9  1000       0.4445      0.33515    -2.159e-06       0.4445
_SET1_   533        1   44440118   44443972      5       2  1000    -0.086291      0.53465    -2.159e-06    -0.086288
_SET1_   8503       1   46505812   46642167    195      13  1000      0.94995      0.16052    -2.159e-06      0.94996
_SET1_   8569       1   47023079   47069966     54       6  1000     -0.69356      0.74497    -2.159e-06     -0.69356
_SET1_   2060       1   51819935   51985026     89       9  1000     -0.92647      0.82048    -2.159e-06     -0.92647
_SET1_   85440      1   62920397   63154039    227       3  1000      0.17517       0.3846    -2.159e-06      0.17518
_SET1_   5567       1   84543745   84704181    180      13  1000     -0.43367      0.65341    -2.159e-06     -0.43367
_SET1_   255631     1   86194916   86622121   1292      49  1000      0.74092      0.19979    -2.159e-06      0.74092
_SET1_   2152       1   94994732   95007413     18       4  1000     -0.78494      0.77479    -2.159e-06     -0.78494
_SET1_   1301       1  103342023  103574052    682      27  1000       0.6037      0.25239    -2.159e-06       0.6037
_SET1_   10451      1  108113782  108507545   1048      63  1000    -0.097845      0.53246    -2.159e-06    -0.097843
_SET1_   10768      1  110527387  110566364     27       6  1000     -0.73057      0.76888    -2.159e-06     -0.73057
_SET1_   5906       1  112162405  112256807    282      19  1000      0.70676      0.23285    -2.159e-06      0.70676
_SET1_   4893       1  115247085  115259515      6       2  1000      0.63313      0.25626    -2.159e-06      0.63314
_SET1_   4803       1  115828537  115880857    125      21  1000     -0.88999      0.81896    -2.159e-06     -0.88999
_SET1_   51107      1  150237799  150241609      1       1  1000      0.38163       0.3527    -2.159e-06      0.38163
_SET1_   117145     1  151843342  151882361     60       4  1000     -0.34197      0.61751    -2.159e-06     -0.34197
_SET1_   6464       1  154934774  154946959      7       1  1000     -0.57628      0.71035    -2.159e-06     -0.57628
_SET1_   7059       1  155165379  155177772     10       2  1000      0.83873      0.18842    -2.159e-06      0.83873
_SET1_   6016       1  155867599  155881193     20       3  1000     -0.84049       0.7897    -2.159e-06     -0.84048
_SET1_   4209       1  156433513  156470634     40       3  1000      -0.5419      0.68762    -2.159e-06      -0.5419
_SET1_   9047       1  156776035  156786640     13       3  1000     -0.81144      0.78314    -2.159e-06     -0.81144
_SET1_   4914       1  156785542  156851642    106      16  1000     -0.49157      0.69187    -2.159e-06     -0.49157
_SET1_   23385      1  160313063  160328742     28       8  1000      -1.5093      0.93477    -2.159e-06      -1.5093
_SET1_   26052      1  171810618  172387606   1203      58  1000      -1.7404      0.95363    -2.159e-06      -1.7404
_SET1_   3915       1  182992572  183114727    395       8  1000      0.42371      0.29391    -2.159e-06      0.42371
_SET1_   3918       1  183147952  183214262    191      14  1000      0.43183      0.32173    -2.159e-06      0.43183
_SET1_   4688       1  183524697  183560056     76      14  1000     -0.90447      0.81812    -2.159e-06     -0.90447
_SET1_   127124     1  198492352  198510075     23       5  1000     -0.45209      0.67422    -2.159e-06     -0.45208
_SET1_   9261       1  206858295  206907630     63      10  1000     -0.20997      0.57931    -2.159e-06     -0.20997
_SET1_   3914       1  209788215  209825820    126      18  1000      0.22727      0.41474    -2.159e-06      0.22727
_SET1_   5664       1  227057885  227083804     84      10  1000     -0.47538      0.67793    -2.159e-06     -0.47538
_SET1_   5867       1  229406809  229441641     55       4  1000     0.062566       0.4526    -2.159e-06     0.062568
_SET1_   10000      1  243651535  244014381    354      13  1000      0.43636      0.30688    -2.159e-06      0.43636
_SET1_   3398       2    8822113    8824583      2       1  1000     -0.60061      0.72961    -2.159e-06     -0.60061
_SET1_   57498      2    8865295    8977755    139      13  1000      0.12018       0.4445    -2.159e-06      0.12018
_SET1_   6868       2    9629392    9695917    165      14  1000       1.4614     0.068732    -2.159e-06       1.4614
_SET1_   245973     2   10861775   10925236    182      26  1000      -1.0651      0.86071    -2.159e-06      -1.0651
_SET1_   9475       2   11319894   11484711    230      12  1000      0.76347      0.20678    -2.159e-06      0.76348
_SET1_   51072      2   32092892   32236116    145       5  1000      -1.0172         0.83    -2.159e-06      -1.0172
_SET1_   6654       2   39208690   39347686    248      10  1000     -0.70911      0.75043    -2.159e-06     -0.70911
_SET1_   5581       2   45878454   46415129   1547     152  1000      -1.0594      0.86752    -2.159e-06      -1.0594
_SET1_   90423      2   46738986   46769551     69       9  1000       1.4549     0.069326    -2.159e-06       1.4549
_SET1_   6233       2   55459039   55462989      7       3  1000      -0.4664      0.67713    -2.159e-06      -0.4664
_SET1_   200734     2   65534580   65659733    247      22  1000       0.8398      0.19701    -2.159e-06       0.8398
_SET1_   7072       2   70436576   70475886     63       4  1000      0.18194      0.41239    -2.159e-06      0.18194
_SET1_   7039       2   70674412   70781147    291      30  1000      0.55466      0.29283    -2.159e-06      0.55466
_SET1_   525        2   71162998   71192561     87      18  1000      0.53191      0.30281    -2.159e-06      0.53191
_SET1_   1961       2   73518057   73520829      2       1  1000      0.32987      0.37509    -2.159e-06      0.32987
_SET1_   8440       2  106361520  106510730    356      20  1000     -0.52624      0.68436    -2.159e-06     -0.52624
_SET1_   5899       2  120997646  121052287    137       7  1000      0.49101      0.29179    -2.159e-06      0.49101
_SET1_   5433       2  128603840  128615729     31       5  1000     -0.89104      0.80645    -2.159e-06     -0.89104
_SET1_   26469      2  131113580  131132982     35       5  1000     -0.25004      0.59699    -2.159e-06     -0.25004
_SET1_   10254      2  152973315  153032506    141      11  1000      0.91307      0.17266    -2.159e-06      0.91307
_SET1_   2591       2  166604313  166650803     47       5  1000     -0.86242      0.79291    -2.159e-06     -0.86242
_SET1_   1386       2  175936978  176032934    157       8  1000     -0.38548      0.63621    -2.159e-06     -0.38548
_SET1_   10787      2  183789579  183903586    168      17  1000     -0.73537      0.77234    -2.159e-06     -0.73537
_SET1_   3685       2  187454058  187545629    111      13  1000    -0.037231      0.50831    -2.159e-06    -0.037229
_SET1_   1281       2  189839099  189877472     76      12  1000     0.082078      0.46916    -2.159e-06      0.08208
_SET1_   1290       2  189896641  190044668    320      10  1000       1.2955     0.086018    -2.159e-06       1.2955
_SET1_   4664       2  191513621  191557492     79      10  1000        -1.04      0.84675    -2.159e-06        -1.04
_SET1_   6772       2  191833762  191878976     76      14  1000     -0.80983       0.7944    -2.159e-06     -0.80983
_SET1_   10152      2  204192597  204296892     90       8  1000     -0.24774      0.58614    -2.159e-06     -0.24774
_SET1_   8828       2  206547184  206662857    162      31  1000    -0.037479      0.53068    -2.159e-06    -0.037477
_SET1_   1385       2  208394616  208470284     79       6  1000      0.54029      0.28267    -2.159e-06      0.54029
_SET1_   2066       2  212240442  213403879   3349     164  1000      -1.6823      0.95385    -2.159e-06      -1.6823
