# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MOROSETTI_FACIOSCAPULOHUMERAL_MUSCULAR_DISTROPHY_DN (set)
# _SET1_  NGENES = 12
# _SET1_  P-VALUE = 2.79204e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2517      1   24171567   24194859     40       4  1000       1.5225     0.058142   -5.6234e-06       1.5225
_SET1_   10602     2   37869025   37899678     90      12  1000       2.9231    0.0015259   -5.6234e-06       2.9231
_SET1_   8673      2   85804614   85809156      8       2  1000     -0.88705      0.80235   -5.6234e-06     -0.88704
_SET1_   10324     2  170366212  170382772     21       7  1000       1.7367     0.038248   -5.6234e-06       1.7367
_SET1_   5021      3    8792094    8811300     75      19  1000     -0.29042      0.60443   -5.6234e-06     -0.29041
_SET1_   27295     4  186421814  186456712     65       6  1000      -0.9969      0.82872   -5.6234e-06      -0.9969
_SET1_   5919      7  150031033  150038773     27       5  1000     -0.63535      0.72371   -5.6234e-06     -0.63534
_SET1_   216       9   75515578   75653633    193      20  1000      0.23493       0.3952   -5.6234e-06      0.23494
_SET1_   445       9  133320094  133376661    125      21  1000         1.58     0.054116   -5.6234e-06         1.58
_SET1_   9118     10  105036919  105050108     15       3  1000       1.2387      0.10036   -5.6234e-06       1.2387
_SET1_   11197    12   65444404   65515346    100      11  1000      0.16502      0.41798   -5.6234e-06      0.16502
_SET1_   5493     16    4932508    4987136    180      28  1000    -0.034605      0.50712   -5.6234e-06      -0.0346
