# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_19Q13.1_AMPLICON (set)
# _SET1_  NGENES = 22
# _SET1_  P-VALUE = 2.65253e-06
_SET1_   GENE     CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   339324    19  37001589  37019248     35       6  1000       1.3665     0.079423   -2.1618e-06       1.3665
_SET1_   57711     19  37034517  37096178     98       9  1000       1.3823     0.076015   -2.1618e-06       1.3823
_SET1_   84911     19  37096207  37119499     28       4  1000       1.6492     0.044923   -2.1618e-06       1.6492
_SET1_   92283     19  37128283  37157740     52       6  1000       1.2102      0.10408   -2.1618e-06       1.2102
_SET1_   163081    19  37178466  37212428     75       6  1000       1.5178     0.057997   -2.1618e-06       1.5178
_SET1_   388536    19  37309224  37341689     35       6  1000       1.1575      0.11483   -2.1618e-06       1.1575
_SET1_   25850     19  37341260  37384120     91       9  1000       1.8487     0.028546   -2.1618e-06       1.8487
_SET1_   374899    19  37379026  37407193     53       5  1000     -0.03642      0.48976   -2.1618e-06    -0.036418
_SET1_   374900    19  37407231  37488834    310       9  1000       2.2722    0.0093028   -2.1618e-06       2.2722
_SET1_   147923    19  37569319  37621221     94       5  1000       2.6582    0.0032642   -2.1618e-06       2.6582
_SET1_   199704    19  37638340  37663643     40       6  1000       2.6018    0.0040314   -2.1618e-06       2.6018
_SET1_   92285     19  37672481  37701632     32       6  1000       1.8769     0.027557   -2.1618e-06       1.8769
_SET1_   163087    19  37708828  37734828     31       5  1000    -0.044202      0.49908   -2.1618e-06      -0.0442
_SET1_   284459    19  37825580  37855357     39       4  1000     0.028853      0.46524   -2.1618e-06     0.028856
_SET1_   84503     19  37862007  37883967     24       4  1000       0.6594       0.2401   -2.1618e-06       0.6594
_SET1_   148266    19  37901778  37960167     66       7  1000       0.4073      0.32264   -2.1618e-06       0.4073
_SET1_   148268    19  37958463  37976242     18       2  1000     0.013857      0.47004   -2.1618e-06     0.013859
_SET1_   390927    19  37997323  38034239     50      10  1000       1.7483     0.036996   -2.1618e-06       1.7483
_SET1_   163255    19  38042273  38105080     93       9  1000       1.5214     0.057899   -2.1618e-06       1.5214
_SET1_   51276     19  38055155  38085673     51       7  1000       1.6621     0.043791   -2.1618e-06       1.6621
_SET1_   22835     19  38123386  38148129     39       7  1000        2.129     0.014983   -2.1618e-06        2.129
_SET1_   163115    19  38158650  38183216     45       7  1000      0.88955      0.17528   -2.1618e-06      0.88955
