# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = CROMER_METASTASIS_UP (set)
# _SET1_  NGENES = 62
# _SET1_  P-VALUE = 8.15084e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5538       1   40538382   40563142     82       9  1000      -0.3852      0.63487   -7.4201e-06      -0.3852
_SET1_   4802       1   41157242   41237275    142       9  1000     0.086971      0.44716   -7.4201e-06     0.086978
_SET1_   10465      1   43123706   43142429     23       5  1000        1.082      0.13384   -7.4201e-06        1.082
_SET1_   1266       1   95362507   95392735     85      17  1000      0.84626      0.18972   -7.4201e-06      0.84627
_SET1_   22920      1  169890461  170043882    178      19  1000     -0.68406      0.74124   -7.4201e-06     -0.68405
_SET1_   4179       1  207925383  207968861     69       7  1000      0.27706      0.37645   -7.4201e-06      0.27707
_SET1_   7779       1  211748381  211752099      4       2  1000     -0.74965      0.77148   -7.4201e-06     -0.74964
_SET1_   9725       1  226033233  226070420     84       8  1000       1.4718     0.064933   -7.4201e-06       1.4718
_SET1_   142        1  226548392  226595801    101       7  1000      0.91654      0.16822   -7.4201e-06      0.91655
_SET1_   6905       1  235530728  235612280    186      15  1000     -0.67406      0.73649   -7.4201e-06     -0.67406
_SET1_   3398       2    8822113    8824583      2       1  1000      0.94866      0.17197   -7.4201e-06      0.94866
_SET1_   7514       2   61705069   61765440     81       5  1000     -0.30294       0.6037   -7.4201e-06     -0.30294
_SET1_   23190      2  136499189  136542633     76       7  1000       1.4979     0.061909   -7.4201e-06       1.4979
_SET1_   7852       2  136871919  136875725      5       2  1000        1.121      0.12908   -7.4201e-06       1.1211
_SET1_   9467       3   15295860   15382901    238      45  1000       3.9124   4.4512e-05   -7.4201e-06       3.9124
_SET1_   1499       3   41236401   41281939     34       2  1000       1.0683      0.13612   -7.4201e-06       1.0683
_SET1_   55186      3  140660662  140698785     64       3  1000      0.50011      0.29276   -7.4201e-06      0.50012
_SET1_   3576       4   74606223   74609433      4       1  1000     -0.50328      0.69283   -7.4201e-06     -0.50327
_SET1_   5481       4  159630279  159644552     19       3  1000       1.3288     0.087492   -7.4201e-06       1.3288
_SET1_   7905       5  112212081  112258339    145      11  1000       3.0938   0.00085591   -7.4201e-06       3.0938
_SET1_   56951      5  133291198  133304406     12       3  1000     -0.17942      0.56301   -7.4201e-06     -0.17941
_SET1_   4238       5  153418519  153437014     35       3  1000      0.64955      0.24807   -7.4201e-06      0.64956
_SET1_   347733     6    3224495    3227968      4       2  1000     -0.68514      0.75221   -7.4201e-06     -0.68514
_SET1_   7913       6   18224400   18264799     50       7  1000     -0.25078      0.58538   -7.4201e-06     -0.25078
_SET1_   2550       6   29570005   29600962     93       5  1000       1.5459     0.055427   -7.4201e-06       1.5459
_SET1_   9656       6   30667584   30685458     34       4  1000      -1.2985      0.89729   -7.4201e-06      -1.2985
_SET1_   4277       6   31462054   31478901    176      14  1000       1.0925      0.12853   -7.4201e-06       1.0925
_SET1_   5698       6   32821927   32827628     15       2  1000      0.84013      0.19506   -7.4201e-06      0.84013
_SET1_   896        6   41902671   42016610    286      35  1000     -0.40443      0.64982   -7.4201e-06     -0.40442
_SET1_   8763       6  109687717  109703762     39       5  1000       1.3169      0.08853   -7.4201e-06        1.317
_SET1_   3298       6  122720696  122754264     56       6  1000     -0.34199       0.6196   -7.4201e-06     -0.34198
_SET1_   5796       6  128289924  128841870    618      47  1000      -1.1212      0.86679   -7.4201e-06      -1.1212
