# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SONG_TARGETS_OF_IE86_CMV_PROTEIN (set)
# _SET1_  NGENES = 53
# _SET1_  P-VALUE = 1.45558e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1325      1   10509776   10512060      4       1  1000       0.6078      0.24873   -4.8154e-06      0.60781
_SET1_   10465     1   43123706   43142429     23       5  1000       1.2639     0.094287   -4.8154e-06       1.2639
_SET1_   4678      1   46049660   46084578     35       3  1000      0.29377      0.36404   -4.8154e-06      0.29378
_SET1_   80308     1  154955770  154965587      9       1  1000      0.44592      0.29362   -4.8154e-06      0.44592
_SET1_   4436      2   47630206   47739716    196      14  1000     0.098037      0.44518   -4.8154e-06     0.098042
_SET1_   4175      2  136597196  136634047     52       5  1000     -0.24088       0.5759   -4.8154e-06     -0.24088
_SET1_   580       2  215590370  215674428    288      19  1000       1.3285     0.086204   -4.8154e-06       1.3285
_SET1_   10675     3   47603728   47621730     15       2  1000       1.0106      0.14288   -4.8154e-06       1.0106
_SET1_   7372      3  124449213  124468120     38       5  1000       1.9136     0.024785   -4.8154e-06       1.9136
_SET1_   4171      3  127317200  127341279     23       8  1000       1.5857     0.050786   -4.8154e-06       1.5857
_SET1_   11073     3  133319449  133380762    111       7  1000       0.4141      0.32151   -4.8154e-06      0.41411
_SET1_   1633      4   71859265   71896631     36       4  1000       1.3427     0.080082   -4.8154e-06       1.3427
_SET1_   4085      4  120980577  120988013     13       2  1000       1.0038      0.14422   -4.8154e-06       1.0038
_SET1_   3148      4  174252527  174255595      3       1  1000     -0.13944      0.51679   -4.8154e-06     -0.13944
_SET1_   836       4  185548850  185570629     52       9  1000       0.1906      0.40641   -4.8154e-06       0.1906
_SET1_   1719      5   79922045   79950800    128       4  1000      0.46816      0.30139   -4.8154e-06      0.46816
_SET1_   9232      5  159848865  159855747     19       5  1000      0.23063      0.38676   -4.8154e-06      0.23064
_SET1_   2030      6   44187242   44201888     17       7  1000       2.4683    0.0059329   -4.8154e-06       2.4683
_SET1_   4172      6   52128812   52149679     54       8  1000       1.0423      0.13824   -4.8154e-06       1.0423
_SET1_   5982      7   73645832   73668788     37       5  1000      0.45432      0.30174   -4.8154e-06      0.45433
_SET1_   4176      7   99690351   99699563      9       3  1000     -0.13364      0.53146   -4.8154e-06     -0.13363
_SET1_   2146      7  148504464  148581441    105      10  1000      0.74204      0.21601   -4.8154e-06      0.74204
_SET1_   8021      9  134000948  134110057     75       4  1000      0.81152      0.19397   -4.8154e-06      0.81153
_SET1_   11130    10   58117016   58121063     10       3  1000     0.048969      0.45603   -4.8154e-06     0.048974
_SET1_   7019     10   60144903   60158990     34       7  1000      0.19673       0.4025   -4.8154e-06      0.19674
_SET1_   983      10   62538089   62554610     49       5  1000       2.2945     0.009522   -4.8154e-06       2.2945
_SET1_   23234    10   75002582   75007025      9       2  1000     -0.71603      0.73851   -4.8154e-06     -0.71603
_SET1_   3832     10   94352825   94415152    161      13  1000     -0.24289      0.57772   -4.8154e-06     -0.24289
_SET1_   6240     11    4115791    4160116    114      11  1000     0.052492      0.46174   -4.8154e-06     0.052497
_SET1_   745      11   61520121   61555990     54      11  1000     -0.72527      0.75326   -4.8154e-06     -0.72526
_SET1_   10714    11   74303575   74380386    201      14  1000     -0.44898      0.65847   -4.8154e-06     -0.44898
_SET1_   3014     11  118964580  118966177      3       1  1000      0.54963      0.27043   -4.8154e-06      0.54964
_SET1_   2305     12    2966846    2986321     28       6  1000     -0.76583      0.76204   -4.8154e-06     -0.76582
_SET1_   79022    12   48357330   48362661     12       4  1000     -0.37746      0.62713   -4.8154e-06     -0.37745
_SET1_   9416     12   49223539   49245957     27       5  1000     -0.42034      0.64481   -4.8154e-06     -0.42034
_SET1_   7374     12  109535399  109548798     11       4  1000      0.43415      0.31203   -4.8154e-06      0.43416
_SET1_   5983     13   34392206   34540695    315      20  1000      0.26516      0.37626   -4.8154e-06      0.26517
_SET1_   4860     14   20937538   20946165     16       3  1000     -0.97965      0.82143   -4.8154e-06     -0.97965
_SET1_   5873     15   55495164   55582034    247      26  1000        1.434     0.070804   -4.8154e-06        1.434
_SET1_   9768     15   64657193   64679914     28       4  1000       1.1745      0.10838   -4.8154e-06       1.1745
_SET1_   641      15   91260579   91358686    248      15  1000      0.31461      0.36043   -4.8154e-06      0.31461
_SET1_   81620    16   88870186   88875666     13       3  1000       1.6356     0.044956   -4.8154e-06       1.6356
_SET1_   6117     17    1733273    1802848    185      18  1000      0.74036       0.2184   -4.8154e-06      0.74037
_SET1_   5889     17   56769934   56811703     52       7  1000      0.35614      0.34347   -4.8154e-06      0.35614
