# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KORKOLA_SEMINOMA_UP (set)
# _SET1_  NGENES = 33
# _SET1_  P-VALUE = 7.94253e-06
_SET1_   GENE     CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   205        1  65613232  65697828    164      13  1000     -0.24273      0.59125    -2.188e-06     -0.24273
_SET1_   23085     12   1100404   1605099   1216      34  1000       2.0909     0.019489    -2.188e-06       2.0909
_SET1_   55846     12   2921716   2934237     19       2  1000      0.24699      0.39412    -2.188e-06      0.24699
_SET1_   83695     12   2985424   2998691     32       2  1000      0.26798      0.37799    -2.188e-06      0.26798
_SET1_   7289      12   3000033   3050306    177       4  1000      0.85247      0.18461    -2.188e-06      0.85247
_SET1_   7004      12   3068478   3149842    276      30  1000     -0.25016      0.60561    -2.188e-06     -0.25016
_SET1_   10867     12   3186521   3395730    819      74  1000      0.45794      0.34409    -2.188e-06      0.45794
_SET1_   894       12   4382901   4414522     59      16  1000       1.2141      0.11037    -2.188e-06       1.2141
_SET1_   57103     12   4430359   4469194     81      11  1000    -0.072579      0.52233    -2.188e-06    -0.072577
_SET1_   57102     12   4596899   4647674     35       3  1000     -0.25967      0.59774    -2.188e-06     -0.25967
_SET1_   4704      12   4758264   4796720     98      12  1000      0.78149      0.21099    -2.188e-06      0.78149
_SET1_   928       12   6309482   6347437     51       6  1000       1.9086     0.025847    -2.188e-06       1.9086
_SET1_   939       12   6554051   6560884     18       8  1000     -0.27098      0.60104    -2.188e-06     -0.27098
_SET1_   6843      12   6571403   6579843     26       5  1000     -0.10666      0.52988    -2.188e-06     -0.10666
_SET1_   2597      12   6643585   6647537     13       3  1000      0.85039      0.19062    -2.188e-06       0.8504
_SET1_   4839      12   6666036   6677498     11       3  1000     0.078977      0.46536    -2.188e-06     0.078979
_SET1_   50813     12   6833150   6841041     21       3  1000      0.22056      0.40133    -2.188e-06      0.22056
_SET1_   2784      12   6949375   6956564      2       1  1000       1.3855     0.076911    -2.188e-06       1.3855
_SET1_   7167      12   6976288   6980110      1       1  1000       2.2252      0.01242    -2.188e-06       2.2252
_SET1_   84727     12   6980099   6982521      1       1  1000       0.1111       0.4178    -2.188e-06       0.1111
_SET1_   23710     12  10365435  10375727     21       7  1000     -0.29339       0.6105    -2.188e-06     -0.29339
_SET1_   4040      12  12268959  12419811    194      16  1000     -0.51129      0.69187    -2.188e-06     -0.51129
_SET1_   1389      12  12764831  12798041     51       6  1000       1.0724      0.13495    -2.188e-06       1.0724
_SET1_   9052      12  13043956  13066600     67      11  1000      0.24183      0.39412    -2.188e-06      0.24183
_SET1_   79887     12  14656597  14720791    105      12  1000      0.34928        0.356    -2.188e-06      0.34928
_SET1_   397       12  15094949  15114562     37       5  1000      0.86524      0.18497    -2.188e-06      0.86524
_SET1_   51071     12  16064186  16190315    239      18  1000     -0.55934      0.71104    -2.188e-06     -0.55934
_SET1_   5965      12  21621844  21654603     61       9  1000       1.8394     0.030873    -2.188e-06       1.8394
_SET1_   51026     12  21654699  21671337     47       7  1000    -0.082725      0.52056    -2.188e-06    -0.082722
_SET1_   3945      12  21788275  21810789     78       2  1000     -0.38257      0.64513    -2.188e-06     -0.38257
_SET1_   58516     12  31433356  31479159     38       6  1000        1.235      0.10612    -2.188e-06        1.235
_SET1_   55196     12  32112353  32146041    134      19  1000       1.8338     0.032982    -2.188e-06       1.8338
_SET1_   121512    12  32552518  32798984    703      43  1000     -0.18049       0.5802    -2.188e-06     -0.18049
