# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_17Q21_Q25_AMPLICON (set)
# _SET1_  NGENES = 326
# _SET1_  P-VALUE = 1.61267e-07
_SET1_   GENE     CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6668      17  45973516  46006323     44       5  1000       1.0759      0.13347   -1.9067e-06       1.0759
_SET1_   55163     17  46018889  46026674     10       3  1000      0.83125      0.19909   -1.9067e-06      0.83126
_SET1_   79170     17  46029333  46035252     14       3  1000      0.73016      0.22671   -1.9067e-06      0.73017
_SET1_   80279     17  46047894  46059152     24       4  1000      0.64639       0.2509   -1.9067e-06      0.64639
_SET1_   51226     17  46103533  46120908     17       6  1000       1.4277     0.075031   -1.9067e-06       1.4277
_SET1_   4779      17  46125686  46138907     16       3  1000      -0.8611      0.79959   -1.9067e-06     -0.86109
_SET1_   10951     17  46147414  46178883     73       7  1000     -0.18109      0.55714   -1.9067e-06     -0.18109
_SET1_   29916     17  46184911  46200109     37       5  1000     -0.25808      0.59026   -1.9067e-06     -0.25808
_SET1_   8631      17  46210802  46507596    564      19  1000       1.5267     0.055401   -1.9067e-06       1.5267
_SET1_   3211      17  46606807  46608272      3       1  1000       2.7382     0.003065   -1.9067e-06       2.7382
_SET1_   3212      17  46620017  46622393      6       2  1000       2.5899    0.0046872   -1.9067e-06       2.5899
_SET1_   3213      17  46626232  46667634     57      10  1000      0.91761      0.17298   -1.9067e-06      0.91761
_SET1_   3214      17  46652869  46655743      6       3  1000     -0.55089      0.70811   -1.9067e-06     -0.55089
_SET1_   3215      17  46668619  46671103      6       3  1000      0.18589      0.42519   -1.9067e-06       0.1859
_SET1_   3216      17  46673099  46682343     12       4  1000     -0.85083      0.79927   -1.9067e-06     -0.85082
_SET1_   3217      17  46684594  46688383      9       3  1000     -0.48487      0.68275   -1.9067e-06     -0.48486
