# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN (set)
# _SET1_  NGENES = 59
# _SET1_  P-VALUE = 2.18828e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   64744      1   40839378   40888998     77      13  1000      0.15066      0.42886   -1.5574e-06      0.15067
_SET1_   2702       1  147228332  147253165     58      10  1000      0.26328      0.38041   -1.5574e-06      0.26328
_SET1_   1520       1  150702672  150738433     42       4  1000       1.0017       0.1437   -1.5574e-06       1.0017
_SET1_   1513       1  150768684  150780917      9       3  1000       1.3104     0.086219   -1.5574e-06       1.3104
_SET1_   8751       1  155023748  155035252     16       5  1000       2.0601     0.017491   -1.5574e-06       2.0601
_SET1_   7391       1  161009041  161015769     18       4  1000      0.87314      0.17763   -1.5574e-06      0.87314
_SET1_   10018      2  111878491  111926022     59       7  1000     -0.19936      0.55702   -1.5574e-06     -0.19936
_SET1_   4065       2  160659866  160761267    363      30  1000      0.34635      0.35893   -1.5574e-06      0.34635
_SET1_   10533      3   11314010   11599139    481      14  1000       1.2477       0.0986   -1.5574e-06       1.2477
_SET1_   5912       3  152880001  152888413      6       3  1000       0.8124      0.19926   -1.5574e-06       0.8124
_SET1_   6696       4   88896802   88904563     19       5  1000     -0.80147      0.77644   -1.5574e-06     -0.80147
_SET1_   57630      4  170015407  170192249    365      25  1000       1.2703     0.097834   -1.5574e-06       1.2703
_SET1_   10409      5   17216932   17276954     78      14  1000     0.070085      0.45714   -1.5574e-06     0.070087
_SET1_   57556      5  115779251  115910551    293      51  1000        1.227      0.11135   -1.5574e-06        1.227
_SET1_   6620       5  176047210  176057557     17       4  1000       2.1401     0.014207   -1.5574e-06       2.1401
_SET1_   10554      6   32135983   32145888     13       5  1000    -0.071474      0.51392   -1.5574e-06    -0.071472
_SET1_   5454       6   99282580   99286666      2       1  1000    -0.085809      0.51418   -1.5574e-06    -0.085808
_SET1_   6671       7   21467689   21554440    208      25  1000      0.13822      0.43884   -1.5574e-06      0.13822
_SET1_   27044      7  127292043  127732659    524      19  1000     -0.34805      0.62414   -1.5574e-06     -0.34805
_SET1_   9601       7  148700154  148725782     61       5  1000     -0.12848      0.53712   -1.5574e-06     -0.12848
_SET1_   116988     7  150782918  150841523    121      15  1000     -0.66789      0.73598   -1.5574e-06     -0.66789
