# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ZWANG_EGF_INTERVAL_DN (set)
# _SET1_  NGENES = 194
# _SET1_  P-VALUE = 6.76616e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   80176      1    9335202    9429591    287      42  1000      0.19419      0.40465   -1.6744e-06      0.19419
_SET1_   54897      1   10696661   10856733    303      55  1000      0.53505      0.27975   -1.6744e-06      0.53505
_SET1_   26232      1   11707924   11714888     21      11  1000      0.91063      0.15944   -1.6744e-06      0.91063
_SET1_   2707       1   35246790   35251967     12       4  1000      -1.7901      0.95715   -1.6744e-06      -1.7901
_SET1_   80149      1   37940119   37949978      9       3  1000     -0.38234      0.62633   -1.6744e-06     -0.38234
_SET1_   163732     1   41326728   41328018      7       1  1000     -0.91347      0.79825   -1.6744e-06     -0.91347
_SET1_   128218     1   43735665   43739673      5       2  1000      0.04034      0.45599   -1.6744e-06     0.040342
_SET1_   149466     1   43747554   43751334      4       2  1000     -0.23331      0.56956   -1.6744e-06     -0.23331
_SET1_   10420      1   45809555   45956840    187      11  1000     -0.42476      0.64352   -1.6744e-06     -0.42475
_SET1_   54874      1   93913688   94020218     68       7  1000       1.3085     0.084718   -1.6744e-06       1.3085
_SET1_   8412       1   94027343   94312706    726      23  1000     -0.29219      0.59989   -1.6744e-06     -0.29218
_SET1_   607        1  147013222  147098022    137      28  1000     -0.41806      0.63501   -1.6744e-06     -0.41806
_SET1_   55793      1  150969213  150980854     12       5  1000      0.42239      0.30541   -1.6744e-06      0.42239
_SET1_   57111      1  156030966  156040295      3       2  1000      0.77757      0.19972   -1.6744e-06      0.77758
_SET1_   84134      1  161195729  161200536      3       2  1000       1.2955     0.088268   -1.6744e-06       1.2955
_SET1_   57821      1  169364108  169429907    166      16  1000       1.1568      0.11178   -1.6744e-06       1.1568
_SET1_   55765      1  200860627  200884864     59      12  1000      0.12324      0.42534   -1.6744e-06      0.12324
_SET1_   1999       1  201979647  201986316     12       4  1000     -0.14512      0.52948   -1.6744e-06     -0.14512
_SET1_   10765      1  202696532  202777549    172      14  1000      -2.2916      0.98705   -1.6744e-06      -2.2916
_SET1_   11221      1  221874764  221916204     69      15  1000     -0.55513      0.68908   -1.6744e-06     -0.55513
_SET1_   56997      1  227084589  227175246    174      31  1000      -0.4904      0.66797   -1.6744e-06      -0.4904
_SET1_   7483       1  228109165  228135676     57       5  1000       2.6243    0.0036873   -1.6744e-06       2.6243
_SET1_   3790       2   18059105   18114225    166      25  1000      0.78025      0.19944   -1.6744e-06      0.78025
_SET1_   130497     2   19551246   19558372      7       2  1000     -0.25321      0.56292   -1.6744e-06     -0.25321
_SET1_   388        2   20646835   20649201      2       1  1000      0.29757       0.3611   -1.6744e-06      0.29757
_SET1_   23177      2   65283495   65314142     61       8  1000      0.86875      0.17393   -1.6744e-06      0.86875
_SET1_   6242       2   74652988   74669060     11       3  1000      0.84658      0.17302   -1.6744e-06      0.84658
_SET1_   29842      2  121974163  122042778    160      21  1000      0.57589       0.2607   -1.6744e-06      0.57589
_SET1_   84826      2  128458597  128461407      3       1  1000      0.74919      0.20951   -1.6744e-06      0.74919
_SET1_   3579       2  218990013  219001976     12       2  1000     -0.31747      0.60469   -1.6744e-06     -0.31747
_SET1_   25915      3   49057908   49060928      1       1  1000      -1.9002       0.9698   -1.6744e-06      -1.9002
_SET1_   5580       3   53195223   53226733     62       9  1000     -0.88302      0.79122   -1.6744e-06     -0.88302
_SET1_   57018      3  156864291  156878482     25       4  1000       1.3212     0.081781   -1.6744e-06       1.3212
_SET1_   80117      3  160394948  160396236      1       1  1000        1.833      0.02939   -1.6744e-06        1.833
_SET1_   5337       3  171318195  171528284    496      18  1000      -0.5034      0.67896   -1.6744e-06      -0.5034
_SET1_   8743       3  172223298  172241297     60       8  1000     -0.81283      0.77357   -1.6744e-06     -0.81283
_SET1_   6480       3  186648315  186796341    541      70  1000      0.56282      0.27679   -1.6744e-06      0.56282
_SET1_   3280       3  193853931  193856401      2       1  1000     -0.29178      0.58873   -1.6744e-06     -0.29178
_SET1_   80306      4   17616273   17626160     21       2  1000      0.13543      0.42513   -1.6744e-06      0.13543
_SET1_   51274      4   38665790   38703129     54      11  1000     0.035253      0.45811   -1.6744e-06     0.035254
