# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ZHAN_V1_LATE_DIFFERENTIATION_GENES_DN (set)
# _SET1_  NGENES = 13
# _SET1_  P-VALUE = 1.86396e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5778      1  202116141  202130716     29      13  1000       2.2113     0.012625    -3.934e-07       2.2113
_SET1_   2487      2  183698002  183731498     79      11  1000      0.68256      0.23503    -3.934e-07      0.68256
_SET1_   23107     5   71515236   71616084    109      11  1000       1.7284     0.038822    -3.934e-07       1.7284
_SET1_   3159      6   34204577   34214008      6       2  1000    -0.096403      0.54011    -3.934e-07    -0.096403
_SET1_   1164      9   91926113   91931618      5       2  1000       1.2803     0.097224    -3.934e-07       1.2803
_SET1_   10541     9  100745479  100780860     38       6  1000       2.0165     0.019894    -3.934e-07       2.0165
_SET1_   6150     11    1968502    2007295    124      14  1000       1.6773     0.042975    -3.934e-07       1.6773
_SET1_   1643     11   47236493   47260769     44       5  1000      0.71902       0.2244    -3.934e-07      0.71902
_SET1_   1445     15   75074425   75095539     41       8  1000       1.2319      0.10304    -3.934e-07       1.2319
_SET1_   23526    19    1065922    1086627     77      15  1000     -0.79863      0.77771    -3.934e-07     -0.79863
_SET1_   1786     19   10244021   10305783     86       7  1000       1.5059     0.060518    -3.934e-07       1.5059
_SET1_   11184    19   39078281   39108643     49       6  1000     -0.44633      0.66509    -3.934e-07     -0.44633
_SET1_   6628     20    2442281    2451499     11       2  1000      -0.1538      0.54962    -3.934e-07      -0.1538

# _SET2_  VARIABLE = REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE (set)
# _SET2_  NGENES = 11
# _SET2_  P-VALUE = 7.459e-06
_SET2_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   2782     1    1716725    1822552    112      10  1000     0.027625      0.47144    -3.934e-07     0.027625
_SET2_   6295     2  234216309  234255701    115      14  1000       1.7227     0.039201    -3.934e-07       1.7227
_SET2_   2779     3   50229043   50235129      3       1  1000      0.61425      0.26181    -3.934e-07      0.61426
_SET2_   6010     3  129247482  129254187     17       5  1000      0.55015      0.28705    -3.934e-07      0.55015
_SET2_   5158     4     619363     664681     72       4  1000      0.99645      0.15006    -3.934e-07      0.99646
_SET2_   1259     4   47937994   48018646    245      15  1000      0.53196      0.28283    -3.934e-07      0.53196
_SET2_   5145     5  149237519  149324356    183      27  1000     -0.32595       0.6189    -3.934e-07     -0.32595
_SET2_   2792     7   93535820   93540485     12       3  1000       1.3253      0.08764    -3.934e-07       1.3253
_SET2_   9187    15   65903618   65953334     69       4  1000      0.71886      0.22599    -3.934e-07      0.71886
_SET2_   1258    16   57916244   58005020    238      44  1000     -0.39193      0.64836    -3.934e-07     -0.39193
_SET2_   5148    17   79617489   79623607     29       6  1000      0.63114      0.25186    -3.934e-07      0.63114

# _SET3_  VARIABLE = REACTOME_THE_PHOTOTRANSDUCTION_CASCADE (set)
# _SET3_  NGENES = 31
