# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MIKKELSEN_MCV6_HCP_WITH_H3K27ME3 (set)
# _SET1_  NGENES = 417
# _SET1_  P-VALUE = 1.32995e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2563          1    1950768    1962192     22       4  1000     0.079494       0.4493   -2.1497e-06     0.079496
_SET1_   7161          1    3569129    3652765    265      44  1000       1.2558      0.10884   -2.1497e-06       1.2558
_SET1_   26038         1    6161847    6240194    263      25  1000      0.96749      0.16188   -2.1497e-06       0.9675
_SET1_   57540         1   11539295   11597640    130      11  1000       1.0479      0.13672   -2.1497e-06       1.0479
_SET1_   374946        1   11751781   11780336     88      15  1000       -1.139       0.8658   -2.1497e-06       -1.139
_SET1_   84966         1   18434240   18704977    821     100  1000      0.51761      0.34077   -2.1497e-06      0.51761
_SET1_   3362          1   19991780   20006055     30       5  1000      0.22267      0.39198   -2.1497e-06      0.22268
_SET1_   163933        1   20878932   20881513      3       1  1000     -0.55964      0.69522   -2.1497e-06     -0.55963
_SET1_   2046          1   22890004   22930087    109      15  1000     0.099338      0.44929   -2.1497e-06     0.099341
_SET1_   3352          1   23518388   23521222      4       2  1000     -0.97955      0.82626   -2.1497e-06     -0.97954
_SET1_   126695        1   27276047   27286901      5       2  1000      0.67597      0.23748   -2.1497e-06      0.67597
_SET1_   388610        1   27320189   27327377      2       1  1000       1.3536      0.08048   -2.1497e-06       1.3536
_SET1_   347735        1   31882412   31907527     71       9  1000      0.49048       0.2931   -2.1497e-06      0.49048
_SET1_   3061          1   32083290   32093214     21       3  1000       1.7872     0.031886   -2.1497e-06       1.7872
_SET1_   576           1   32192718   32230494     33       6  1000      0.25153      0.39399   -2.1497e-06      0.25153
_SET1_   252995        1   33327869   33338093      8       2  1000       1.0535      0.13352   -2.1497e-06       1.0535
_SET1_   113452        1   33360196   33367041      6       1  1000       2.0019     0.020622   -2.1497e-06       2.0019
_SET1_   339488        1   36038971   36060929     23       7  1000      0.36306      0.36346   -2.1497e-06      0.36307
_SET1_   1296          1   36560840   36591305     65      10  1000      0.84155      0.19513   -2.1497e-06      0.84155
_SET1_   284654        1   38076821   38100595     38       7  1000      0.88915      0.17439   -2.1497e-06      0.88915
_SET1_   4610          1   40361096   40367687      8       3  1000       1.9046     0.026059   -2.1497e-06       1.9046
_SET1_   1298          1   40766162   40782939     49       9  1000      0.26637      0.39019   -2.1497e-06      0.26638
_SET1_   9132          1   41249684   41306124    138      29  1000      0.40594      0.34261   -2.1497e-06      0.40594
_SET1_   2301          1   47881744   47883724      3       2  1000       1.1049      0.12864   -2.1497e-06       1.1049
_SET1_   27022         1   63788730   63790797      3       2  1000     -0.41042      0.65151   -2.1497e-06     -0.41042
_SET1_   26289         1   77747662   78025654    826      54  1000      -0.1487      0.56168   -2.1497e-06      -0.1487
_SET1_   163404        1   99355801   99470449    298      28  1000     -0.32201      0.61899   -2.1497e-06     -0.32201
_SET1_   388662        1  110693132  110744824     88      10  1000    -0.022287      0.48313   -2.1497e-06    -0.022284
_SET1_   3749          1  110753336  110776674     35       9  1000     0.016284      0.47719   -2.1497e-06     0.016287
_SET1_   3737          1  111136202  111174096     82       8  1000       1.3228     0.086733   -2.1497e-06       1.3228
_SET1_   3752          1  112318444  112532147    510      61  1000      0.39892      0.36179   -2.1497e-06      0.39892
_SET1_   7482          1  113010040  113063910    107      18  1000       1.5989     0.052529   -2.1497e-06       1.5989
_SET1_   148281        1  114631914  114696472    215      45  1000     -0.38194       0.6589   -2.1497e-06     -0.38193
_SET1_   4808          1  116378998  116383747      6       3  1000     -0.28629      0.59783   -2.1497e-06     -0.28629
_SET1_   9659          1  144851424  145076186    346      86  1000    0.0084369      0.54256   -2.1497e-06     0.008439
_SET1_   126669        1  154442118  154474786     39       6  1000      0.85441      0.18321   -2.1497e-06      0.85441
_SET1_   1141          1  154540257  154552354     13       4  1000      0.16778      0.42154   -2.1497e-06      0.16778
_SET1_   63827         1  156611740  156629324     21       4  1000      0.26787      0.36981   -2.1497e-06      0.26787
