# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = RAMASWAMY_METASTASIS_DN (set)
# _SET1_  NGENES = 52
# _SET1_  P-VALUE = 6.29905e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   375790     1     955503     991499    104      11  1000      0.82709      0.19377   -5.1617e-06       0.8271
_SET1_   6886       1   47681962   47697938     23       4  1000     -0.20376      0.56748   -5.1617e-06     -0.20375
_SET1_   4919       1   64239690   64647181    852      67  1000       3.3563   0.00047566   -5.1617e-06       3.3563
_SET1_   22924      2   27193525   27250087     44       2  1000     0.026362      0.46663   -5.1617e-06     0.026367
_SET1_   5966       2   61108709   61171410     52       8  1000     -0.46505      0.66744   -5.1617e-06     -0.46504
_SET1_   72         2   74120093   74146780    118      11  1000    -0.057772      0.50806   -5.1617e-06    -0.057767
_SET1_   23397      2   97001479   97042833     28       4  1000      0.24738      0.38812   -5.1617e-06      0.24738
_SET1_   6769       3   36421842   36589499    326      36  1000       1.2534      0.10629   -5.1617e-06       1.2534
_SET1_   10181      3   50126341   50156397     22       3  1000      0.42154      0.32332   -5.1617e-06      0.42155
_SET1_   4638       3  123331143  123603149    525      47  1000    -0.049139      0.52674   -5.1617e-06    -0.049134
_SET1_   7707       3  124944513  125094198    233       8  1000       1.3161     0.083583   -5.1617e-06       1.3161
_SET1_   7881       3  155838337  156256927    793      57  1000      0.16228      0.44768   -5.1617e-06      0.16228
_SET1_   5593       4   82008643   82136271    323      20  1000       0.1058      0.44251   -5.1617e-06      0.10581
_SET1_   4131       5   71403118   71505397    159      33  1000      0.43379      0.33893   -5.1617e-06       0.4338
_SET1_   5145       5  149237519  149324356    183      27  1000     0.094964      0.46116   -5.1617e-06      0.09497
_SET1_   5089       6   32152510   32157963     10       4  1000     -0.28516      0.60444   -5.1617e-06     -0.28515
_SET1_   3115       6   33043703   33057473    281      12  1000     -0.85413      0.78776   -5.1617e-06     -0.85412
_SET1_   5764       7  136912088  137028606    244      36  1000      0.81945      0.21082   -5.1617e-06      0.81946
_SET1_   7988       7  148936741  148952700     35       8  1000      -0.1977      0.56825   -5.1617e-06      -0.1977
_SET1_   4342       8   57025501   57026541      1       1  1000       1.5945      0.05519   -5.1617e-06       1.5945
_SET1_   2395       9   71650479   71715094    226      14  1000      0.45623      0.30933   -5.1617e-06      0.45624
_SET1_   6096       9   77112252   77303534    323      28  1000      0.75442      0.22177   -5.1617e-06      0.75442
