# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SCHLESINGER_METHYLATED_IN_COLON_CANCER (set)
# _SET1_  NGENES = 10
# _SET1_  P-VALUE = 1.94627e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3549      2  219919142  219925238     11       2  1000      0.31104      0.36314   -1.8636e-06      0.31104
_SET1_   57575     4  134070470  134112732     69      10  1000       1.2702     0.099634   -1.8636e-06       1.2702
_SET1_   64399     4  145567148  145662542    124       7  1000      0.97317      0.15999   -1.8636e-06      0.97317
_SET1_   6423      4  154701742  154710228     17       5  1000      0.94302      0.16659   -1.8636e-06      0.94302
_SET1_   6422      8   41119476   41166990    102      11  1000       0.6557        0.252   -1.8636e-06       0.6557
_SET1_   22943    10   54074041   54077417      5       2  1000        1.495      0.06237   -1.8636e-06        1.495
_SET1_   6425     10   99526508   99531756      7       2  1000       1.1807      0.11108   -1.8636e-06       1.1807
_SET1_   4255     10  131265454  131565783    872      48  1000       2.0222     0.021289   -1.8636e-06       2.0222
_SET1_   11197    12   65444404   65515346    100      11  1000       1.1264       0.1274   -1.8636e-06       1.1264
_SET1_   1045     13   28536205   28543505     14       3  1000     0.057607      0.46397   -1.8636e-06     0.057608
