# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KYNG_WERNER_SYNDROM_AND_NORMAL_AGING_UP (set)
# _SET1_  NGENES = 79
# _SET1_  P-VALUE = 6.3783e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   81669      1    1321091    1334718     16       5  1000     -0.24753      0.58882   -3.5344e-06     -0.24753
_SET1_   115209     1   58881052   59012469    382      33  1000      0.98614      0.15553   -3.5344e-06      0.98614
_SET1_   5565       1  146626685  146644168     37       5  1000       1.1894      0.10802   -3.5344e-06       1.1894
_SET1_   7062       1  152078793  152087930      4       1  1000      0.35509       0.3473   -3.5344e-06      0.35509
_SET1_   9588       1  173446486  173457946      8       2  1000      0.67838      0.24186   -3.5344e-06      0.67838
_SET1_   1118       1  203185207  203198860     32       5  1000      0.86757      0.17991   -3.5344e-06      0.86757
_SET1_   7832       1  203274664  203278730     10       4  1000      0.66081      0.24847   -3.5344e-06      0.66081
_SET1_   4613       2   16080683   16087129      5       2  1000     -0.18527      0.56155   -3.5344e-06     -0.18526
_SET1_   338        2   21224301   21266945     43       9  1000     -0.21293       0.5667   -3.5344e-06     -0.21293
_SET1_   6432       2   38970741   38978636      5       1  1000       1.3725     0.080844   -3.5344e-06       1.3725
_SET1_   10617      2   74056043   74100783     69      10  1000      -1.3682      0.91102   -3.5344e-06      -1.3682
_SET1_   285190     2  108443388  108509000     71       7  1000       -1.176      0.87029   -3.5344e-06       -1.176
_SET1_   79712      2  144702502  145112578    390      22  1000      0.31945      0.37546   -3.5344e-06      0.31945
_SET1_   4615       3   38179969   38184513      2       1  1000      -2.1042      0.98228   -3.5344e-06      -2.1042
_SET1_   131566     3   98514814   98620566    156       8  1000      0.17379      0.40677   -3.5344e-06      0.17379
_SET1_   25852      3  137906115  138017231     68      10  1000     -0.77806       0.7699   -3.5344e-06     -0.77806
_SET1_   2122       3  168801287  169381563   1392      97  1000      0.82331      0.22529   -3.5344e-06      0.82331
_SET1_   6514       3  170714137  170744768     58       3  1000     -0.13487      0.53959   -3.5344e-06     -0.13487
_SET1_   5290       3  178866311  178952500    126       9  1000       1.8604     0.028612   -3.5344e-06       1.8604
_SET1_   6047       4    2470795    2517586    113      17  1000       1.4189     0.072962   -3.5344e-06       1.4189
_SET1_   118        4    2845454    2931803     89       7  1000       0.7448      0.21198   -3.5344e-06      0.74481
_SET1_   2555       4   46246470   46392056    258       9  1000      0.66556      0.23315   -3.5344e-06      0.66557
_SET1_   1601       5   39371776   39425335     96      15  1000      0.37481      0.34083   -3.5344e-06      0.37482
_SET1_   3187       5  179041179  179050722     16       4  1000       1.2545     0.097973   -3.5344e-06       1.2545
_SET1_   5292       6   37137922   37143204      6       2  1000       1.1441      0.12319   -3.5344e-06       1.1441
_SET1_   221395     6   46820242   46922681    244      26  1000     -0.16837      0.55399   -3.5344e-06     -0.16837
_SET1_   262        6  111135823  111216916     40       7  1000      0.31044      0.36889   -3.5344e-06      0.31044
_SET1_   5575       7     588834     767313    497      48  1000       1.0872      0.13626   -3.5344e-06       1.0872
_SET1_   8795       8   22877646   22926700    153      26  1000     -0.18456      0.55901   -3.5344e-06     -0.18456
_SET1_   9583       8   23284687   23315244     48       8  1000      0.50405      0.29276   -3.5344e-06      0.50406
_SET1_   55140      8   27950584   28048670    183      12  1000       2.3286    0.0085521   -3.5344e-06       2.3286
_SET1_   5324       8   57073463   57123859     59       5  1000    -0.056686      0.50937   -3.5344e-06    -0.056683
_SET1_   8836       8   63927638   63951610     83       9  1000      0.47019      0.30712   -3.5344e-06       0.4702
_SET1_   10397      8  134249414  134309835    164      26  1000      -1.0801       0.8518   -3.5344e-06      -1.0801
_SET1_   6194       9   19376253   19380272      6       1  1000     0.056153      0.47564   -3.5344e-06     0.056157
_SET1_   2683       9   33110636   33167356    146      11  1000      0.87451      0.17694   -3.5344e-06      0.87451
_SET1_   5727       9   98205264   98279247    118      10  1000     -0.23209      0.57649   -3.5344e-06     -0.23208
_SET1_   56623      9  139323067  139334305     35       4  1000      -1.2772      0.89079   -3.5344e-06      -1.2772
_SET1_   23185     10     852854     977645    182       7  1000     -0.16562      0.54493   -3.5344e-06     -0.16562
_SET1_   84991     10    6130949    6159422     58      11  1000      0.60744      0.25984   -3.5344e-06      0.60744
_SET1_   983       10   62538089   62554610     49       5  1000     -0.90686      0.80485   -3.5344e-06     -0.90686
_SET1_   9585      10   91461264   91534700    239      10  1000      0.44748      0.31012   -3.5344e-06      0.44748
_SET1_   6934      10  114709978  114927437    349      51  1000      -1.1593       0.8735   -3.5344e-06      -1.1593
_SET1_   7073      10  121332977  121356541     21       5  1000      0.29263      0.37292   -3.5344e-06      0.29263
_SET1_   9537      11   44907454   44972919    191      33  1000     -0.83507      0.79054   -3.5344e-06     -0.83506
_SET1_   10062     11   47269851   47290584     36       4  1000     -0.54463      0.69272   -3.5344e-06     -0.54463
_SET1_   219988    11   59404189   59436513     24       4  1000     -0.87057      0.81032   -3.5344e-06     -0.87057
_SET1_   8986      11   64126625   64139687     27       3  1000       1.3832     0.075457   -3.5344e-06       1.3832
_SET1_   9379      11   64373646   64490660    138      10  1000       1.0158      0.14661   -3.5344e-06       1.0158
_SET1_   29901     11   64808376   64812300      9       3  1000      0.77627      0.21179   -3.5344e-06      0.77627
_SET1_   1111      11  125495031  125546150     95      10  1000      0.43141      0.31875   -3.5344e-06      0.43141
_SET1_   113251    12   50794592   50873788    105       6  1000     -0.91334      0.81887   -3.5344e-06     -0.91333
_SET1_   9733      12  108915991  108955165    109       8  1000      0.27215       0.3764   -3.5344e-06      0.27216
_SET1_   26353     12  119616595  119632551     33       5  1000      -0.3322      0.62127   -3.5344e-06      -0.3322
_SET1_   5564      12  120105669  120119429     13       2  1000     -0.90867      0.80632   -3.5344e-06     -0.90866
_SET1_   1361      13   46627201   46695318    163       9  1000      0.10453      0.43448   -3.5344e-06      0.10453
_SET1_   55017     14   23564683   23569665     19       4  1000     -0.83308      0.79128   -3.5344e-06     -0.83308
_SET1_   394       14   32545664   32628934     44      10  1000      0.51978      0.29634   -3.5344e-06      0.51978
_SET1_   3895      14   56046925   56151302    202       9  1000       1.8104     0.031991   -3.5344e-06       1.8104
_SET1_   4140      14  103851701  103970168    250      10  1000      0.17648      0.40584   -3.5344e-06      0.17648
_SET1_   8766      15   66161629   66184329     15       4  1000      -1.0954      0.85809   -3.5344e-06      -1.0954
_SET1_   8482      15   74701630   74726299     53      11  1000       1.0372      0.14359   -3.5344e-06       1.0372
_SET1_   53339     15   83685175   83736106     77       9  1000      0.79061      0.20148   -3.5344e-06      0.79062
_SET1_   51330     16    3070313    3072384      3       1  1000      0.91161      0.17288   -3.5344e-06      0.91162
_SET1_   1773      16    3661772    3712689     63       8  1000      0.64816      0.24705   -3.5344e-06      0.64817
_SET1_   11051     16   56463048   56485261     29       6  1000      0.84422      0.19169   -3.5344e-06      0.84423
_SET1_   2653      16   81115552   81129980     67       3  1000      0.51046      0.29842   -3.5344e-06      0.51046
_SET1_   6521      17   42325758   42351654     36      10  1000     -0.52416      0.68991   -3.5344e-06     -0.52415
_SET1_   9520      17   45600316   45700642     98       5  1000     -0.15374      0.53484   -3.5344e-06     -0.15374
_SET1_   4353      17   56347217   56358296      7       3  1000      0.23336      0.40135   -3.5344e-06      0.23336
_SET1_   125228    18   13663346   13726591    132      12  1000      0.32949      0.35395   -3.5344e-06       0.3295
_SET1_   4152      18   47793252   47808144     20       4  1000      0.21655      0.39919   -3.5344e-06      0.21655
_SET1_   10994     19   15225785   15236610     26       5  1000      0.73248      0.21651   -3.5344e-06      0.73248
_SET1_   57711     19   37034517   37096178     98       9  1000     -0.17457      0.54765   -3.5344e-06     -0.17456
_SET1_   4858      19   46442771   46476657     55      10  1000       2.5183    0.0051967   -3.5344e-06       2.5183
_SET1_   5111      20    5095599    5107268     16       2  1000      -1.0326      0.84604   -3.5344e-06      -1.0326
_SET1_   51012     20   57608200   57617901      8       2  1000      0.40753      0.32773   -3.5344e-06      0.40753
_SET1_   85352     22   44639545   44727470    267      42  1000      0.13259      0.44216   -3.5344e-06      0.13259
_SET1_   55007     22   45705081   45737836     90       9  1000      0.65163       0.2413   -3.5344e-06      0.65163
