# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = HUMMERICH_MALIGNANT_SKIN_TUMOR_DN (set)
# _SET1_  NGENES = 19
# _SET1_  P-VALUE = 5.55612e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   51375     1   99127236   99226056    303      17  1000     -0.23936      0.58702   -2.6618e-07     -0.23936
_SET1_   84666     3  108474486  108476130      5       3  1000     -0.66008       0.7442   -2.6618e-07     -0.66008
_SET1_   213       4   74269972   74287129     23       2  1000       1.3997     0.073834   -2.6618e-07       1.3997
_SET1_   4299      4   87855758   88062206    362      23  1000      0.70423        0.239   -2.6618e-07      0.70423
_SET1_   51294     5  141323150  141338627     20       4  1000      0.85047      0.18922   -2.6618e-07      0.85047
_SET1_   761       8   86351056   86361269      7       2  1000      0.40941      0.33312   -2.6618e-07      0.40941
_SET1_   7136     11    1860233    1862910      6       3  1000      0.16687      0.43147   -2.6618e-07      0.16687
_SET1_   7140     11    1940799    1959936     58      12  1000      -1.0639      0.85437   -2.6618e-07      -1.0639
_SET1_   83982    14   94594118   94595957      1       1  1000     -0.33292        0.634   -2.6618e-07     -0.33292
_SET1_   487      16   28889192   28915830     35       6  1000        1.197      0.11205   -2.6618e-07        1.197
_SET1_   29895    16   30386123   30389310      2       1  1000       1.5452     0.058978   -2.6618e-07       1.5452
_SET1_   1339     16   31439052   31439749      2       1  1000      -0.4396      0.67906   -2.6618e-07      -0.4396
_SET1_   4626     17   10293642   10325267     46       4  1000       1.3252     0.086251   -2.6618e-07       1.3252
_SET1_   4620     17   10424465   10453017     58       6  1000       1.0607      0.13936   -2.6618e-07       1.0607
_SET1_   1675     19     859665     863624     12       3  1000       1.2757     0.095834   -2.6618e-07       1.2757
_SET1_   1158     19   45809671   45826302     46      10  1000     -0.99368      0.83563   -2.6618e-07     -0.99368
_SET1_   51282    20   34541539   34543281      2       1  1000      0.66105      0.25956   -2.6618e-07      0.66105
_SET1_   7125     20   44451853   44455953     11       3  1000      0.47138      0.31122   -2.6618e-07      0.47138
_SET1_   23654    22   50713408   50746062     78      14  1000     -0.94345      0.82362   -2.6618e-07     -0.94345
