# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES (set)
# _SET1_  NGENES = 35
# _SET1_  P-VALUE = 5.81666e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23252      1   20208356   20239438     44       8  1000      0.78897       0.2017   -4.9899e-06      0.78897
_SET1_   56957      1  149912229  149982686     33       5  1000      0.43031      0.31632   -4.9899e-06      0.43031
_SET1_   55432      1  207217194  207226325     10       2  1000      -1.0768      0.84086   -4.9899e-06      -1.0768
_SET1_   6233       2   55459039   55462989      7       3  1000       1.3357      0.08173   -4.9899e-06       1.3357
_SET1_   64135      2  163123589  163175218     87       3  1000     -0.40501      0.63119   -4.9899e-06     -0.40501
_SET1_   387        3   49396569   49449526     72       6  1000      0.24066      0.38013   -4.9899e-06      0.24066
_SET1_   79155      4    2743387    2758103     38       6  1000       2.2644     0.010145   -4.9899e-06       2.2645
_SET1_   79931      4  122052563  122148624    150       9  1000      0.05512      0.45591   -4.9899e-06     0.055125
_SET1_   324        5  112043202  112181936    206      12  1000      0.24447       0.3807   -4.9899e-06      0.24447
_SET1_   10318      5  150409504  150467221    163      28  1000      0.03425      0.48058   -4.9899e-06     0.034255
_SET1_   8737       6    3064201    3115421    124      24  1000       1.9168     0.027103   -4.9899e-06       1.9168
_SET1_   7128       6  138188325  138204451     22       4  1000       2.1137     0.015179   -4.9899e-06       2.1137
_SET1_   2099       6  152011631  152424409    978      59  1000        1.177      0.11004   -4.9899e-06        1.177
_SET1_   10392      7   30464143   30518426    103      12  1000     -0.69325      0.74307   -4.9899e-06     -0.69325
_SET1_   80124      8   67542488   67579452     31       2  1000     -0.40756      0.63672   -4.9899e-06     -0.40756
_SET1_   8767       8   90769335   90803292    107      12  1000    -0.088533      0.52021   -4.9899e-06    -0.088528
_SET1_   23586      9   32455300   32526322    148      12  1000       2.9868    0.0011812   -4.9899e-06       2.9868
_SET1_   7415       9   35056065   35072739     24       5  1000       0.8666      0.17906   -4.9899e-06       0.8666
_SET1_   7321      10   60094739   60130513     62      10  1000      0.26345      0.38493   -4.9899e-06      0.26346
_SET1_   983       10   62538089   62554610     49       5  1000     -0.31288      0.59949   -4.9899e-06     -0.31288
_SET1_   5728      10   89623195   89728532     48       9  1000     -0.11181        0.529   -4.9899e-06      -0.1118
_SET1_   54764     10  126605704  126676005    104      11  1000     -0.59556      0.71119   -4.9899e-06     -0.59555
_SET1_   7189      11   36505317   36531863     26       3  1000      0.84253      0.18308   -4.9899e-06      0.84253
_SET1_   55611     11   63753325   63765892     22       5  1000     0.050538       0.4582   -4.9899e-06     0.050543
_SET1_   7316      12  125396192  125399587     13       3  1000     0.046723      0.46149   -4.9899e-06     0.046728
_SET1_   78990     14   94489511   94515276     79      10  1000       0.8047       0.1978   -4.9899e-06       0.8047
_SET1_   7187      14  103243816  103377837    186      10  1000     0.069386       0.4497   -4.9899e-06     0.069391
_SET1_   161725    15   31773884   32162875    877      35  1000      0.40648      0.31615   -4.9899e-06      0.40648
_SET1_   64127     16   50727507   50766990     54       6  1000     0.080127       0.4432   -4.9899e-06     0.080132
_SET1_   7157      17    7571720    7590868     39       8  1000      0.61367      0.25861   -4.9899e-06      0.61367
_SET1_   7314      17   16284367   16286059      2       1  1000     0.072856      0.42101   -4.9899e-06     0.072861
_SET1_   84282     17   29296224   29326929     39       3  1000      0.86085      0.18066   -4.9899e-06      0.86086
_SET1_   7706      17   54965270   54991409     30       7  1000      0.55894       0.2729   -4.9899e-06      0.55894
_SET1_   7311      19   18674576   18688270     28       2  1000      0.76942      0.19574   -4.9899e-06      0.76943
_SET1_   57506     20    3827446    3856770     59      17  1000       -1.494       0.9291   -4.9899e-06       -1.494
