# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ONGUSAHA_BRCA1_TARGETS_UP (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 6.70315e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1647      1   68150860   68154021      7       2  1000       1.0258      0.14248   -3.9695e-07       1.0258
_SET1_   1893      1  150480487  150486265      9       3  1000      0.46208      0.30807   -3.9695e-07      0.46208
_SET1_   7045      5  135364584  135399507     67       5  1000    -0.011134      0.49138   -3.9695e-07    -0.011134
_SET1_   5168      8  120569317  120685644    207      24  1000      0.36992      0.35152   -3.9695e-07      0.36992
_SET1_   54541    10   74033677   74035797      3       1  1000     -0.35662       0.6205   -3.9695e-07     -0.35662
_SET1_   5950     10   95351593   95361101     42       5  1000    -0.038362      0.50169   -3.9695e-07    -0.038362
_SET1_   4322     11  102813721  102826463     25       6  1000       2.4008    0.0074807   -3.9695e-07       2.4008
_SET1_   3860     17   39657233   39661865     11       3  1000     -0.45464      0.66085   -3.9695e-07     -0.45464
_SET1_   348      19   45409039   45412650      5       2  1000       2.2299     0.011492   -3.9695e-07       2.2299
_SET1_   80781    21   46825058   46933634    420      33  1000      -0.4454      0.67018   -3.9695e-07      -0.4454
_SET1_   3162     22   35777060   35790207     39       5  1000        2.655    0.0035851   -3.9695e-07        2.655

# _SET2_  VARIABLE = WAKABAYASHI_ADIPOGENESIS_PPARG_BOUND_8D (set)
# _SET2_  NGENES = 619
# _SET2_  P-VALUE = 1.3107e-06
_SET2_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   388581        1    1177826    1182102      9       2  1000     -0.48023      0.66881   -3.9695e-07     -0.48023
_SET2_   142678        1    1550795    1565990     29       5  1000     -0.12959      0.53826   -3.9695e-07     -0.12959
_SET2_   90326         1    6684925    6695646     22       3  1000       2.1841     0.013126   -3.9695e-07       2.1841
_SET2_   2023          1    8921059    8939151     26       5  1000      0.69584      0.23269   -3.9695e-07      0.69584
_SET2_   80176         1    9335202    9429591    287      42  1000      -1.1022      0.86527   -3.9695e-07      -1.1022
