# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = WEBER_METHYLATED_LCP_IN_FIBROBLAST_UP (set)
# _SET1_  NGENES = 12
# _SET1_  P-VALUE = 5.74208e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   51686      1  151735445  151743806     25       4  1000     -0.28326      0.58905   -4.5928e-06     -0.28326
_SET1_   7141       2  217724181  217724782      1       1  1000      0.29874       0.3778   -4.5928e-06      0.29875
_SET1_   130560     2  231860839  231884572    141      10  1000       2.0087     0.018721   -4.5928e-06       2.0087
_SET1_   347732     5  134303596  134347397     75      14  1000      0.34974      0.34536   -4.5928e-06      0.34975
_SET1_   29999      7  127233689  127241851     15       4  1000      0.20574      0.40241   -4.5928e-06      0.20574
_SET1_   4956       8  103563848  103573245     50       7  1000    -0.087599      0.51257   -4.5928e-06    -0.087594
_SET1_   881        9   36165990   36171331      3       1  1000       1.7328     0.038455   -4.5928e-06       1.7328
_SET1_   64232     11   60197062   60215265     73      10  1000       1.0535      0.13361   -4.5928e-06       1.0535
_SET1_   117144    11   65784223   65793988     19       3  1000       1.7643     0.034853   -4.5928e-06       1.7643
_SET1_   341567    12   48722763   48724062      3       2  1000       2.5169    0.0053869   -4.5928e-06       2.5169
_SET1_   317719    17   39992572   40004599     35       3  1000     -0.78135      0.76626   -4.5928e-06     -0.78134
_SET1_   10047     20   23471766   23476655     10       2  1000     -0.22856      0.56931   -4.5928e-06     -0.22856
