# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS (set)
# _SET1_  NGENES = 66
# _SET1_  P-VALUE = 3.27171e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   55624      1   46654353   46685977     31       5  1000      0.55976      0.27731   -8.2122e-06      0.55977
_SET1_   4853       1  120454176  120639880    131      10  1000      -0.2712      0.59629   -8.2122e-06     -0.27119
_SET1_   54507      1  150521846  150533413     18       8  1000     -0.35731       0.6363   -8.2122e-06     -0.35731
_SET1_   4582       1  155158300  155162768      2       1  1000       1.2931     0.092951   -8.2122e-06       1.2931
_SET1_   9507       1  161159538  161168845     10       3  1000      0.51953      0.29236   -8.2122e-06      0.51953
_SET1_   80731      2  137639718  138435287   2305      80  1000      0.70525      0.24877   -8.2122e-06      0.70526
_SET1_   2591       2  166604313  166650803     47       5  1000      -0.3196      0.60795   -8.2122e-06     -0.31959
_SET1_   1605       3   49506136   49573051     79       6  1000      0.69206      0.22926   -8.2122e-06      0.69207
_SET1_   56999      3   64501330   64673676    476      42  1000      -1.0389      0.85363   -8.2122e-06      -1.0389
_SET1_   54437      3  122628040  122747452    364      51  1000     -0.80089      0.80125   -8.2122e-06     -0.80088
_SET1_   56667      3  124624289  124653595     81      13  1000      0.92356      0.17202   -8.2122e-06      0.92357
_SET1_   200958     3  195416293  195467004    216      30  1000       2.9271    0.0017268   -8.2122e-06       2.9271
_SET1_   4585       3  195473636  195539148    346      25  1000       1.6972     0.043067   -8.2122e-06       1.6972
_SET1_   10417      4    1160720    1202750     88      17  1000       1.0739      0.14072   -8.2122e-06       1.0739
_SET1_   4589       4   71296209   71348714    175      16  1000      0.26216      0.38755   -8.2122e-06      0.26217
_SET1_   9508       4   73146686   73434516    426      21  1000      0.27543      0.37777   -8.2122e-06      0.27544
_SET1_   170690     5    5140443    5320412    701      83  1000       1.7997     0.043329   -8.2122e-06       1.7997
_SET1_   9037       5    9035138    9546233   1367     117  1000      0.11288       0.5048   -8.2122e-06      0.11289
_SET1_   81792      5   33523640   33892319   1122      72  1000         1.59     0.060723   -8.2122e-06         1.59
_SET1_   11174      5   64444563   64777704    600      26  1000      0.11553       0.4409   -8.2122e-06      0.11554
_SET1_   171019     5  128796103  129074376    559      21  1000      0.20947      0.40248   -8.2122e-06      0.20948
_SET1_   9509       5  178537852  178772431    767     102  1000       1.6097     0.068065   -8.2122e-06       1.6097
_SET1_   394263     6   30951485   30957675     32       5  1000      0.94159      0.16741   -8.2122e-06       0.9416
_SET1_   4855       6   32162620   32191844     93      15  1000       1.5664     0.056559   -8.2122e-06       1.5665
_SET1_   7058       6  169615875  169654137    170      28  1000      0.97392      0.16629   -8.2122e-06      0.97393
_SET1_   3955       7    2552163    2568811     25       8  1000       1.7617     0.037716   -8.2122e-06       1.7617
_SET1_   56913      7    7222178    7288282    238      20  1000     -0.91146      0.81348   -8.2122e-06     -0.91145
_SET1_   221981     7   11410062   11871824   1619     104  1000      0.52814      0.32988   -8.2122e-06      0.52814
_SET1_   4584       7  100547086  100611617     71      18  1000       1.2228      0.11011   -8.2122e-06       1.2228
_SET1_   10071      7  100612904  100662230    137      16  1000      0.01528      0.48389   -8.2122e-06     0.015288
_SET1_   140453     7  100663364  100702140    102      11  1000    -0.086333      0.52554   -8.2122e-06    -0.086325
_SET1_   23145      7  149473131  149531054    169      26  1000       1.1747      0.12209   -8.2122e-06       1.1747
_SET1_   157869     8   73976778   74005507     59      16  1000     -0.14614      0.55556   -8.2122e-06     -0.14613
_SET1_   92949      9   18474079   18910948   1419     112  1000     0.095426      0.50628   -8.2122e-06     0.095434
_SET1_   79695      9  101569981  101612363     95      20  1000      0.43718      0.33026   -8.2122e-06      0.43719
_SET1_   10585      9  134378282  134399193     74       4  1000    -0.090818      0.52145   -8.2122e-06    -0.090809
_SET1_   11093      9  136279459  136324525     83      11  1000      0.92746      0.16939   -8.2122e-06      0.92747
_SET1_   9719       9  136397286  136440641    128      14  1000      0.49622      0.30145   -8.2122e-06      0.49623
_SET1_   4851       9  139388896  139440238    127      21  1000    0.0053764      0.49369   -8.2122e-06    0.0053846
_SET1_   140766    10   72432559   72522197    391      42  1000       1.2488      0.10902   -8.2122e-06       1.2488
_SET1_   4588      11    1012824    1036706     41      10  1000       1.2953      0.09533   -8.2122e-06       1.2953
_SET1_   4586      11    1142474    1162465     44       6  1000      0.17337      0.41745   -8.2122e-06      0.17338
_SET1_   727897    11    1244295    1283406    100      13  1000       -0.297      0.60739   -8.2122e-06     -0.29699
_SET1_   10418     11   13984184   14289679    675      31  1000     0.007342      0.48483   -8.2122e-06    0.0073502
_SET1_   143662    11   26580579   26593815     33       8  1000     -0.20765      0.57531   -8.2122e-06     -0.20764
_SET1_   11041     11   66112843   66115161      1       1  1000      0.21716       0.4174   -8.2122e-06      0.21717
_SET1_   11095     11  130274660  130298539     64      16  1000     -0.36344      0.64046   -8.2122e-06     -0.36343
_SET1_   170689    11  130318869  130346539     52      10  1000     -0.37017      0.63497   -8.2122e-06     -0.37016
_SET1_   80070     12   43748012   43945724    439      21  1000      0.26143      0.38333   -8.2122e-06      0.26144
_SET1_   118430    12   55248299   55252177     14       4  1000     -0.30684      0.61087   -8.2122e-06     -0.30683
_SET1_   145173    13   31774112   31906413    233      18  1000       0.5819      0.27149   -8.2122e-06      0.58191
_SET1_   55901     13   52934506   52980629     40       3  1000     -0.52989      0.68998   -8.2122e-06     -0.52989
_SET1_   29954     14   77741299   77787225     97      15  1000       1.5856     0.054454   -8.2122e-06       1.5856
_SET1_   7057      15   39873280   39889668     21       3  1000      0.75812      0.21535   -8.2122e-06      0.75813
_SET1_   79875     15   71407935   72075722   1781     137  1000        2.237     0.016596   -8.2122e-06        2.237
_SET1_   11173     15   79051545   79103805    204      14  1000       1.3485     0.082477   -8.2122e-06       1.3486
_SET1_   57188     15   84322838   84708594    893      37  1000      -1.2645      0.89287   -8.2122e-06      -1.2645
_SET1_   170691    15  100511643  100882183   1737     114  1000      0.68805      0.28079   -8.2122e-06      0.68806
_SET1_   170692    16   77316025   77469011    716      44  1000       1.3379     0.090824   -8.2122e-06       1.3379
_SET1_   339366    19    1505017    1513188     16       7  1000       1.0548      0.14281   -8.2122e-06       1.0548
_SET1_   81794     19    8645124    8675588     53      17  1000       1.6945     0.044822   -8.2122e-06       1.6945
_SET1_   94025     19    8959516    9092018    440      36  1000       2.4386     0.007329   -8.2122e-06       2.4386
_SET1_   4854      19   15270444   15311792    134      10  1000     0.091718      0.45195   -8.2122e-06     0.091726
_SET1_   9510      21   28208606   28217728     26       3  1000      0.65382      0.24458   -8.2122e-06      0.65383
_SET1_   11096     21   28290231   28339439    119      13  1000      0.38468      0.33964   -8.2122e-06      0.38469
_SET1_   9215      22   33668509   34316464   1719     141  1000     -0.63798      0.77307   -8.2122e-06     -0.63797

# _SET2_  VARIABLE = REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS (set)
# _SET2_  NGENES = 38
