# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA (set)
# _SET1_  NGENES = 36
# _SET1_  P-VALUE = 5.35807e-07
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   55706         1   54231133   54304225     89       6  1000      -0.2921      0.59401   -8.3944e-06     -0.29209
_SET1_   7175          1  186280784  186344883    113      10  1000     -0.81857      0.78242   -8.3944e-06     -0.81856
_SET1_   55746         1  229577044  229644088    137       6  1000      0.51706      0.28056   -8.3944e-06      0.51707
_SET1_   5903          2  109335902  109402267    113       6  1000      0.39355      0.32594   -8.3944e-06      0.39356
_SET1_   129401        2  183982247  184026408    198      18  1000       3.0596    0.0010031   -8.3944e-06       3.0596
_SET1_   6396          3   10342613   10362872     53       9  1000     -0.39972      0.64707   -8.3944e-06     -0.39972
_SET1_   23225         3   13357730   13461819    228      12  1000       -1.367      0.90616   -8.3944e-06      -1.3669
_SET1_   22916         3  196662273  196669464     20       4  1000     -0.33923      0.62432   -8.3944e-06     -0.33923
_SET1_   7884          4    1694527    1714421     36       6  1000       1.3281     0.088103   -8.3944e-06       1.3281
_SET1_   53371         4   77035812   77069668    226       7  1000     -0.58688      0.69557   -8.3944e-06     -0.58687
_SET1_   1977          4   99799607   99851786     88       9  1000         1.45     0.068768   -8.3944e-06         1.45
_SET1_   9631          5   37291735   37371228    155      14  1000       1.3332     0.084907   -8.3944e-06       1.3332
_SET1_   9972          6   17615266   17707065    150      15  1000        3.289   0.00045139   -8.3944e-06       3.2891
_SET1_   348995        6  150045457  150067688     31       2  1000     -0.55315      0.69359   -8.3944e-06     -0.55314
_SET1_   11097         7   23221446   23240630     41       3  1000     -0.44591       0.6522   -8.3944e-06      -0.4459
_SET1_   9883          7   72349906   72421979     40       8  1000     -0.83162      0.79076   -8.3944e-06     -0.83161
_SET1_   100101267     7   75046060   75115565    110      13  1000     -0.33814      0.62204   -8.3944e-06     -0.33813
_SET1_   23165         7  135242662  135333501    164      20  1000       0.2655      0.38911   -8.3944e-06      0.26551
_SET1_   4686          9  100395705  100436030     76       3  1000      0.34638      0.33544   -8.3944e-06      0.34639
_SET1_   23511         9  131709972  131769375     48       4  1000     0.049672      0.46391   -8.3944e-06     0.049681
_SET1_   8021          9  134000948  134110057     75       4  1000      0.29562      0.36318   -8.3944e-06      0.29562
