# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ROSS_LEUKEMIA_WITH_MLL_FUSIONS (set)
# _SET1_  NGENES = 77
# _SET1_  P-VALUE = 3.42585e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   8574       1   19629202   19638640     16       6  1000       1.9963     0.019931   -4.3909e-06       1.9963
_SET1_   204        1   33473541   33502512     22       1  1000      0.67051      0.22991   -4.3909e-06      0.67051
_SET1_   6342       1   53392901   53517289    422      16  1000    -0.048871      0.48062   -4.3909e-06    -0.048867
_SET1_   5788       1  198608098  198726605    179      24  1000      -1.5433      0.92957   -4.3909e-06      -1.5433
_SET1_   9553       2   27994584   28002608      5       1  1000       5.6202   3.1663e-10   -4.3909e-06       5.6202
_SET1_   64080      2   28004266   28113223    152       8  1000       5.5668   1.4652e-12   -4.3909e-06       5.5668
_SET1_   4211       2   66662257   66799891    221      31  1000      -1.0501      0.83858   -4.3909e-06      -1.0501
_SET1_   822        2   85621871   85641197     54       9  1000      -1.6513       0.9424   -4.3909e-06      -1.6513
_SET1_   9839       2  145141942  145277958    136      24  1000      0.55931      0.26557   -4.3909e-06      0.55932
_SET1_   10109      2  219081817  219119071     57       6  1000      0.52201      0.27301   -4.3909e-06      0.52202
_SET1_   23122      3   33537737   33759705    224      17  1000     -0.31922      0.59263   -4.3909e-06     -0.31922
_SET1_   55830      3   52728500   52740099     11       2  1000     -0.37922      0.62642   -4.3909e-06     -0.37922
_SET1_   10550      3   69134090   69155239     49       7  1000      0.46167      0.29487   -4.3909e-06      0.46168
_SET1_   3355       3   87841929   88043964      7       3  1000      0.18137      0.41006   -4.3909e-06      0.18138
_SET1_   3059       3  121350246  121379791     70       8  1000      0.29042      0.35469   -4.3909e-06      0.29042
_SET1_   55179      3  138327542  138352218     35       4  1000      0.45381      0.29794   -4.3909e-06      0.45382
_SET1_   4154       3  151962120  152183569    211      20  1000       0.4755      0.28941   -4.3909e-06       0.4755
_SET1_   8842       4   15969849   16085723    318      46  1000      0.40873      0.32707   -4.3909e-06      0.40874
_SET1_   3490       4   57897237   57976551    367      37  1000      0.16493      0.41271   -4.3909e-06      0.16494
