# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MURATA_VIRULENCE_OF_H_PILORI (set)
# _SET1_  NGENES = 21
# _SET1_  P-VALUE = 4.13865e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6280      1  153330330  153333503      1       1  1000       1.5881      0.05477    -5.306e-06       1.5881
_SET1_   4582      1  155158300  155162768      2       1  1000      -1.1439      0.86939    -5.306e-06      -1.1439
_SET1_   9447      1  159028790  159046685     18       4  1000      0.59638      0.26236    -5.306e-06      0.59638
_SET1_   1803      2  162848751  162931052    107      15  1000     -0.21772      0.57938    -5.306e-06     -0.21772
_SET1_   604       3  187439165  187463513     56       9  1000       1.7318     0.039144    -5.306e-06       1.7318
_SET1_   1044      5  149546344  149564121     18       3  1000      0.82631      0.19352    -5.306e-06      0.82632
_SET1_   1026      6   36644237   36655116     32       7  1000      0.23558      0.39684    -5.306e-06      0.23558
_SET1_   10321     6   49695089   49712168     31       6  1000       1.1834      0.11236    -5.306e-06       1.1834
_SET1_   6648      6  160100148  160114353     35       4  1000       1.7361      0.03764    -5.306e-06       1.7361
_SET1_   2017     11   70244612   70282690     72       7  1000      0.14776      0.42312    -5.306e-06      0.14776
_SET1_   4312     11  102660641  102668966     27       8  1000       2.5192    0.0055932    -5.306e-06       2.5192
_SET1_   4322     11  102813721  102826463     25       6  1000     -0.34064      0.62173    -5.306e-06     -0.34063
_SET1_   56649    11  117947727  117996323    217      24  1000      0.10619      0.45248    -5.306e-06       0.1062
_SET1_   894      12    4382901    4414522     59      16  1000      0.81635      0.20748    -5.306e-06      0.81636
_SET1_   2621     13  114523522  114567046    204      24  1000      0.26623      0.39021    -5.306e-06      0.26623
_SET1_   9961     16   29831715   29859360     28       2  1000     0.077571      0.44216    -5.306e-06     0.077576
_SET1_   2528     19    5830637    5839764     27       7  1000     -0.51236      0.68857    -5.306e-06     -0.51235
_SET1_   4680     19   42259398   42276113     30       4  1000       1.0938      0.12835    -5.306e-06       1.0938
_SET1_   3589     19   55875750   55881831     24       7  1000       2.6142    0.0042185    -5.306e-06       2.6142
_SET1_   1291     21   47401663   47424963     84      15  1000       2.0997     0.017387    -5.306e-06       2.0997
_SET1_   1292     21   47518033   47552763    120      14  1000      0.81099      0.20126    -5.306e-06        0.811
