# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = EHRLICH_ICF_SYNDROM_UP (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 5.41658e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1266      1   95362507   95392735     85      17  1000       0.3068      0.35987   -7.7601e-06      0.30681
_SET1_   5996      1  192544857  192549159     10       3  1000      0.87323      0.17969   -7.7601e-06      0.87324
_SET1_   2274      2  105977272  106055230    209      33  1000       0.8716      0.18203   -7.7601e-06       0.8716
_SET1_   2982      4  156587862  156658214    158      25  1000       0.7221      0.22093   -7.7601e-06       0.7221
_SET1_   2983      4  156680126  156728783     94      17  1000       3.8031   5.8023e-05   -7.7601e-06       3.8031
_SET1_   2162      6    6144311    6320924    567      74  1000      0.27796      0.39662   -7.7601e-06      0.27797
_SET1_   10643     7   23349828   23509995    260      29  1000      0.36932      0.33475   -7.7601e-06      0.36933
_SET1_   5583     14   61788515   62017698    565      52  1000        2.947     0.001399   -7.7601e-06        2.947
_SET1_   4140     14  103851701  103970168    250      10  1000       1.6913     0.036311   -7.7601e-06       1.6913
_SET1_   5914     17   38465423   38513895     27       6  1000     -0.38315      0.62822   -7.7601e-06     -0.38315
_SET1_   27113    19   47724079   47736023      5       3  1000       1.8598     0.029965   -7.7601e-06       1.8599
