# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = LOPEZ_MESOTHELIOMA_SURVIVAL_OVERALL_UP (set)
# _SET1_  NGENES = 8
# _SET1_  P-VALUE = 3.65404e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3570      1  154377669  154441926    135      12  1000       1.0833      0.12049   -1.2992e-06       1.0833
_SET1_   6480      3  186648315  186796341    541      70  1000      -1.2671      0.88017   -1.2992e-06      -1.2671
_SET1_   125       4  100227527  100242572     18       4  1000        3.141   0.00065095   -1.2992e-06        3.141
_SET1_   3426      4  110661848  110723381    138      10  1000     -0.46746      0.64584   -1.2992e-06     -0.46745
_SET1_   25840    12   51317780   51326300     14       4  1000      0.51312      0.27944   -1.2992e-06      0.51312
_SET1_   90634    13   32974860   33002490     63      14  1000     -0.41965      0.63397   -1.2992e-06     -0.41964
_SET1_   3240     16   72088470   72094955     11       3  1000       2.0852     0.015549   -1.2992e-06       2.0852
_SET1_   81558    17   47787687   47841518     23       7  1000       2.2018     0.011392   -1.2992e-06       2.2018

# _SET2_  VARIABLE = LOPEZ_MESOTHELIOMA_SURVIVAL_UP (set)
# _SET2_  NGENES = 12
# _SET2_  P-VALUE = 7.6159e-06
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   3570       1  154377669  154441926    135      12  1000       1.0833      0.12049   -1.2992e-06       1.0833
_SET2_   9674       1  175126123  175162229     83       8  1000      0.52017      0.27247   -1.2992e-06      0.52017
_SET2_   7318       3   49842638   49851391      7       2  1000     0.052286      0.45126   -1.2992e-06     0.052287
_SET2_   131544     3   97540537   97663830    129       8  1000       1.3524     0.074326   -1.2992e-06       1.3524
_SET2_   125        4  100227527  100242572     18       4  1000        3.141   0.00065095   -1.2992e-06        3.141
_SET2_   2766       6   16238811   16295780    112      15  1000      -1.2632      0.88032   -1.2992e-06      -1.2632
_SET2_   2171       8   82192718   82197012      1       1  1000     -0.28235       0.5877   -1.2992e-06     -0.28235
_SET2_   4714      10  102283497  102289640      6       1  1000     0.019247      0.46261   -1.2992e-06     0.019248
_SET2_   1389      12   12764831   12798041     51       6  1000       0.1946      0.39085   -1.2992e-06       0.1946
_SET2_   5094      12   53845886   53874946     18       4  1000     0.090173      0.43448   -1.2992e-06     0.090174
_SET2_   90634     13   32974860   33002490     63      14  1000     -0.41965      0.63397   -1.2992e-06     -0.41964
_SET2_   81558     17   47787687   47841518     23       7  1000       2.2018     0.011392   -1.2992e-06       2.2018
