# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = WIERENGA_STAT5A_TARGETS_UP (set)
# _SET1_  NGENES = 191
# _SET1_  P-VALUE = 7.37016e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   7293       1    1146706    1149703      6       2  1000       2.2865     0.011313   -3.6859e-06       2.2865
_SET1_   26270      1   11724150   11734411     34       8  1000        1.065      0.13394   -3.6859e-06        1.065
_SET1_   60672      1   12079299   12092106     20       4  1000   0.00050737      0.48263   -3.6859e-06   0.00051106
_SET1_   9249       1   12627939   12677820    139      24  1000       2.0084     0.020031   -3.6859e-06       2.0084
_SET1_   5909       1   21922708   21996010    191      35  1000     -0.24525      0.58744   -3.6859e-06     -0.24525
_SET1_   2035       1   29213603   29446558    333      16  1000      0.86751       0.1781   -3.6859e-06      0.86752
_SET1_   64744      1   40839378   40888998     77      13  1000     -0.66961      0.73377   -3.6859e-06      -0.6696
_SET1_   6536       1   44462155   44497171     47      11  1000     -0.62758       0.7268   -3.6859e-06     -0.62758
_SET1_   255738     1   55505149   55530526     96      18  1000       1.7191      0.03895   -3.6859e-06       1.7191
_SET1_   79739      1   84335057   84464850    138       5  1000    -0.031186      0.47582   -3.6859e-06    -0.031183
_SET1_   115361     1   89646831   89664633     37       6  1000       2.6454    0.0034856   -3.6859e-06       2.6454
_SET1_   148523     1  150254930  150259505      7       3  1000     -0.11349       0.5315   -3.6859e-06     -0.11348
_SET1_   10500      1  151104161  151119146     27       5  1000       1.3741     0.079776   -3.6859e-06       1.3741
_SET1_   80128      1  155145702  155157447      7       2  1000       1.1706      0.11262   -3.6859e-06       1.1706
_SET1_   4582       1  155158300  155162768      2       1  1000     -0.47143       0.6713   -3.6859e-06     -0.47143
_SET1_   909        1  158218119  158228059     12       3  1000       1.3242     0.089379   -3.6859e-06       1.3242
_SET1_   910        1  158297740  158301321      7       3  1000        0.977      0.16387   -3.6859e-06        0.977
