# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_INNATE_IMMUNE_SYSTEM (set)
# _SET1_  NGENES = 991
# _SET1_  P-VALUE = 3.70833e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9636          1     948847     949920      5       2  1000      0.22276      0.40492    3.2435e-08      0.22276
_SET1_   83858         1    1407139    1444852     69       9  1000        1.148      0.12236    3.2435e-08        1.148
_SET1_   8514          1    6052358    6161253    240      40  1000     0.013127      0.50014    3.2435e-08     0.013127
_SET1_   6518          1    9097005    9131763     94      12  1000      -1.0552      0.84427    3.2435e-08      -1.0552
_SET1_   10747         1   11086580   11107296     55       6  1000      0.13988      0.42666    3.2435e-08      0.13988
_SET1_   7133          1   12227044   12269279     82      10  1000    -0.097282       0.5215    3.2435e-08    -0.097282
_SET1_   842           1   15817896   15851407    104       5  1000     0.006987      0.46316    3.2435e-08     0.006987
_SET1_   11240         1   17393256   17445948    212      10  1000     -0.25932       0.5721    3.2435e-08     -0.25932
_SET1_   23352         1   19401000   19536812    151      10  1000     0.085424       0.4391    3.2435e-08     0.085424
_SET1_   5320          1   20301924   20306932     11       4  1000     -0.81973      0.78611    3.2435e-08     -0.81973
_SET1_   978           1   20915444   20945401    122      18  1000     -0.68063      0.74259    3.2435e-08     -0.68063
_SET1_   1650          1   20978260   20988037     24       4  1000     0.005173       0.4764    3.2435e-08     0.005173
_SET1_   998           1   22379120   22419439     38       7  1000        1.317     0.088356    3.2435e-08        1.317
_SET1_   712           1   22963118   22966175      3       1  1000     -0.23468      0.57528    3.2435e-08     -0.23468
_SET1_   714           1   22969969   22974603     21       4  1000      -1.1466      0.86347    3.2435e-08      -1.1466
_SET1_   713           1   22979682   22988130     26       6  1000     -0.15412      0.54586    3.2435e-08     -0.15412
_SET1_   2517          1   24171567   24194859     40       4  1000      0.37872      0.33022    3.2435e-08      0.37872
_SET1_   6195          1   26856249   26901520     78       8  1000     -0.62658      0.71652    3.2435e-08     -0.62658
_SET1_   8547          1   27695601   27701315      7       3  1000     -0.26368      0.59406    3.2435e-08     -0.26368
_SET1_   10163         1   27730734   27816678    105       6  1000      0.59445      0.25971    3.2435e-08      0.59445
_SET1_   2268          1   27938800   27961727     30       5  1000     -0.79928      0.78585    3.2435e-08     -0.79928
_SET1_   5724          1   28473677   28520447     29       4  1000      0.65017      0.24059    3.2435e-08      0.65017
_SET1_   3932          1   32716840   32751766     25       6  1000       1.0452      0.14361    3.2435e-08       1.0452
_SET1_   5690          1   36040259   36107445     66       8  1000       1.0878      0.13691    3.2435e-08       1.0878
_SET1_   10450         1   40204517   40229586     47       6  1000       0.2463      0.38094    3.2435e-08       0.2463
_SET1_   10487         1   40505912   40538321    100       6  1000     -0.04033      0.49391    3.2435e-08     -0.04033
_SET1_   533           1   44440118   44443972      5       2  1000      -1.5531       0.9378    3.2435e-08      -1.5531
_SET1_   731           1   57320443   57383894    167      20  1000    -0.014552      0.49684    3.2435e-08    -0.014552
_SET1_   732           1   57394883   57433213     95      15  1000     -0.33171      0.61568    3.2435e-08     -0.33171
_SET1_   3725          1   59246463   59249785      2       1  1000     -0.58921      0.72695    3.2435e-08     -0.58921
_SET1_   5236          1   64058947   64125916    184      30  1000      0.51843      0.29996    3.2435e-08      0.51843
_SET1_   57554         1   70033230   70589171   1359      55  1000      -2.4336      0.99203    3.2435e-08      -2.4336
_SET1_   5567          1   84543745   84704181    180      13  1000     -0.14439      0.53311    3.2435e-08     -0.14439
_SET1_   8915          1   85731459   85742604     24       6  1000     -0.26669       0.5912    3.2435e-08     -0.26669
_SET1_   178           1  100315633  100389579    160      11  1000      0.80646      0.19084    3.2435e-08      0.80646
_SET1_   10451         1  108113782  108507545   1048      63  1000       1.4255     0.078984    3.2435e-08       1.4255
_SET1_   5686          1  109941653  109969108     32       4  1000       1.3971     0.073414    3.2435e-08       1.3971
_SET1_   10768         1  110527387  110566364     27       6  1000     -0.38427      0.64042    3.2435e-08     -0.38427
_SET1_   963           1  111413821  111442558     72       8  1000     -0.69629       0.7389    3.2435e-08     -0.69629
_SET1_   5906          1  112162405  112256807    282      19  1000      0.50594      0.29204    3.2435e-08      0.50594
_SET1_   829           1  113162075  113214241     58       6  1000      0.48233      0.29335    3.2435e-08      0.48233
_SET1_   4893          1  115247085  115259515      6       2  1000      0.60889      0.25923    3.2435e-08      0.60889
_SET1_   80143         1  115312100  115323308      3       1  1000      0.63145      0.25241    3.2435e-08      0.63145
