# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MATHEW_FANCONI_ANEMIA_GENES (set)
# _SET1_  NGENES = 10
# _SET1_  P-VALUE = 5.82208e-06
_SET1_   GENE    CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   55120     2  58386378  58468515    134      14  1000       2.2121     0.011088   -4.0538e-06       2.2121
_SET1_   2177      3  10068113  10143614    174       3  1000     -0.26969      0.56217   -4.0538e-06     -0.26969
_SET1_   2178      6  35420116  35434918     41       7  1000      0.56386      0.26621   -4.0538e-06      0.56386
_SET1_   2189      9  35073833  35080043      6       2  1000      -1.1371      0.86342   -4.0538e-06      -1.1371
_SET1_   2176      9  97861336  98079991    157      10  1000      0.11589       0.4149   -4.0538e-06      0.11589
_SET1_   2188     11  22644079  22647387      2       1  1000       2.6774    0.0034932   -4.0538e-06       2.6774
_SET1_   675      13  32889617  32973809    150      15  1000        2.017     0.017957   -4.0538e-06        2.017
_SET1_   57697    14  45605136  45670093     69       5  1000     -0.12033      0.51738   -4.0538e-06     -0.12033
_SET1_   2175     16  89803959  89883066    402      13  1000      0.94037      0.14445   -4.0538e-06      0.94037
_SET1_   83990    17  59756547  59940920    241      18  1000       2.4789    0.0050833   -4.0538e-06       2.4789
