# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = LIU_TARGETS_OF_VMYB_VS_CMYB_UP (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 6.34342e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   127294     1   24382531   24438665    175      19  1000      0.59061      0.27397   -5.3678e-06      0.59062
_SET1_   79971      1   68564142   68698284    382      53  1000       1.3068     0.097388   -5.3678e-06       1.3068
_SET1_   844        1  160160285  160171676     16       4  1000       1.4423     0.070163   -5.3678e-06       1.4423
_SET1_   79750      3   21459911   22414132   3916     210  1000      0.18585      0.41836   -5.3678e-06      0.18586
_SET1_   64902      5   34998206   35048293    209      21  1000     -0.42574      0.65974   -5.3678e-06     -0.42574
_SET1_   135228     6   74405508   74538041    318      18  1000     0.031525      0.47945   -5.3678e-06     0.031531
_SET1_   10875      7   76822688   76829150      2       1  1000       1.2011      0.10115   -5.3678e-06       1.2011
_SET1_   157869     8   73976778   74005507     59      16  1000      0.17282      0.42725   -5.3678e-06      0.17282
_SET1_   168975     8   87878676   88394955   1084      37  1000      -2.4735      0.99239   -5.3678e-06      -2.4735
_SET1_   3988      10   90973326   91011660     98      20  1000       3.3521   0.00039185   -5.3678e-06       3.3522
_SET1_   10068     11   71709955   71713965      4       2  1000       2.9855     0.001149   -5.3678e-06       2.9856
_SET1_   54866     15   41107643   41121283     17       4  1000     -0.56805      0.70266   -5.3678e-06     -0.56804
_SET1_   9727      16     475649     572485    229      20  1000       1.3328     0.089016   -5.3678e-06       1.3328
_SET1_   125228    18   13663346   13726591    132      12  1000     -0.07638      0.52055   -5.3678e-06    -0.076375
_SET1_   149951    20   31290493   31331814    128       7  1000      -1.0926      0.85547   -5.3678e-06      -1.0926

# _SET2_  VARIABLE = NIKOLSKY_BREAST_CANCER_15Q26_AMPLICON (set)
# _SET2_  NGENES = 21
# _SET2_  P-VALUE = 1.7475e-07
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   91947     15   98503933   98517068     39       8  1000     -0.32944      0.62003   -5.3678e-06     -0.32944
_SET2_   283777    15   98980391   99057611    219      18  1000       2.2342     0.012001   -5.3678e-06       2.2342
_SET2_   3480      15   99192272   99507759    702      74  1000      0.85117      0.19886   -5.3678e-06      0.85118
_SET2_   23336     15   99645286   99675800    133      15  1000       1.0593      0.14085   -5.3678e-06       1.0593
_SET2_   64927     15   99676528   99791431    252      18  1000       2.0253     0.020361   -5.3678e-06       2.0253
_SET2_   123355    15   99791567   99930934    355      20  1000       1.5117     0.061672   -5.3678e-06       1.5117
_SET2_   4205      15  100106133  100256688    202      16  1000       0.6671      0.24641   -5.3678e-06      0.66711
_SET2_   145748    15  100267610  100273766     19       5  1000      0.40195      0.33154   -5.3678e-06      0.40196
_SET2_   170691    15  100511643  100882183   1737     114  1000       0.4894      0.30264   -5.3678e-06       0.4894
_SET2_   204219    15  100940600  101084925    538      21  1000     0.045667      0.46836   -5.3678e-06     0.045672
_SET2_   55180     15  101109428  101142445    117      11  1000     -0.45881      0.66885   -5.3678e-06     -0.45881
_SET2_   140460    15  101142755  101191906     95      11  1000       1.3586      0.08471   -5.3678e-06       1.3586
_SET2_   220       15  101419897  101456831     70       9  1000       1.0068      0.15094   -5.3678e-06       1.0068
_SET2_   79705     15  101459460  101610317    487      42  1000       1.1106      0.13135   -5.3678e-06       1.1106
_SET2_   22856     15  101715928  101792137    200      16  1000       2.0848     0.017518   -5.3678e-06       2.0848
_SET2_   55829     15  101811214  101817700     10       4  1000       2.0791     0.016827   -5.3678e-06       2.0791
_SET2_   6627      15  101821715  101835481     51       6  1000       1.5707     0.054102   -5.3678e-06       1.5707
_SET2_   5046      15  101844133  102030187    769      91  1000       3.2769   0.00056392   -5.3678e-06       3.2769
_SET2_   80213     15  102173429  102192594     24       6  1000       1.0245      0.14563   -5.3678e-06       1.0245
_SET2_   123283    15  102193955  102264807    116      11  1000       1.3804     0.080591   -5.3678e-06       1.3804
_SET2_   390649    15  102358390  102359328      1       1  1000      0.18145       0.4028   -5.3678e-06      0.18145

# _SET3_  VARIABLE = REACTOME_INTERLEUKIN_18_SIGNALING (set)
# _SET3_  NGENES = 8
# _SET3_  P-VALUE = 7.6978e-06
_SET3_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET3_   8809      2  102979093  103015230    117      11  1000     -0.83825      0.79307   -5.3678e-06     -0.83824
_SET3_   8807      2  103035254  103069025    116      10  1000     -0.97568       0.8299   -5.3678e-06     -0.97567
_SET3_   27178     2  113670548  113676459     47       4  1000       1.4393     0.068277   -5.3678e-06       1.4393
_SET3_   3596      5  131993865  131996801      7       2  1000     0.086696      0.44462   -5.3678e-06     0.086701
_SET3_   3565      5  132009678  132018370     22       3  1000     -0.32434      0.60921   -5.3678e-06     -0.32433
_SET3_   240      10   45869624   45941569    183      18  1000      0.10427      0.45105   -5.3678e-06      0.10427
_SET3_   10068    11   71709955   71713965      4       2  1000       2.9855     0.001149   -5.3678e-06       2.9856
_SET3_   3606     11  112013974  112034840     33       6  1000    -0.083995       0.5217   -5.3678e-06    -0.083989
