# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_DSCAM_INTERACTIONS (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 4.53832e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1432      6   35995412   36079013    155      11  1000      0.49852      0.29476   -1.9358e-06      0.49852
_SET1_   5603      6   36098261   36112301     13       3  1000       1.4027     0.074855   -1.9358e-06       1.4027
_SET1_   5879      7    6414126    6443598    109      14  1000       1.6033     0.051923   -1.9358e-06       1.6033
_SET1_   5599     10   49514682   49647403    206      16  1000      0.24601      0.39027   -1.9358e-06      0.24601
_SET1_   5058     11   77033060   77185108    257      12  1000      0.13747      0.42463   -1.9358e-06      0.13748
_SET1_   57453    11  117298489  117667976   1015      88  1000    -0.031604      0.53463   -1.9358e-06    -0.031602
_SET1_   9423     17    8924859    9147317    699      74  1000       1.4175     0.086185   -1.9358e-06       1.4175
_SET1_   1630     18   49866542   51062273   3576      81  1000     0.076835      0.45482   -1.9358e-06     0.076837
_SET1_   1826     21   41384343   42219039   2773     181  1000       5.4716   2.5749e-09   -1.9358e-06       5.4716
_SET1_   6300     22   50691331   50700248     35       5  1000       1.7725     0.034985   -1.9358e-06       1.7725
_SET1_   5600     22   50702142   50708779     13       4  1000      0.81059      0.20025   -1.9358e-06      0.81059
