# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = CHANG_IMMORTALIZED_BY_HPV31_DN (set)
# _SET1_  NGENES = 57
# _SET1_  P-VALUE = 2.02743e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10076      1   29563028   29653325    168      21  1000      0.68423      0.23828   -1.9648e-06      0.68424
_SET1_   10561      1   79115477   79129763     19       4  1000      0.29522      0.37166   -1.9648e-06      0.29522
_SET1_   2633       1   89517987   89531043     34       6  1000      -1.3682       0.9081   -1.9648e-06      -1.3682
_SET1_   4184       1  152850798  152857523     25       3  1000     -0.16303      0.55161   -1.9648e-06     -0.16303
_SET1_   6698       1  152956564  152958290      5       1  1000     -0.21409      0.57068   -1.9648e-06     -0.21409
_SET1_   6704       1  153065611  153067001      2       1  1000      0.55623      0.28977   -1.9648e-06      0.55623
_SET1_   8682       1  160175125  160185162      2       1  1000      0.53826      0.29155   -1.9648e-06      0.53826
_SET1_   10223      1  167022082  167059868     85      13  1000      0.57596      0.26864   -1.9648e-06      0.57596
_SET1_   5743       1  186640944  186649559      7       3  1000      0.77799      0.21346   -1.9648e-06        0.778
_SET1_   8560       1  224370910  224381143     17       3  1000     -0.87065      0.79864   -1.9648e-06     -0.87064
_SET1_   1130       1  235824331  236047008    300      12  1000    -0.058723      0.50019   -1.9648e-06    -0.058721
_SET1_   4084       2   70142173   70170077     41       3  1000       1.0956       0.1245   -1.9648e-06       1.0956
_SET1_   7850       2  102608306  102644885    128       9  1000      0.79777      0.19858   -1.9648e-06      0.79777
_SET1_   3557       2  113868693  113891593     94       6  1000     -0.42072      0.64171   -1.9648e-06     -0.42072
_SET1_   6772       2  191833762  191878976     76      14  1000     -0.57027      0.70606   -1.9648e-06     -0.57026
_SET1_   7068       3   24158644   24536772    909      97  1000      -0.4755       0.7173   -1.9648e-06     -0.47549
_SET1_   93         3   38495790   38534633     67       5  1000       1.6383     0.045128   -1.9648e-06       1.6383
_SET1_   956        3   40428647   40470110     85       5  1000       0.2945      0.36312   -1.9648e-06       0.2945
_SET1_   51533      3   52444577   52457657      3       1  1000     -0.60786      0.72207   -1.9648e-06     -0.60786
_SET1_   3157       5   43287572   43313614     40       3  1000     -0.25282       0.5775   -1.9648e-06     -0.25281
_SET1_   1832       6    7541808    7586946    116      19  1000     -0.10472      0.52992   -1.9648e-06     -0.10471
_SET1_   1026       6   36644237   36655116     32       7  1000      0.31456      0.36408   -1.9648e-06      0.31456
_SET1_   54809      7   92728826   92747336     46       8  1000      0.11162       0.4434   -1.9648e-06      0.11163
_SET1_   669        7  134331531  134364568    106       5  1000     -0.61315      0.70764   -1.9648e-06     -0.61314
_SET1_   5644       7  142457319  142460927      4       1  1000     -0.60785      0.71827   -1.9648e-06     -0.60785
_SET1_   10221      8  126442563  126450647     17       7  1000     -0.88854      0.80569   -1.9648e-06     -0.88854
_SET1_   1515       9   99791959   99801925      9       1  1000       1.5971     0.051744   -1.9648e-06       1.5971
_SET1_   3934       9  130911732  130915734      4       2  1000        0.634      0.25846   -1.9648e-06        0.634
_SET1_   9397      10   15147771   15210703    181      25  1000     -0.55108      0.70451   -1.9648e-06     -0.55108
_SET1_   3434      10   91152303   91166244     21       4  1000     -0.81791      0.78267   -1.9648e-06     -0.81791
_SET1_   3043      11    5246696    5248301      5       1  1000      0.11589      0.44405   -1.9648e-06      0.11589
_SET1_   10346     11    5710817    5732093    125      21  1000      0.14206      0.43288   -1.9648e-06      0.14206
_SET1_   6876      11  117070040  117075508     15       4  1000      0.32595      0.36286   -1.9648e-06      0.32595
_SET1_   5557      12   57125364   57146146     18       2  1000      -1.1512       0.8658   -1.9648e-06      -1.1512
_SET1_   4035      12   57522282   57607142     88      11  1000      -1.2063      0.87776   -1.9648e-06      -1.2063
_SET1_   89910     12  109915215  109974510    102      10  1000       1.6236     0.047847   -1.9648e-06       1.6236
_SET1_   4939      12  113416274  113449528     88      12  1000       2.7645    0.0025226   -1.9648e-06       2.7645
_SET1_   5319      12  120759914  120765592     10       3  1000      0.12736      0.44161   -1.9648e-06      0.12736
_SET1_   121793    13  111973015  111996594     79      18  1000        1.964     0.023367   -1.9648e-06        1.964
_SET1_   2353      14   75745477   75748937      6       2  1000        1.306     0.092344   -1.9648e-06        1.306
_SET1_   3429      14   94577079   94583033     10       4  1000      0.29494      0.37525   -1.9648e-06      0.29494
_SET1_   6627      15  101821715  101835481     51       6  1000      -1.3121       0.8979   -1.9648e-06      -1.3121
_SET1_   4597      16   88718343   88729495     31       7  1000        1.052      0.13887   -1.9648e-06        1.052
_SET1_   3430      17   41158742   41166476     12       2  1000      0.62119      0.25735   -1.9648e-06      0.62119
_SET1_   3909      18   21269562   21535030    371      15  1000     0.062437      0.45487   -1.9648e-06     0.062439
_SET1_   1824      18   28645938   28682388     40       9  1000       1.2004      0.10888   -1.9648e-06       1.2004
_SET1_   1828      18   28898052   28937394    150       9  1000      0.70386      0.22235   -1.9648e-06      0.70386
_SET1_   5055      18   61554939   61571124     76       2  1000      0.48551      0.29174   -1.9648e-06      0.48551
_SET1_   93099     19   35988119   36004560     46      10  1000       1.1503      0.11801   -1.9648e-06       1.1503
_SET1_   5669      19   43370613   43383921     66       5  1000      0.21299      0.39689   -1.9648e-06      0.21299
_SET1_   6820      19   49055429   49102684    281      20  1000      0.10972      0.44062   -1.9648e-06      0.10972
_SET1_   5653      19   51461887   51472929     18       8  1000      0.54307      0.28853   -1.9648e-06      0.54307
_SET1_   5650      19   51479735   51487320     30       7  1000      0.49154      0.30017   -1.9648e-06      0.49154
_SET1_   9139      20   32077928   32237837     80      11  1000     -0.43922      0.65603   -1.9648e-06     -0.43922
_SET1_   6590      20   43880880   43883205      9       3  1000       1.7847     0.036009   -1.9648e-06       1.7847
_SET1_   4600      21   42733918   42780870    124      26  1000    -0.060918      0.52123   -1.9648e-06    -0.060916
_SET1_   4599      21   42792520   42831141    190      14  1000        1.505     0.059887   -1.9648e-06       1.5051
