# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_8Q12_Q22_AMPLICON (set)
# _SET1_  NGENES = 130
# _SET1_  P-VALUE = 5.20642e-12
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   137886     8   59323823   59364060     79      11  1000      0.43584      0.32083   -3.7998e-06      0.43584
_SET1_   1581       8   59402737   59412720     17       3  1000       1.0891      0.12901   -3.7998e-06       1.0891
_SET1_   6386       8   59465566   59495419     52       4  1000      0.27635      0.37035   -3.7998e-06      0.27635
_SET1_   8439       8   59496063   59572404    166      15  1000       0.8363      0.19127   -3.7998e-06      0.83631
_SET1_   5862       8   61429469   61536203    275      13  1000      -1.1246      0.85905   -3.7998e-06      -1.1246
_SET1_   55636      8   61591321   61780587    268       9  1000     -0.88499      0.79415   -3.7998e-06     -0.88498
_SET1_   157807     8   62200514   62414204    353      32  1000     -0.19078      0.57135   -3.7998e-06     -0.19077
_SET1_   444        8   62413115   62627199    414      28  1000     -0.14185      0.54767   -3.7998e-06     -0.14185
_SET1_   286183     8   63161501   63912211   1948      56  1000     -0.62715      0.72579   -3.7998e-06     -0.62714
_SET1_   8836       8   63927638   63951610     83       9  1000    -0.066868      0.51481   -3.7998e-06    -0.066864
_SET1_   7274       8   63972047   63998612     46       8  1000      0.24035       0.3952   -3.7998e-06      0.24035
_SET1_   253943     8   64081112   64125346     44       7  1000      -1.0931      0.85805   -3.7998e-06      -1.0931
_SET1_   23213      8   70378859   70573147    406      61  1000     -0.19313      0.59375   -3.7998e-06     -0.19312
_SET1_   81796      8   70584110   70747299    323      29  1000    -0.070227      0.51986   -3.7998e-06    -0.070223
_SET1_   63978      8   70963886   70983562     49      10  1000      -1.0245       0.8413   -3.7998e-06      -1.0244
_SET1_   10499      8   71021997   71316062    342      11  1000      -1.5712      0.93595   -3.7998e-06      -1.5712
_SET1_   23471      8   71485453   71520694     44       5  1000      -1.2473      0.88786   -3.7998e-06      -1.2473
_SET1_   51110      8   71549501   71581447     68       7  1000      -1.6277      0.94287   -3.7998e-06      -1.6277
_SET1_   389668     8   71581600   71648177    149       6  1000      -1.3289      0.89495   -3.7998e-06      -1.3289
_SET1_   2138       8   72109668   72459888    621      72  1000      0.48729      0.33399   -3.7998e-06      0.48729
_SET1_   9242       8   72753777   72756731      7       3  1000      0.49243      0.30536   -3.7998e-06      0.49244
_SET1_   8989       8   72933486   72987819    202      17  1000      -0.2632      0.58779   -3.7998e-06      -0.2632
_SET1_   9312       8   73449626   73850584    874      51  1000     -0.42109      0.66316   -3.7998e-06     -0.42108
_SET1_   7013       8   73921097   73959987     50       4  1000     -0.21595      0.56201   -3.7998e-06     -0.21595
_SET1_   157869     8   73976778   74005507     59      16  1000      -0.9466      0.82448   -3.7998e-06      -0.9466
_SET1_   6129       8   74202874   74205869      5       2  1000       1.6557     0.046651   -3.7998e-06       1.6557
_SET1_   157506     8   74206837   74237520     55       7  1000       1.5067     0.060929   -3.7998e-06       1.5067
_SET1_   27067      8   74332604   74659943    808      32  1000     -0.13267      0.53866   -3.7998e-06     -0.13266
_SET1_   55284      8   74692332   74791145     69       6  1000      -1.2957      0.89632   -3.7998e-06      -1.2957
_SET1_   6921       8   74857373   74884522     55       5  1000     -0.16951      0.54789   -3.7998e-06     -0.16951
_SET1_   54968      8   74888377   74895018     25       3  1000      -0.7503      0.76039   -3.7998e-06     -0.75029
_SET1_   23643      8   74903564   74941314     87      11  1000     -0.26169      0.59138   -3.7998e-06     -0.26169
_SET1_   56704      8   75146935   75233721    181      25  1000     -0.70448      0.75826   -3.7998e-06     -0.70448
_SET1_   54332      8   75262618   75279345     53       6  1000      -1.0373      0.83868   -3.7998e-06      -1.0373
_SET1_   51050      8   75736772   75767264     45       5  1000      -1.3445      0.90289   -3.7998e-06      -1.3445
_SET1_   83690      8   75896708   75946793     93       9  1000      -1.2131      0.88085   -3.7998e-06      -1.2131
_SET1_   3174       8   76452203   76479069     71       7  1000      0.89325      0.17257   -3.7998e-06      0.89326
