# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_GLYCOLYSIS (set)
# _SET1_  NGENES = 68
# _SET1_  P-VALUE = 8.27386e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2023          1    8921059    8939151     26       5  1000       1.1414        0.118   -4.1812e-06       1.1414
_SET1_   55706         1   54231133   54304225     89       6  1000      0.24059       0.3795   -4.1812e-06       0.2406
_SET1_   5567          1   84543745   84704181    180      13  1000       0.3001      0.36553   -4.1812e-06       0.3001
_SET1_   5313          1  155259084  155278531     12       1  1000      -1.1707      0.86641   -4.1812e-06      -1.1706
_SET1_   7175          1  186280784  186344883    113      10  1000     -0.31266      0.60418   -4.1812e-06     -0.31265
_SET1_   5208          1  207207761  207254368     63       9  1000      0.26861      0.37905   -4.1812e-06      0.26861
_SET1_   55746         1  229577044  229644088    137       6  1000      0.43186      0.30711   -4.1812e-06      0.43187
_SET1_   2646          2   27719470   27746556     29       3  1000     -0.87361      0.79492   -4.1812e-06      -0.8736
_SET1_   3099          2   75059782   75120481    166      24  1000      0.35286      0.35595   -4.1812e-06      0.35286
_SET1_   5903          2  109335902  109402267    113       6  1000      0.50212      0.28466   -4.1812e-06      0.50212
_SET1_   129401        2  183982247  184026408    198      18  1000     0.082435      0.45181   -4.1812e-06      0.08244
_SET1_   6396          3   10342613   10362872     53       9  1000     -0.34954      0.62259   -4.1812e-06     -0.34953
_SET1_   23225         3   13357730   13461819    228      12  1000     -0.60046      0.70806   -4.1812e-06     -0.60045
_SET1_   5210          3   48555117   48598607     32       5  1000      0.94242       0.1578   -4.1812e-06      0.94242
_SET1_   132789        4   44694190   44728651     61       4  1000     -0.39468      0.63225   -4.1812e-06     -0.39467
_SET1_   53371         4   77035812   77069668    226       7  1000       1.0708      0.12513   -4.1812e-06       1.0708
_SET1_   9631          5   37291735   37371228    155      14  1000        1.241     0.098225   -4.1812e-06        1.241
_SET1_   5515          5  133532148  133561950     71       3  1000       1.3954     0.070834   -4.1812e-06       1.3954
_SET1_   10007         5  141380234  141392620     25       6  1000      0.88278      0.17914   -4.1812e-06      0.88279
_SET1_   3101          5  176307870  176326333     26       8  1000     -0.92873      0.81574   -4.1812e-06     -0.92873
_SET1_   9972          6   17615266   17707065    150      15  1000     -0.82152      0.78261   -4.1812e-06     -0.82152
_SET1_   5528          6   42952218   42980083     47       5  1000       1.5186     0.056608   -4.1812e-06       1.5186
_SET1_   5232          6   49753364   49755053      1       1  1000      0.39047       0.3369   -4.1812e-06      0.39047
_SET1_   348995        6  150045457  150067688     31       2  1000     -0.77249      0.76199   -4.1812e-06     -0.77248
_SET1_   11097         7   23221446   23240630     41       3  1000       1.8176     0.029524   -4.1812e-06       1.8176
_SET1_   5224          7   44102326   44105186      8       2  1000    -0.073881      0.51077   -4.1812e-06    -0.073876
_SET1_   2645          7   44183870   44229022     94      15  1000     -0.58564      0.71173   -4.1812e-06     -0.58563
