# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = CHUNG_BLISTER_CYTOTOXICITY_UP (set)
# _SET1_  NGENES = 128
# _SET1_  P-VALUE = 9.43459e-07
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   714           1   22969969   22974603     21       4  1000       1.9712     0.022481   -9.7919e-07       1.9712
_SET1_   713           1   22979682   22988130     26       6  1000       2.7142    0.0030338   -9.7919e-07       2.7142
_SET1_   10691         1   28995234   29042115     52       4  1000     -0.92929      0.81128   -9.7919e-07     -0.92929
_SET1_   113444        1   35315963   35325417     22       8  1000      0.71313      0.22951   -9.7919e-07      0.71313
_SET1_   5690          1   36040259   36107445     66       8  1000     -0.92696      0.82252   -9.7919e-07     -0.92696
_SET1_   10327         1   46016455   46035723     27       3  1000    -0.044652      0.50021   -9.7919e-07    -0.044651
_SET1_   65005         1  151732119  151736040     13       3  1000      -1.2637      0.89183   -9.7919e-07      -1.2637
_SET1_   26097         1  153606458  153618782     21       2  1000     -0.24908       0.5816   -9.7919e-07     -0.24908
_SET1_   5872          1  153954093  153958853      2       1  1000      -1.4127      0.91865   -9.7919e-07      -1.4127
_SET1_   23208         1  155829260  155854990     23       4  1000       2.3122    0.0095814   -9.7919e-07       2.3122
_SET1_   56833         1  159796440  159807282     26       7  1000      0.55129      0.28191   -9.7919e-07      0.55129
_SET1_   116841        1  227922697  227968932     89      11  1000       1.8455     0.029923   -9.7919e-07       1.8455
_SET1_   2590          1  230202956  230417875    671      58  1000     -0.46017      0.67275   -9.7919e-07     -0.46016
_SET1_   7107          1  236305832  236415314    420      22  1000      0.27053       0.3773   -9.7919e-07      0.27053
_SET1_   51692         2    9563666    9613239    123      11  1000       1.5208     0.059189   -9.7919e-07       1.5208
_SET1_   55120         2   58386378   58468515    134      14  1000       2.1138     0.015927   -9.7919e-07       2.1138
_SET1_   6509          2   65215579   65250999     65      14  1000     -0.49357      0.68006   -9.7919e-07     -0.49357
_SET1_   84058         2   74648863   74652882      3       2  1000      0.95767      0.16886   -9.7919e-07      0.95767
_SET1_   10578         2   85921414   85925967     22       2  1000     -0.57044      0.70153   -9.7919e-07     -0.57044
_SET1_   926           2   87042460   87089047    121      14  1000     -0.45203      0.66007   -9.7919e-07     -0.45203
_SET1_   10213         2  162164786  162268228    113      10  1000       1.6313      0.04754   -9.7919e-07       1.6313
_SET1_   80055         2  197697728  197791454    115       4  1000     -0.88029      0.79924   -9.7919e-07     -0.88029
_SET1_   10920         2  237993870  238007489     17       4  1000     0.080331      0.46286   -9.7919e-07     0.080332
_SET1_   5510          2  242089012  242122439     96      13  1000       1.0653      0.13565   -9.7919e-07       1.0653
_SET1_   1234          3   46411633   46417697     18       4  1000     -0.87756      0.80132   -9.7919e-07     -0.87756
_SET1_   868           3  105374306  105589354    405      18  1000       0.1018      0.44088   -9.7919e-07       0.1018
_SET1_   10225         3  111260926  111384843    182      30  1000      0.83321      0.19696   -9.7919e-07      0.83321
_SET1_   201633        3  114012833  114029135     28       6  1000     -0.37097      0.63217   -9.7919e-07     -0.37097
_SET1_   942           3  121774209  121839990     78      14  1000     -0.65063      0.73328   -9.7919e-07     -0.65063
_SET1_   5708          3  184016886  184026842     10       3  1000     -0.81388      0.78452   -9.7919e-07     -0.81388
_SET1_   55728         4   40058524   40159872    194      18  1000     -0.23475      0.57816   -9.7919e-07     -0.23475
_SET1_   493856        4  103749224  103813964    103       3  1000      -0.2651      0.58128   -9.7919e-07     -0.26509
_SET1_   10424         4  129190392  129209984     16       4  1000      0.32837      0.36042   -9.7919e-07      0.32837
_SET1_   6389          5     218338     256815    316       5  1000     -0.40493      0.63647   -9.7919e-07     -0.40493
_SET1_   81037         5    1317869    1345180     51       5  1000      0.46351      0.30584   -9.7919e-07      0.46351
_SET1_   10605         5   43526369   43557521     49       4  1000     -0.96258      0.82013   -9.7919e-07     -0.96258
_SET1_   475           5  151122383  151138210      9       2  1000       1.0382      0.14254   -9.7919e-07       1.0382
_SET1_   84868         5  156512843  156536248     57       5  1000       0.8457      0.18893   -9.7919e-07      0.84571
_SET1_   54732         5  177019213  177023108      6       2  1000    -0.039837      0.50735   -9.7919e-07    -0.039836
_SET1_   9656          6   30667584   30685458     34       4  1000      -1.4523      0.92505   -9.7919e-07      -1.4523
