# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KORKOLA_SEMINOMA_UP (set)
# _SET1_  NGENES = 33
# _SET1_  P-VALUE = 8.03085e-06
_SET1_   GENE     CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   205        1  65613232  65697828    164      13  1000     -0.82009      0.77915   -7.2329e-06     -0.82008
_SET1_   23085     12   1100404   1605099   1216      34  1000       1.3062     0.077725   -7.2329e-06       1.3062
_SET1_   55846     12   2921716   2934237     19       2  1000      0.41106      0.32317   -7.2329e-06      0.41107
_SET1_   83695     12   2985424   2998691     32       2  1000       1.6053     0.047183   -7.2329e-06       1.6053
_SET1_   7289      12   3000033   3050306    177       4  1000       1.5573     0.048761   -7.2329e-06       1.5573
_SET1_   7004      12   3068478   3149842    276      30  1000       1.0944      0.13317   -7.2329e-06       1.0944
_SET1_   10867     12   3186521   3395730    819      74  1000     0.020238      0.49945   -7.2329e-06     0.020246
_SET1_   894       12   4382901   4414522     59      16  1000       1.5603     0.057666   -7.2329e-06       1.5603
_SET1_   57103     12   4430359   4469194     81      11  1000       1.7893     0.033803   -7.2329e-06       1.7893
_SET1_   57102     12   4596899   4647674     35       3  1000       -0.243       0.5767   -7.2329e-06       -0.243
_SET1_   4704      12   4758264   4796720     98      12  1000       2.5381      0.00493   -7.2329e-06       2.5381
_SET1_   928       12   6309482   6347437     51       6  1000      0.40347      0.32394   -7.2329e-06      0.40347
_SET1_   939       12   6554051   6560884     18       8  1000       1.5543     0.058381   -7.2329e-06       1.5543
_SET1_   6843      12   6571403   6579843     26       5  1000      0.60936      0.25788   -7.2329e-06      0.60937
_SET1_   2597      12   6643585   6647537     13       3  1000       2.2349     0.011626   -7.2329e-06       2.2349
_SET1_   4839      12   6666036   6677498     11       3  1000      0.86366      0.18719   -7.2329e-06      0.86367
_SET1_   50813     12   6833150   6841041     21       3  1000     -0.45449      0.65869   -7.2329e-06     -0.45448
_SET1_   2784      12   6949375   6956564      2       1  1000       1.7551     0.037535   -7.2329e-06       1.7551
_SET1_   7167      12   6976288   6980110      1       1  1000       1.7886      0.03459   -7.2329e-06       1.7886
_SET1_   84727     12   6980099   6982521      1       1  1000       1.0809       0.1196   -7.2329e-06       1.0809
_SET1_   23710     12  10365435  10375727     21       7  1000      0.30527       0.3725   -7.2329e-06      0.30527
_SET1_   4040      12  12268959  12419811    194      16  1000      0.99989      0.14741   -7.2329e-06       0.9999
_SET1_   1389      12  12764831  12798041     51       6  1000        1.264     0.094363   -7.2329e-06        1.264
_SET1_   9052      12  13043956  13066600     67      11  1000       1.2374      0.10104   -7.2329e-06       1.2374
_SET1_   79887     12  14656597  14720791    105      12  1000       1.8535     0.028897   -7.2329e-06       1.8535
_SET1_   397       12  15094949  15114562     37       5  1000      0.93983      0.16168   -7.2329e-06      0.93984
_SET1_   51071     12  16064186  16190315    239      18  1000      0.45222      0.30868   -7.2329e-06      0.45223
_SET1_   5965      12  21621844  21654603     61       9  1000    -0.025473      0.49302   -7.2329e-06    -0.025466
_SET1_   51026     12  21654699  21671337     47       7  1000      -1.1747      0.87072   -7.2329e-06      -1.1747
_SET1_   3945      12  21788275  21810789     78       2  1000      -1.1079      0.84628   -7.2329e-06      -1.1079
_SET1_   58516     12  31433356  31479159     38       6  1000      0.21199      0.40203   -7.2329e-06        0.212
_SET1_   55196     12  32112353  32146041    134      19  1000       1.2033      0.10949   -7.2329e-06       1.2033
_SET1_   121512    12  32552518  32798984    703      43  1000       1.4231     0.071328   -7.2329e-06       1.4231
