# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NADERI_BREAST_CANCER_PROGNOSIS_DN (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 4.23195e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   7049      1   92145900   92371559    610      48  1000       1.5871     0.056167   -6.9015e-07       1.5871
_SET1_   10628     1  145438438  145442635      4       1  1000      0.19012      0.40501   -6.9015e-07      0.19012
_SET1_   6746      1  155978839  155990758     10       2  1000    -0.078645      0.52222   -6.9015e-07    -0.078644
_SET1_   84693     2   71336806   71357394     66       7  1000       1.6762     0.041441   -6.9015e-07       1.6762
_SET1_   6474      3  157813800  157823952     22       2  1000       1.2169      0.10284   -6.9015e-07       1.2169
_SET1_   9076      3  190023490  190040235     72      16  1000      -1.3895      0.91173   -6.9015e-07      -1.3895
_SET1_   8404      4   88394483   88450798    181      14  1000       1.4001       0.0738   -6.9015e-07       1.4001
_SET1_   308       4  122589152  122618147     90      10  1000     0.075661      0.45269   -6.9015e-07     0.075662
_SET1_   57396     5  178029664  178054093     30       6  1000       1.5369     0.057711   -6.9015e-07       1.5369
_SET1_   64094     6  168841831  169068674    843      69  1000     0.098717      0.47215   -6.9015e-07     0.098718
_SET1_   4958      9   95176527   95186836      9       3  1000      -1.0102      0.83782   -6.9015e-07      -1.0102
_SET1_   25996    11  114310108  114321001     12       4  1000       0.5736      0.27212   -6.9015e-07       0.5736
_SET1_   1634     12   91539035   91576806     35       4  1000       -0.786      0.76228   -6.9015e-07       -0.786
_SET1_   28981    12  110562140  110656600     58       7  1000      0.59234      0.25921   -6.9015e-07      0.59234
_SET1_   2192     22   45898719   45997014    359      48  1000       2.5145    0.0059329   -6.9015e-07       2.5145
