# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS (set)
# _SET1_  NGENES = 93
# _SET1_  P-VALUE = 2.60625e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5928       1   33116749   33151812     84       5  1000      0.91989       0.1849    -1.256e-08      0.91989
_SET1_   3725       1   59246463   59249785      2       1  1000      0.65901      0.27586    -1.256e-08      0.65901
_SET1_   5087       1  164528597  164821067    600      84  1000     0.025904      0.50772    -1.256e-08     0.025904
_SET1_   5929       1  205055270  205091150     88      10  1000      0.90501      0.17619    -1.256e-08      0.90501
_SET1_   3020       1  226250408  226259703      5       1  1000     -0.64024      0.73492    -1.256e-08     -0.64024
_SET1_   4211       2   66662257   66799891    221      31  1000    -0.073699      0.52691    -1.256e-08    -0.073699
_SET1_   5433       2  128603840  128615729     31       5  1000    -0.099386      0.53027    -1.256e-08    -0.099386
_SET1_   3232       2  177001669  177043737     80      10  1000      0.56119      0.27693    -1.256e-08      0.56119
_SET1_   3233       2  177015122  177017951      6       2  1000      0.95607      0.17195    -1.256e-08      0.95607
_SET1_   3231       2  177053307  177055635      2       1  1000      -0.4469      0.67111    -1.256e-08      -0.4469
_SET1_   9125       2  219433303  219461158     49       5  1000      0.90346      0.17539    -1.256e-08      0.90346
_SET1_   5915       3   25215638   25639423   1200      90  1000      0.78207      0.22981    -1.256e-08      0.78207
_SET1_   5437       3  184079502  184086383     14       4  1000       1.5631     0.058403    -1.256e-08       1.5631
_SET1_   5431       4   57844944   57897334    146      18  1000     -0.90828      0.81482    -1.256e-08     -0.90828
_SET1_   3015       4  100869242  100871512      4       1  1000       -1.098      0.86348    -1.256e-08       -1.098
_SET1_   8841       5  141000443  141016423     16       5  1000        0.557      0.29222    -1.256e-08        0.557
_SET1_   57472      5  179921412  180005358    232      11  1000     -0.29356      0.59598    -1.256e-08     -0.29356
_SET1_   255626     6   25727137   25727573      4       1  1000      -0.3416      0.62986    -1.256e-08      -0.3416
_SET1_   8359       6   26021907   26022278      1       1  1000       1.6181      0.05799    -1.256e-08       1.6181
_SET1_   8366       6   26027124   26027480      2       1  1000     -0.10259      0.53288    -1.256e-08     -0.10259
_SET1_   8358       6   26031817   26032288      1       1  1000      0.77756       0.2174    -1.256e-08      0.77756
_SET1_   8335       6   26033320   26033796      2       1  1000      0.38915      0.34963    -1.256e-08      0.38915
_SET1_   8352       6   26045639   26046097      3       2  1000        0.836      0.20574    -1.256e-08        0.836
_SET1_   8364       6   26104176   26104565      2       1  1000      0.45561      0.32219    -1.256e-08      0.45561
_SET1_   8347       6   26113389   26124266     23       4  1000      0.78832       0.2063    -1.256e-08      0.78832
_SET1_   8334       6   26124370   26139337     42       7  1000      0.76185      0.21608    -1.256e-08      0.76185
_SET1_   3017       6   26157419   26171577     13       3  1000      0.18423      0.42711    -1.256e-08      0.18423
_SET1_   8344       6   26184024   26184458      2       1  1000     -0.48726      0.69023    -1.256e-08     -0.48726
_SET1_   8351       6   26196982   26199521     11       3  1000      0.20508      0.41854    -1.256e-08      0.20508
_SET1_   3013       6   26199012   26199521      3       1  1000     -0.44487      0.68705    -1.256e-08     -0.44487
_SET1_   8343       6   26199787   26200216      2       1  1000       1.1025      0.13259    -1.256e-08       1.1025
