# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = LIU_LIVER_CANCER (set)
# _SET1_  NGENES = 31
# _SET1_  P-VALUE = 3.79613e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23334      1   43855556   43919918     66       4  1000      0.55631      0.26514   -4.0545e-06      0.55631
_SET1_   27005      1  161129248  161135516      1       1  1000       0.1556       0.4287   -4.0545e-06       0.1556
_SET1_   336        1  161192083  161193418      2       1  1000       1.2552      0.10019   -4.0545e-06       1.2552
_SET1_   4921       1  162602228  162756409    303      22  1000     -0.72956      0.73448   -4.0545e-06     -0.72955
_SET1_   6258       1  165370159  165414592    155      22  1000      0.78194      0.20237   -4.0545e-06      0.78194
_SET1_   148304     1  209955662  209957890      2       1  1000      -1.1988      0.88426   -4.0545e-06      -1.1988
_SET1_   1796       2   74776147   74784678      8       2  1000       2.0633     0.015694   -4.0545e-06       2.0633
_SET1_   1582       3   42913684   42917633      7       2  1000      0.69534      0.23592   -4.0545e-06      0.69535
_SET1_   213        4   74269972   74287129     23       2  1000      0.22559      0.39135   -4.0545e-06       0.2256
_SET1_   7965       7    6048882    6063465     58      11  1000       1.4854     0.061701   -4.0545e-06       1.4854
_SET1_   563        7   99564350   99573735      8       2  1000      0.32429      0.36572   -4.0545e-06      0.32429
_SET1_   7791       7  143078338  143088204     19       5  1000      -0.3264      0.61388   -4.0545e-06     -0.32639
_SET1_   26233      8  145579088  145582183      4       1  1000       2.0355     0.020295   -4.0545e-06       2.0355
_SET1_   64794      9  135468384  135545788    131      14  1000    -0.012603      0.47756   -4.0545e-06    -0.012598
_SET1_   118980    10  104474298  104498947     32       6  1000     -0.30017      0.60016   -4.0545e-06     -0.30017
_SET1_   56674     11    8968840    8986553     39       4  1000        1.301     0.086683   -4.0545e-06        1.301
_SET1_   220004    11   61248585   61258400     18       5  1000       -1.711      0.94835   -4.0545e-06       -1.711
_SET1_   3995      11   61640998   61659006     36       6  1000     0.018807      0.46763   -4.0545e-06     0.018811
_SET1_   57453     11  117298489  117667976   1015      88  1000      0.59665      0.28045   -4.0545e-06      0.59665
_SET1_   4327      12   56229214   56236767      4       2  1000     0.009551      0.48254   -4.0545e-06    0.0095551
_SET1_   8487      14   39583488   39606177     61      11  1000       1.2958     0.087863   -4.0545e-06       1.2958
_SET1_   5265      14   94843084   94857029     48      11  1000      0.66409      0.24077   -4.0545e-06      0.66409
_SET1_   117155    15   43922772   43941039     31       4  1000       0.4701       0.2953   -4.0545e-06       0.4701
_SET1_   4828      15   85198360   85201802      8       2  1000      0.57854      0.27118   -4.0545e-06      0.57854
_SET1_   146439    16    3077683    3086950     22       3  1000     -0.66467      0.73254   -4.0545e-06     -0.66467
_SET1_   161882    16   88520014   88601574    276      26  1000      0.85086      0.17886   -4.0545e-06      0.85087
_SET1_   146429    16   89262169   89267757     17       4  1000     0.034978      0.46439   -4.0545e-06     0.034982
_SET1_   7067      17   38218446   38250120     41       9  1000     -0.77806      0.76542   -4.0545e-06     -0.77805
_SET1_   1891      19   39306062   39322497     40       7  1000      0.52873      0.27744   -4.0545e-06      0.52873
_SET1_   9149      19   40315990   40324841      7       1  1000     -0.20942      0.57284   -4.0545e-06     -0.20941
_SET1_   23759     22   22020273   22052202    116      12  1000       1.5877     0.048751   -4.0545e-06       1.5877
