# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = FRIDMAN_SENESCENCE_DN (set)
# _SET1_  NGENES = 12
# _SET1_  P-VALUE = 2.13092e-10
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1281       2  189839099  189877472     76      12  1000        3.063   0.00089649    -4.023e-06        3.063
_SET1_   9079       4   16503164   16900424    806      85  1000      -1.6523       0.9605    -4.023e-06      -1.6523
_SET1_   891        5   68462837   68474072     32       4  1000      0.17323      0.40146    -4.023e-06      0.17323
_SET1_   1958       5  137801181  137805004      2       1  1000       2.3778    0.0079311    -4.023e-06       2.3778
_SET1_   4082       6  114178527  114184652      8       4  1000       2.0752     0.017059    -4.023e-06       2.0753
_SET1_   8840       8  134203282  134243933    105      21  1000       2.1793     0.013238    -4.023e-06       2.1793
_SET1_   216        9   75515578   75653633    193      20  1000    -0.046185      0.49598    -4.023e-06    -0.046181
_SET1_   648       10   22610139   22620414      1       1  1000       2.0784      0.02038    -4.023e-06       2.0784
_SET1_   1874      16   67226068   67232821      7       2  1000     -0.54734      0.69884    -4.023e-06     -0.54733
_SET1_   284217    18    6941743    7117813    555      82  1000       1.5052     0.080682    -4.023e-06       1.5052
_SET1_   994       20    3767419    3786765     25       4  1000       1.3033     0.084626    -4.023e-06       1.3033
_SET1_   3397      20   30193086   30194318      3       1  1000     -0.42747      0.65047    -4.023e-06     -0.42746

# _SET2_  VARIABLE = ZHAN_EARLY_DIFFERENTIATION_GENES_UP (set)
# _SET2_  NGENES = 6
# _SET2_  P-VALUE = 5.7452e-06
_SET2_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   3655     2  173291954  173371181    280      21  1000      0.57433      0.26338    -4.023e-06      0.57434
_SET2_   843      2  202047621  202094129     36       5  1000      0.45334       0.2993    -4.023e-06      0.45335
_SET2_   3662     6     391739     411443     52      12  1000      0.87383      0.17743    -4.023e-06      0.87383
_SET2_   648     10   22610139   22620414      1       1  1000       2.0784      0.02038    -4.023e-06       2.0784
_SET2_   6782    21   15743436   15755509     34       7  1000       -1.087       0.8473    -4.023e-06       -1.087
_SET2_   7494    22   29190548   29196560      6       2  1000      0.65406      0.24163    -4.023e-06      0.65407
