# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_THE_NLRP3_INFLAMMASOME (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 2.92682e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10628      1  145438438  145442635      4       1  1000      0.58784      0.26694    4.1019e-07      0.58784
_SET1_   114548     1  247579247  247612410    114      24  1000     -0.23591      0.58911    4.1019e-07     -0.23591
_SET1_   4790       4  103422486  103538459    171       8  1000      0.78958      0.20577    4.1019e-07      0.78958
_SET1_   3326       6   44213903   44221625     14       4  1000       1.3435     0.083139    4.1019e-07       1.3435
_SET1_   7295       9  113006092  113018920     41      14  1000      0.61898       0.2616    4.1019e-07      0.61898
_SET1_   4791      10  104153867  104162286      8       4  1000       2.3951    0.0074659    4.1019e-07       2.3951
_SET1_   5970      11   65421067   65430443     10       3  1000       0.9573      0.15741    4.1019e-07       0.9573
_SET1_   24145     11   93862094   93918762    138      13  1000      0.62277      0.25982    4.1019e-07      0.62277
_SET1_   834       11  104896235  104905884     35       3  1000      -1.2073      0.87831    4.1019e-07      -1.2073
_SET1_   5027      12  121570622  121624439    193      18  1000       2.6795    0.0035132    4.1019e-07       2.6795
_SET1_   10910     13   53226830   53262433     33       4  1000      0.31024      0.36111    4.1019e-07      0.31024
_SET1_   9051      15   77287021   77329673     75      12  1000     -0.73204      0.76062    4.1019e-07     -0.73204
_SET1_   4210      16    3292028    3306648     45       5  1000      0.97006      0.15509    4.1019e-07      0.97006
_SET1_   351       21   27252861   27543446    696      54  1000      0.94087      0.17451    4.1019e-07      0.94087
