# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BAELDE_DIABETIC_NEPHROPATHY_UP (set)
# _SET1_  NGENES = 84
# _SET1_  P-VALUE = 4.62028e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2023       1    8921059    8939151     26       5  1000       1.0093      0.15069   -3.5654e-06       1.0093
_SET1_   8659       1   19197924   19229293     97      18  1000       1.5407     0.060219   -3.5654e-06       1.5407
_SET1_   7075       1   43766566   43788781     26       3  1000      0.19412      0.40875   -3.5654e-06      0.19412
_SET1_   10327      1   46016455   46035723     27       3  1000     -0.46951      0.66651   -3.5654e-06      -0.4695
_SET1_   8613       1   56960419   57045257    224      32  1000     -0.61967      0.73098   -3.5654e-06     -0.61967
_SET1_   947        1  208059883  208084742     65      10  1000       1.7135     0.041385   -3.5654e-06       1.7135
_SET1_   3488       2  217536828  217560272     42       6  1000       -0.578      0.71219   -3.5654e-06       -0.578
_SET1_   54575      2  234545123  234681951    345      17  1000      0.17284      0.41823   -3.5654e-06      0.17285
_SET1_   7123       3   45067759   45077563     29       2  1000      0.51715      0.28784   -3.5654e-06      0.51716
_SET1_   4134       3   47892180   48130769    171       6  1000       1.5163     0.059665   -3.5654e-06       1.5163
_SET1_   3373       3   50337320   50349812     17       3  1000      -1.1457      0.87092   -3.5654e-06      -1.1457
_SET1_   8692       3   50355221   50360281      4       2  1000     0.054439      0.47165   -3.5654e-06     0.054443
_SET1_   95         3   52017300   52023218      5       2  1000      0.12143      0.44602   -3.5654e-06      0.12144
_SET1_   6578       3  133651540  133748920    274      38  1000       2.5197     0.005825   -3.5654e-06       2.5197
_SET1_   7364       4   69955190   69978705    111       4  1000      0.74864      0.21302   -3.5654e-06      0.74864
_SET1_   1393       5   76248680   76265299     24       6  1000      0.65648      0.24826   -3.5654e-06      0.65649
_SET1_   57556      5  115779251  115910551    293      51  1000      0.66455      0.25628   -3.5654e-06      0.66455
_SET1_   6534       5  149569520  149590635     78      14  1000       2.4856    0.0061354   -3.5654e-06       2.4857
_SET1_   26112      5  150560613  150603654    140      26  1000       2.0778     0.018505   -3.5654e-06       2.0778
_SET1_   23120      5  159990127  160279219    662      46  1000      0.29666      0.37709   -3.5654e-06      0.29667
_SET1_   670        6    3118926    3153833    118      12  1000      0.41781      0.33278   -3.5654e-06      0.41782
_SET1_   2822       6   24426060   24495433    397      25  1000      0.77538      0.21203   -3.5654e-06      0.77538
_SET1_   720        6   31949834   31970457      1       1  1000        1.088       0.1316   -3.5654e-06        1.088
_SET1_   4855       6   32162620   32191844     93      15  1000     -0.36657      0.63634   -3.5654e-06     -0.36656
_SET1_   3123       6   32546546   32557613    567      20  1000     -0.19586      0.56111   -3.5654e-06     -0.19585
_SET1_   221395     6   46820242   46922681    244      26  1000      -0.1379       0.5494   -3.5654e-06      -0.1379
_SET1_   358        7   30951415   30965131     27       7  1000     -0.79552      0.78139   -3.5654e-06     -0.79552
_SET1_   26         7  150524336  150558379    148      13  1000     -0.15162      0.54984   -3.5654e-06     -0.15161
_SET1_   1191       8   27454434   27472328     35       6  1000     -0.24404      0.58594   -3.5654e-06     -0.24404
_SET1_   11030      8   30242017   30429778    290      16  1000      0.55699      0.27802   -3.5654e-06      0.55699
_SET1_   4609       8  128748315  128753680     11       3  1000     -0.44629      0.66838   -3.5654e-06     -0.44628
_SET1_   7010       9   27109147   27230172    589      55  1000      0.82728      0.20254   -3.5654e-06      0.82728
_SET1_   2203       9   97365415   97402531    133      16  1000      -1.1087      0.86218   -3.5654e-06      -1.1087
_SET1_   2022       9  130577291  130617052     52      10  1000       1.6287     0.049878   -3.5654e-06       1.6287
_SET1_   445        9  133320094  133376661    125      21  1000     0.023703      0.48616   -3.5654e-06     0.023706
_SET1_   9719       9  136397286  136440641    128      14  1000     -0.49821      0.68336   -3.5654e-06     -0.49821
_SET1_   8644      10    5090958    5149878    247      28  1000      0.54359      0.28838   -3.5654e-06      0.54359
_SET1_   219699    10   72972292   73062635    265      33  1000      0.43356      0.33038   -3.5654e-06      0.43356
_SET1_   219654    10   81142081   81205383    194      32  1000      0.12489      0.44773   -3.5654e-06      0.12489
_SET1_   9679      10  126307861  126432930    230      25  1000     -0.49671      0.68538   -3.5654e-06     -0.49671
_SET1_   3043      11    5246696    5248301      5       1  1000       1.1527      0.11756   -3.5654e-06       1.1527
_SET1_   8424      11   27062252   27149354    238      23  1000        0.551      0.28503   -3.5654e-06        0.551
_SET1_   9356      11   62744069   62752495     10       3  1000      -0.1755      0.55928   -3.5654e-06     -0.17549
_SET1_   595       11   69455873   69469242     19       4  1000      0.21644      0.40343   -3.5654e-06      0.21644
