# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_15Q26_AMPLICON (set)
# _SET1_  NGENES = 21
# _SET1_  P-VALUE = 2.05576e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   91947     15   98503933   98517068     39       8  1000      -1.0871      0.84902   -5.0191e-06      -1.0871
_SET1_   283777    15   98980391   99057611    219      18  1000      0.33434      0.34601   -5.0191e-06      0.33435
_SET1_   3480      15   99192272   99507759    702      74  1000       2.4855    0.0059341   -5.0191e-06       2.4855
_SET1_   23336     15   99645286   99675800    133      15  1000    -0.048511      0.49648   -5.0191e-06    -0.048506
_SET1_   64927     15   99676528   99791431    252      18  1000      -1.4168      0.91196   -5.0191e-06      -1.4168
_SET1_   123355    15   99791567   99930934    355      20  1000     -0.52356      0.67513   -5.0191e-06     -0.52355
_SET1_   4205      15  100106133  100256688    202      16  1000      0.57585      0.26168   -5.0191e-06      0.57586
_SET1_   145748    15  100267610  100273766     19       5  1000      -1.1223      0.85698   -5.0191e-06      -1.1223
_SET1_   170691    15  100511643  100882183   1737     114  1000       1.5045     0.060383   -5.0191e-06       1.5045
_SET1_   204219    15  100940600  101084925    538      21  1000     -0.30947      0.59102   -5.0191e-06     -0.30947
_SET1_   55180     15  101109428  101142445    117      11  1000      0.22592      0.38678   -5.0191e-06      0.22592
_SET1_   140460    15  101142755  101191906     95      11  1000       1.2433     0.096515   -5.0191e-06       1.2433
_SET1_   220       15  101419897  101456831     70       9  1000       1.0656      0.13029   -5.0191e-06       1.0657
_SET1_   79705     15  101459460  101610317    487      42  1000       2.7074    0.0029017   -5.0191e-06       2.7074
_SET1_   22856     15  101715928  101792137    200      16  1000       2.4232     0.006459   -5.0191e-06       2.4232
_SET1_   55829     15  101811214  101817700     10       4  1000       2.9663    0.0012628   -5.0191e-06       2.9663
_SET1_   6627      15  101821715  101835481     51       6  1000       1.2159      0.10051   -5.0191e-06       1.2159
_SET1_   5046      15  101844133  102030187    769      91  1000       5.4997   9.2716e-09   -5.0191e-06       5.4997
_SET1_   80213     15  102173429  102192594     24       6  1000    -0.064314      0.50371   -5.0191e-06    -0.064309
_SET1_   123283    15  102193955  102264807    116      11  1000     -0.46815      0.65787   -5.0191e-06     -0.46815
_SET1_   390649    15  102358390  102359328      1       1  1000        1.205       0.1042   -5.0191e-06        1.205
