# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BIOCARTA_NOTCH_PATHWAY (set)
# _SET1_  NGENES = 6
# _SET1_  P-VALUE = 6.06086e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6868      2    9629392    9695917    165      14  1000      0.98538      0.14494   -1.7192e-06      0.98538
_SET1_   3516      4   26165077   26436753    410      42  1000    -0.054873      0.50686   -1.7192e-06    -0.054872
_SET1_   28514     6  170591288  170599815     17       5  1000   -0.0090781      0.48206   -1.7192e-06   -0.0090764
_SET1_   4851      9  139388896  139440238    127      21  1000     0.090392      0.44341   -1.7192e-06     0.090394
_SET1_   5663     14   73603143   73690399    115      19  1000       2.9995    0.0011324   -1.7192e-06       2.9995
_SET1_   5045     15   91411885   91426687     24       5  1000     -0.41216      0.63762   -1.7192e-06     -0.41216

# _SET2_  VARIABLE = GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_CYAN_UP (set)
# _SET2_  NGENES = 16
# _SET2_  P-VALUE = 1.2217e-06
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   6868       2    9629392    9695917    165      14  1000      0.98538      0.14494   -1.7192e-06      0.98538
_SET2_   55209      3    9439384    9519838    115      10  1000       2.5399    0.0044278   -1.7192e-06       2.5399
_SET2_   5734       5   40680032   40696962     17       4  1000      0.75976      0.20666   -1.7192e-06      0.75977
_SET2_   153222     5  172483355  172566291    165      13  1000       1.0338      0.13368   -1.7192e-06       1.0338
_SET2_   7803       6   64281917   64293493      7       1  1000       2.7851    0.0021716   -1.7192e-06       2.7851
_SET2_   55122      6   88384578   88411985     59       7  1000      0.21913       0.3862   -1.7192e-06      0.21913
_SET2_   10370      6  139693392  139695787      4       2  1000       1.5919     0.051155   -1.7192e-06       1.5919
_SET2_   2936       8   30535578   30585486    131      14  1000      0.19264      0.39723   -1.7192e-06      0.19264
_SET2_   55454     10   43633893   43680756     65       8  1000     -0.65172      0.71988   -1.7192e-06     -0.65172
_SET2_   5128      12   96672039   96794366    186      19  1000       1.3618     0.076944   -1.7192e-06       1.3618
_SET2_   219333    13   27640287   27746033    154      19  1000      -1.0345      0.83515   -1.7192e-06      -1.0345
_SET2_   6541      13   30083551   30169825    188      22  1000      -0.8279      0.77924   -1.7192e-06      -0.8279
_SET2_   382       14   50359736   50363772      1       1  1000      0.73363       0.2238   -1.7192e-06      0.73363
_SET2_   5663      14   73603143   73690399    115      19  1000       2.9995    0.0011324   -1.7192e-06       2.9995
_SET2_   10672     17   63005407   63052920     33       4  1000      -1.1151      0.85055   -1.7192e-06      -1.1151
_SET2_   150275    22   29168662   29185283     36       6  1000      -1.0791      0.84497   -1.7192e-06      -1.0791
