# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_DN (set)
# _SET1_  NGENES = 161
# _SET1_  P-VALUE = 5.73719e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1870          1   23832920   23857712     41       5  1000       1.7426      0.03702   -6.6104e-06       1.7426
_SET1_   3399          1   23884421   23886285      8       3  1000     -0.11041      0.53683   -6.6104e-06      -0.1104
_SET1_   1912          1   33789224   33841194    109      10  1000     -0.35318      0.62229   -6.6104e-06     -0.35317
_SET1_   1031          1   51434367   51440309      4       1  1000      -1.0077       0.8376   -6.6104e-06      -1.0077
_SET1_   5567          1   84543745   84704181    180      13  1000       1.5349     0.056242   -6.6104e-06       1.5349
_SET1_   1266          1   95362507   95392735     85      17  1000       2.2608     0.012026   -6.6104e-06       2.2608
_SET1_   81611         1  150190717  150208504     20       4  1000     -0.58059      0.70908   -6.6104e-06     -0.58058
_SET1_   6281          1  151955386  151966714     12       3  1000     0.034637      0.47631   -6.6104e-06     0.034644
_SET1_   84824         1  161676762  161684142     22       4  1000      0.47749      0.30508   -6.6104e-06      0.47749
_SET1_   92241         1  167599474  167677933    198      42  1000     -0.67046      0.76045   -6.6104e-06     -0.67046
_SET1_   6045          1  185014482  185071740     40       6  1000       1.5325     0.059568   -6.6104e-06       1.5325
_SET1_   64710         1  205681947  205719372     45       8  1000      0.48403      0.30666   -6.6104e-06      0.48403
_SET1_   1604          1  207494817  207534311     56       4  1000       1.7003     0.039497   -6.6104e-06       1.7003
_SET1_   2271          1  241660857  241683085     18       2  1000      -1.0412      0.83776   -6.6104e-06      -1.0412
_SET1_   10472         1  244212241  244220778      1       1  1000      -1.0869        0.861   -6.6104e-06      -1.0869
_SET1_   28951         2   12856998   12882860     52       8  1000      0.10897      0.44488   -6.6104e-06      0.10898
_SET1_   23369         2   20448453   20550585     95       7  1000     0.036386      0.46372   -6.6104e-06     0.036393
_SET1_   6683          2   32288660   32382706    144       7  1000      -1.0546      0.83735   -6.6104e-06      -1.0546
_SET1_   53335         2   60678302   60780633    100      18  1000       1.4018     0.078907   -6.6104e-06       1.4018
_SET1_   9168          2   85132763   85133799      1       1  1000      0.17305       0.4371   -6.6104e-06      0.17305
_SET1_   3899          2  100162326  100759037    949      44  1000      0.82072      0.18069   -6.6104e-06      0.82073
_SET1_   2995          2  127413426  127454251    140      21  1000      0.64616      0.25488   -6.6104e-06      0.64616
_SET1_   55843         2  143886899  144525921   1199      65  1000      0.56422      0.25927   -6.6104e-06      0.56422
_SET1_   375287        2  152104728  152118389     29       5  1000      0.94706      0.16365   -6.6104e-06      0.94706
_SET1_   91526         2  197831741  198175521    712      51  1000       0.2461      0.38995   -6.6104e-06      0.24611
_SET1_   3708          3    4535032    4889524    974     129  1000      0.30338       0.4092   -6.6104e-06      0.30338
_SET1_   9467          3   15295860   15382901    238      45  1000      -0.1025       0.5563   -6.6104e-06      -0.1025
_SET1_   7155          3   25639396   25706396     87       5  1000     -0.85296      0.78685   -6.6104e-06     -0.85296
_SET1_   23171         3   32148003   32210207    316      18  1000      -1.4288      0.91545   -6.6104e-06      -1.4288
_SET1_   440957        3   52570002   52574586      9       2  1000       0.7621      0.21474   -6.6104e-06       0.7621
_SET1_   84002         3  182971032  182991179     20       4  1000      0.25194      0.39725   -6.6104e-06      0.25195
_SET1_   54800         3  183353398  183402307    189       3  1000       1.3115     0.078135   -6.6104e-06       1.3115
