# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = HOLLERN_SQUAMOUS_BREAST_TUMOR (set)
# _SET1_  NGENES = 163
# _SET1_  P-VALUE = 2.62558e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   29943      1   17531621   17572501    125      30  1000     -0.33456      0.61115    2.1939e-06     -0.33456
_SET1_   51702      1   17575593   17610728    138      19  1000    0.0021862      0.47318    2.1939e-06     0.002184
_SET1_   23569      1   17634690   17690495    232      17  1000      0.76969      0.20095    2.1939e-06      0.76968
_SET1_   30814      1   20246800   20250110     11       2  1000       1.5183      0.05673    2.1939e-06       1.5183
_SET1_   3399       1   23884421   23886285      8       3  1000     -0.71934      0.74638    2.1939e-06     -0.71934
_SET1_   2709       1   35220648   35224113      6       2  1000     0.040199      0.46092    2.1939e-06     0.040197
_SET1_   127534     1   35225342   35229325     11       5  1000        1.115      0.11963    2.1939e-06        1.115
_SET1_   5453       1   38509523   38512450      1       1  1000     -0.55712        0.694    2.1939e-06     -0.55712
_SET1_   1503       1   41445007   41478237     72      14  1000      0.63676      0.24163    2.1939e-06      0.63676
_SET1_   8643       1   45285516   45309226     41       5  1000      0.86081      0.17603    2.1939e-06      0.86081
_SET1_   10451      1  108113782  108507545   1048      63  1000      -0.6298      0.72191    2.1939e-06      -0.6298
_SET1_   51205      1  147119168  147142634     61       9  1000       1.3679     0.075579    2.1939e-06       1.3679
_SET1_   7062       1  152078793  152087930      4       1  1000      0.45426      0.30629    2.1939e-06      0.45426
_SET1_   126638     1  152126071  152131704      5       2  1000       1.5928     0.049574    2.1939e-06       1.5928
_SET1_   388697     1  152184552  152196672     50       3  1000    -0.073423      0.50062    2.1939e-06    -0.073425
_SET1_   54544      1  152486978  152488481      7       3  1000      0.57945      0.26202    2.1939e-06      0.57945
_SET1_   3713       1  152881039  152884362     16       2  1000      -1.0449      0.83541    2.1939e-06      -1.0449
_SET1_   6698       1  152956564  152958290      5       1  1000       2.1121     0.015226    2.1939e-06       2.1121
_SET1_   6700       1  153028596  153029988      1       1  1000      0.87414       0.1806    2.1939e-06      0.87414
_SET1_   6274       1  153519805  153521734     16       1  1000       0.3619      0.33182    2.1939e-06       0.3619
_SET1_   57402      1  153586731  153588808      5       1  1000      0.57978      0.26378    2.1939e-06      0.57978
_SET1_   55103      1  178694300  178890975    190      15  1000      0.23061      0.38162    2.1939e-06       0.2306
_SET1_   11009      1  207070630  207077484     13       3  1000     -0.86269      0.78904    2.1939e-06     -0.86269
_SET1_   79745      2   29320542   29406679    184      21  1000      -1.0659      0.84173    2.1939e-06      -1.0659
