# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_20Q12_Q13_AMPLICON (set)
# _SET1_  NGENES = 144
# _SET1_  P-VALUE = 9.08919e-10
_SET1_   GENE     CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   7529      20  43514240  43537173     34       3  1000      0.36491       0.3345   -2.8852e-06      0.36491
_SET1_   10953     20  43570771  43589114     16       3  1000      0.61937      0.24946   -2.8852e-06      0.61937
_SET1_   6789      20  43595120  43708600    198      12  1000     -0.97497      0.82147   -2.8852e-06     -0.97497
_SET1_   3787      20  43720950  43729753     10       2  1000     -0.39538      0.63059   -2.8852e-06     -0.39538
_SET1_   149708    20  43738093  43743813     16       4  1000      0.65497      0.23901   -2.8852e-06      0.65497
_SET1_   128488    20  43752067  43753106      3       1  1000     -0.39526      0.62832   -2.8852e-06     -0.39525
_SET1_   5266      20  43803540  43805185     13       2  1000     -0.89439      0.79437   -2.8852e-06     -0.89439
_SET1_   6406      20  43835605  43838414      5       1  1000    -0.083996      0.50014   -2.8852e-06    -0.083993
_SET1_   6407      20  43850010  43853099     10       2  1000     -0.19698      0.54816   -2.8852e-06     -0.19698
_SET1_   6590      20  43880880  43883205      9       3  1000     0.097698      0.43251   -2.8852e-06     0.097701
_SET1_   8785      20  43922086  43937206     44       6  1000      -0.4798       0.6669   -2.8852e-06      -0.4798
_SET1_   11317     20  43935483  43946464     18       3  1000     -0.63543      0.71955   -2.8852e-06     -0.63543
_SET1_   6385      20  43953928  43977064     72       9  1000      0.56508      0.27184   -2.8852e-06      0.56509
_SET1_   90196     20  43988660  44005442     26       2  1000      0.81332      0.18822   -2.8852e-06      0.81332
_SET1_   27296     20  44002520  44009937     16       3  1000      0.97316       0.1509   -2.8852e-06      0.97316
_SET1_   23613     20  45837994  45985485    198      28  1000     -0.40318      0.64669   -2.8852e-06     -0.40317
_SET1_   8202      20  46130601  46285621    229      11  1000       0.4042      0.31855   -2.8852e-06       0.4042
_SET1_   55959     20  46286150  46415360    429      72  1000     -0.10548       0.5467   -2.8852e-06     -0.10548
_SET1_   57580     20  47240787  47444420    546      24  1000        0.699       0.2197   -2.8852e-06        0.699
_SET1_   10564     20  47538250  47653230    220      14  1000      0.65682      0.23879   -2.8852e-06      0.65682
_SET1_   23315     20  48429250  48508779    208      17  1000       0.1185      0.43399   -2.8852e-06       0.1185
_SET1_   9825      20  48519928  48532080     26       4  1000      0.48962      0.29312   -2.8852e-06      0.48963
_SET1_   55905     20  48552914  48570422     29       4  1000      0.15139      0.41882   -2.8852e-06      0.15139
_SET1_   6615      20  48599513  48605423     26       3  1000     -0.83473      0.77758   -2.8852e-06     -0.83473
_SET1_   7335      20  48697661  48732496     53       5  1000      0.94178      0.15893   -2.8852e-06      0.94179
_SET1_   387522    20  48697661  48770335    106      10  1000      0.45805      0.30635   -2.8852e-06      0.45805
_SET1_   387521    20  48740274  48770335     41       7  1000     -0.31074      0.60387   -2.8852e-06     -0.31073
_SET1_   1051      20  48807120  48809227      1       1  1000      0.33415       0.3484   -2.8852e-06      0.33415
_SET1_   5770      20  49126858  49201299     69       5  1000     -0.81609      0.77661   -2.8852e-06     -0.81609
_SET1_   140876    20  49202645  49308277    261      29  1000     -0.40745      0.64575   -2.8852e-06     -0.40745
_SET1_   84612     20  49347923  49373333     30       5  1000      0.34108      0.34808   -2.8852e-06      0.34108
_SET1_   55653     20  49411467  49493714    217      29  1000     -0.17024      0.55516   -2.8852e-06     -0.17024
_SET1_   23394     20  49505585  49547527     86      10  1000       -1.058      0.84205   -2.8852e-06       -1.058
_SET1_   8813      20  49551404  49575081     25       6  1000      -1.5684      0.93446   -2.8852e-06      -1.5684
_SET1_   27304     20  49575351  49578400      1       1  1000     -0.38206       0.6197   -2.8852e-06     -0.38205
_SET1_   3755      20  49620193  49639675     44       7  1000       1.8049      0.03184   -2.8852e-06       1.8049
_SET1_   4773      20  50003494  50179370    401      65  1000       1.2888     0.099515   -2.8852e-06       1.2888
_SET1_   10079     20  50213314  50384908    617      23  1000      0.47282      0.29003   -2.8852e-06      0.47282
_SET1_   57167     20  50400551  50419059     48       9  1000     -0.08216      0.51605   -2.8852e-06    -0.082157
_SET1_   55734     20  50700550  50808524    333      20  1000     -0.75046      0.75711   -2.8852e-06     -0.75046
_SET1_   128553    20  51588946  52111869   1187     156  1000     -0.43403      0.66289   -2.8852e-06     -0.43403
_SET1_   7764      20  52183610  52210801     43       9  1000      -1.2142      0.87881   -2.8852e-06      -1.2142
_SET1_   8537      20  52560079  52687304    474      35  1000       1.0871      0.12852   -2.8852e-06       1.0871
_SET1_   1591      20  52769985  52790516     75      13  1000       1.5287     0.058886   -2.8852e-06       1.5287
_SET1_   5203      20  52824502  52836492     18       4  1000       0.8867      0.17409   -2.8852e-06       0.8867
_SET1_   55816     20  53092266  53267710    340      29  1000       1.1226      0.12112   -2.8852e-06       1.1226
_SET1_   140689    20  54572413  54580528      8       3  1000      0.47224      0.29375   -2.8852e-06      0.47225
_SET1_   4159      20  54823788  54824871      2       1  1000      0.84299      0.17607   -2.8852e-06      0.84299
_SET1_   116151    20  54933983  54943719     30       5  1000       2.4494    0.0060147   -2.8852e-06       2.4494
