# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_TNFR1_MEDIATED_CERAMIDE_PRODUCTION (set)
# _SET1_  NGENES = 6
# _SET1_  P-VALUE = 2.09344e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10399     5  180663928  180671209     24       3  1000      0.89765       0.1696   -6.0297e-06      0.89766
_SET1_   7124      6   31543344   31546113      4       2  1000    -0.090193      0.52453   -6.0297e-06    -0.090187
_SET1_   6610      6  109761849  109765125      6       2  1000      0.71889      0.22968   -6.0297e-06       0.7189
_SET1_   8439      8   59496063   59572404    166      15  1000       1.4537     0.067844   -6.0297e-06       1.4537
_SET1_   7132     12    6437923    6451283     22       5  1000      0.43032      0.32396   -6.0297e-06      0.43033
_SET1_   55512    16   68392230   68482409    131      13  1000        2.063     0.017948   -6.0297e-06        2.063

# _SET2_  VARIABLE = REACTOME_CRISTAE_FORMATION (set)
# _SET2_  NGENES = 26
# _SET2_  P-VALUE = 1.7432e-06
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   55735      1    6694228    6761966    104       8  1000    -0.066533      0.50921   -6.0297e-06    -0.066527
_SET2_   440574     1   19923471   19956315    102       8  1000     -0.23881      0.56841   -6.0297e-06     -0.23881
_SET2_   515        1  111991467  112004540     20       3  1000       1.3241     0.087078   -6.0297e-06       1.3241
_SET2_   4580       1  155178490  155183625      3       1  1000     -0.51409      0.69624   -6.0297e-06     -0.51409
_SET2_   10989      2   86371055   86423264    125       4  1000     -0.28299      0.58854   -6.0297e-06     -0.28298
_SET2_   518        2  176040986  176046490     10       2  1000     -0.36057      0.62718   -6.0297e-06     -0.36056
_SET2_   10651      2  177134123  177202753     70       5  1000        1.102      0.12453   -6.0297e-06        1.102
_SET2_   84303      3  126423063  126679263    303      18  1000      -0.8153      0.77732   -6.0297e-06      -0.8153
_SET2_   521        4     666225     668127      1       1  1000     -0.11746       0.5457   -6.0297e-06     -0.11745
_SET2_   3313       5  137890571  137911318     24       3  1000       1.5401     0.056894   -6.0297e-06       1.5401
_SET2_   9551       7   99055784   99063824     10       3  1000      0.25407      0.38347   -6.0297e-06      0.25408
_SET2_   54927      7  132469623  132766839    459      19  1000       1.2945     0.089545   -6.0297e-06       1.2945
_SET2_   509       10    7830093    7849764     54       7  1000       3.2659   0.00047524   -6.0297e-06       3.2659
_SET2_   10632     11  118272104  118280562      6       2  1000      -0.9112      0.81202   -6.0297e-06      -0.9112
_SET2_   517       12   54058944   54070512     21       4  1000      -1.1474      0.86771   -6.0297e-06      -1.1474
_SET2_   506       12   57031959   57039852      8       2  1000       1.1505      0.12057   -6.0297e-06       1.1505
_SET2_   27109     14   50778256   50802359     65       4  1000     -0.75291       0.7598   -6.0297e-06      -0.7529
_SET2_   8834      17   21101263   21117974     23       3  1000       2.1692      0.01387   -6.0297e-06       2.1692
_SET2_   516       17   46970148   46973233      6       2  1000      -1.0416      0.84779   -6.0297e-06      -1.0416
_SET2_   10476     17   73034955   73043074     23       6  1000       1.0216      0.14435   -6.0297e-06       1.0216
_SET2_   498       18   43664110   43684199     78       6  1000       1.4789      0.06325   -6.0297e-06       1.4789
_SET2_   513       19    1241749    1244824      3       2  1000       1.4815     0.066334   -6.0297e-06       1.4815
_SET2_   514       20   57603733   57607422      3       1  1000      0.92489      0.17643   -6.0297e-06       0.9249
_SET2_   522       21   27096791   27107965     14       3  1000     -0.64575      0.72812   -6.0297e-06     -0.64575
_SET2_   539       21   35275757   35288158     31       6  1000       1.6676     0.044701   -6.0297e-06       1.6676
_SET2_   25813     22   44351261   44392412    103      10  1000     0.025535      0.47458   -6.0297e-06     0.025541
