# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
79501        1      69091      70008      1       1  1000      -1.6668    -3.012e-06      -1.6668
100996442    1     142447     174392      1       1  1000     -0.58694    -3.012e-06     -0.58694
148398       1     859993     879961     74      17  1000     -0.20885    -3.012e-06     -0.20885
26155        1     879583     894679     36       4  1000    -0.075187    -3.012e-06    -0.075184
339451       1     895967     901099     30       6  1000     -0.18066    -3.012e-06     -0.18066
84069        1     901872     910488     37      14  1000     -0.32312    -3.012e-06     -0.32312
84808        1     910579     917473     18       4  1000       1.1644    -3.012e-06       1.1644
57801        1     934342     936608      4       2  1000      0.75148    -3.012e-06      0.75148
9636         1     948847     949920      5       2  1000     -0.89442    -3.012e-06     -0.89442
375790       1     955503     991499    104      11  1000    -0.072938    -3.012e-06    -0.072935
401934       1    1007126    1009687      5       2  1000    -0.021249    -3.012e-06    -0.021246
54991        1    1017198    1051736    107       9  1000     -0.49692    -3.012e-06     -0.49692
254173       1    1109286    1133315    121      13  1000     -0.61526    -3.012e-06     -0.61525
8784         1    1138888    1142163      7       1  1000      -1.1701    -3.012e-06      -1.1701
7293         1    1146706    1149703      6       2  1000       0.6238    -3.012e-06       0.6238
51150        1    1152288    1167447     89       4  1000     -0.23444    -3.012e-06     -0.23444
126792       1    1167629    1170421      3       2  1000     -0.35426    -3.012e-06     -0.35426
388581       1    1177826    1182102      9       2  1000        -0.47    -3.012e-06        -0.47
118424       1    1189292    1209234     24       5  1000      -1.3196    -3.012e-06      -1.3196
6339         1    1215816    1227409     42      17  1000     -0.28255    -3.012e-06     -0.28254
116983       1    1227764    1243304     54      11  1000     -0.66877    -3.012e-06     -0.66877
126789       1    1243962    1247057      2       1  1000      -1.1861    -3.012e-06      -1.1861
54973        1    1246965    1260067     18       5  1000     -0.17863    -3.012e-06     -0.17863
80772        1    1260136    1264276      9       2  1000      0.20705    -3.012e-06      0.20705
83756        1    1266726    1269844      6       3  1000     -0.57035    -3.012e-06     -0.57035
1855         1    1270658    1284509     32       6  1000    -0.009958    -3.012e-06    -0.009955
54587        1    1288071    1297183     26       5  1000     -0.03979    -3.012e-06    -0.039787
54998        1    1309110    1310818      3       2  1000     -0.27056    -3.012e-06     -0.27055
81669        1    1321091    1334718     16       5  1000     -0.60489    -3.012e-06     -0.60489
55052        1    1337276    1342693     10       4  1000     -0.78702    -3.012e-06     -0.78702
441869       1    1353800    1356824      7       2  1000     -0.99641    -3.012e-06     -0.99641
643965       1    1361508    1363167      7       2  1000     -0.76442    -3.012e-06     -0.76442
64856        1    1370903    1378262     16       4  1000     0.039902    -3.012e-06     0.039905
219293       1    1378152    1405538     88      11  1000    -0.021504    -3.012e-06    -0.021501
83858        1    1407139    1444852     69       9  1000     -0.16066    -3.012e-06     -0.16066
55210        1    1447523    1470067     67      10  1000      0.32971    -3.012e-06      0.32971
339453       1    1470158    1475740      8       3  1000      -0.4166    -3.012e-06      -0.4166
29101        1    1477053    1510262     73       6  1000     -0.95084    -3.012e-06     -0.95084
643988       1    1533388    1535476      2       1  1000      -2.7285    -3.012e-06      -2.7285
142678       1    1550795    1565990     29       5  1000     -0.62814    -3.012e-06     -0.62814
984          1    1571100    1590473     34       6  1000      0.63646    -3.012e-06      0.63646
728661       1    1591486    1624243     85      15  1000      0.37509    -3.012e-06       0.3751
728642       1    1633822    1655999    119       8  1000      -1.1818    -3.012e-06      -1.1818
9906         1    1656277    1677438     70       8  1000     -0.59771    -3.012e-06     -0.59771
65220        1    1682671    1711508     59       7  1000      -0.8145    -3.012e-06     -0.81449
2782         1    1716725    1822552    112      10  1000      -1.6283    -3.012e-06      -1.6283
163688       1    1846266    1848733     11       3  1000      -1.0124    -3.012e-06      -1.0124
339456       1    1849029    1850740      5       2  1000     -0.78307    -3.012e-06     -0.78306
85452        1    1853390    1935276    388      29  1000     -0.77333    -3.012e-06     -0.77333
2563         1    1950768    1962192     22       4  1000      0.75667    -3.012e-06      0.75667
5590         1    1981909    2116834    431      31  1000    -0.014092    -3.012e-06    -0.014089
100506504    1    2113250    2115812      3       2  1000     -0.34611    -3.012e-06      -0.3461
199990       1    2115899    2144159     35       6  1000      0.37981    -3.012e-06      0.37981
6497         1    2160134    2241652    191      32  1000     -0.38648    -3.012e-06     -0.38648
79906        1    2251719    2323190    264      27  1000        1.059    -3.012e-06        1.059
11079        1    2323214    2336883     30       8  1000     -0.74016    -3.012e-06     -0.74016
5192         1    2336241    2344010     19       6  1000     -0.86007    -3.012e-06     -0.86007
9651         1    2407754    2436964     46       6  1000    -0.086667    -3.012e-06    -0.086664
55229        1    2439975    2458061     36       5  1000      0.32869    -3.012e-06      0.32869
8764         1    2487291    2495268     11       2  1000      0.20383    -3.012e-06      0.20383
127281       1    2517899    2522908      6       2  1000     -0.80242    -3.012e-06     -0.80242
79258        1    2522078    2564499    110       3  1000     0.071305    -3.012e-06     0.071308
100287898    1    2572807    2706230    142      14  1000     -0.45511    -3.012e-06     -0.45511
140625       1    2938046    2939467      2       1  1000       1.4095    -3.012e-06       1.4095
63976        1    2985565    3355185   1283     151  1000      -0.9097    -3.012e-06      -0.9097
27237        1    3371147    3397677     69       8  1000     -0.55153    -3.012e-06     -0.55153
1953         1    3404506    3528059    391      60  1000      -1.2924    -3.012e-06      -1.2924
127262       1    3541556    3546695     14       3  1000      0.28442    -3.012e-06      0.28442
49856        1    3547331    3566671     35       7  1000     -0.50387    -3.012e-06     -0.50387
7161         1    3569129    3652765    265      44  1000     -0.52843    -3.012e-06     -0.52842
148870       1    3668965    3688209     58      11  1000     -0.54312    -3.012e-06     -0.54312
388588       1    3689352    3692546     12       5  1000      -2.1916    -3.012e-06      -2.1916
57470        1    3696784    3713068     48       9  1000    -0.068931    -3.012e-06    -0.068928
9731         1    3728645    3773797    233      14  1000      -1.1891    -3.012e-06      -1.1891
1677         1    3773845    3801993    157      20  1000     -0.99001    -3.012e-06     -0.99001
339448       1    3805697    3816857     35       5  1000     -0.46681    -3.012e-06     -0.46681
55966        1    4715105    4843851    499      76  1000       0.8744    -3.012e-06      0.87441
261734       1    5922870    6052618    317      13  1000     -0.69141    -3.012e-06     -0.69141
8514         1    6052358    6161253    240      40  1000      -1.1149    -3.012e-06      -1.1149
26038        1    6161847    6240194    263      25  1000       0.2641    -3.012e-06      0.26411
6146         1    6245080    6259679     30       5  1000     -0.55586    -3.012e-06     -0.55585
388591       1    6266189    6281359     31       4  1000       1.3849    -3.012e-06       1.3849
23463        1    6281253    6296044     20       4  1000        2.017    -3.012e-06        2.017
390992       1    6304252    6305638      3       1  1000      0.78386    -3.012e-06      0.78386
387509       1    6307406    6321035     32       2  1000     -0.27529    -3.012e-06     -0.27529
11332        1    6324332    6453826    324      17  1000      0.32572    -3.012e-06      0.32572
54626        1    6475292    6484724     25       4  1000     0.058167    -3.012e-06      0.05817
83715        1    6484836    6521004     95      10  1000    -0.050361    -3.012e-06    -0.050358
