# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = PID_ALK2_PATHWAY (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 5.12533e-06
_SET1_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3196     2   74740686   74744275      1       1  1000     -0.49312       0.6842   -5.2082e-06     -0.49312
_SET1_   90       2  158592958  158732374    130      19  1000       1.5223     0.064244   -5.2082e-06       1.5223
_SET1_   659      2  203241033  203432474    248      14  1000       1.4708     0.065968   -5.2082e-06       1.4708
_SET1_   4086     4  146402951  146480328     99      10  1000       1.2418      0.10352   -5.2082e-06       1.2418
_SET1_   4090     5  135468536  135518422     94       2  1000   -0.0086159      0.46721   -5.2082e-06   -0.0086107
_SET1_   269     12   53817594   53825439     19       3  1000      0.82096      0.19895   -5.2082e-06      0.82097
_SET1_   4093    13   37418968   37494409    166      21  1000      0.80016      0.21117   -5.2082e-06      0.80017
_SET1_   4089    18   48556583   48611412     36       3  1000     -0.10609      0.51514   -5.2082e-06     -0.10608
_SET1_   268     19    2249113    2252072      7       3  1000      0.24236       0.3987   -5.2082e-06      0.24237
_SET1_   2280    20    1349621    1373816     46       8  1000      0.31977      0.36367   -5.2082e-06      0.31977
_SET1_   655     20   55743809   55841707    262      18  1000     -0.77846      0.77054   -5.2082e-06     -0.77845
