# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_3 (set)
# _SET1_  NGENES = 13
# _SET1_  P-VALUE = 5.27145e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1647      1   68150860   68154021      7       2  1000       1.0218      0.14831   -5.6708e-06       1.0218
_SET1_   26191     1  114356433  114414375     73       7  1000      0.36108      0.34622   -5.6708e-06      0.36109
_SET1_   9910      1  174128552  174964445   1348      15  1000      0.61002      0.25584   -5.6708e-06      0.61003
_SET1_   3697      3   52811602   52826084     29       3  1000      0.22636      0.39655   -5.6708e-06      0.22637
_SET1_   3512      4   71521258   71532348      3       2  1000        1.886     0.029318   -5.6708e-06        1.886
_SET1_   3248      4  175411328  175444049     98      19  1000     -0.58784      0.71808   -5.6708e-06     -0.58783
_SET1_   2099      6  152011631  152424409    978      59  1000      0.54069      0.30494   -5.6708e-06       0.5407
_SET1_   9723      7   82993222   83278479    891      34  1000        2.994    0.0013272   -5.6708e-06        2.994
_SET1_   760       8   86376131   86393721     13       3  1000     -0.82886      0.78927   -5.6708e-06     -0.82886
_SET1_   9562     10   89264223   89313218     78      11  1000      0.12315      0.44195   -5.6708e-06      0.12315
_SET1_   5728     10   89623195   89728532     48       9  1000      0.72652      0.22736   -5.6708e-06      0.72652
_SET1_   4792     14   35870716   35873960     12       4  1000    -0.076557      0.52269   -5.6708e-06    -0.076551
_SET1_   54799    17   49254786   49337788    135       8  1000    -0.071154      0.51263   -5.6708e-06    -0.071148
