# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE (set)
# _SET1_  NGENES = 28
# _SET1_  P-VALUE = 6.02323e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1855      1    1270658    1284509     32       6  1000      0.49773      0.27535   -3.5324e-07      0.49773
_SET1_   5525      1  212458879  212535205    163      19  1000       2.8578    0.0018381   -3.5324e-07       2.8578
_SET1_   89780     1  228194723  228248972     87      10  1000       2.2649    0.0099444   -3.5324e-07       2.2649
_SET1_   7855      2  208627310  208634143      4       2  1000    -0.014411      0.49908   -3.5324e-07     -0.01441
_SET1_   1499      3   41236401   41281939     34       2  1000  -0.00021087      0.48662   -3.5324e-07  -0.00021052
_SET1_   2932      3  119540800  119813264    306      14  1000      -1.3069      0.89159   -3.5324e-07      -1.3069
_SET1_   1857      3  183873099  183891314     24       5  1000      0.98637       0.1547   -3.5324e-07      0.98638
_SET1_   324       5  112043202  112181936    206      12  1000      -1.7687      0.95735   -3.5324e-07      -1.7687
_SET1_   5515      5  133532148  133561950     71       3  1000       2.2543    0.0098661   -3.5324e-07       2.2543
_SET1_   7478      5  137419581  137428337     12       3  1000       1.6923     0.043575   -3.5324e-07       1.6923
_SET1_   1452      5  148873896  148931115     77      10  1000     -0.50912      0.67302   -3.5324e-07     -0.50912
_SET1_   5528      6   42952218   42980083     47       5  1000      0.40668      0.30855   -3.5324e-07      0.40668
_SET1_   8321      7   90893783   90898132      4       1  1000     -0.34929      0.63125   -3.5324e-07     -0.34929
_SET1_   857       7  116164839  116201239     83       9  1000     -0.20958      0.55898   -3.5324e-07     -0.20958
_SET1_   5516      8   30643126   30670352     46       7  1000      0.32818      0.34024   -3.5324e-07      0.32818
_SET1_   10023    10   99079022   99081672      4       1  1000      0.43351      0.33108   -3.5324e-07      0.43351
_SET1_   23401    10   99092254   99094458      3       2  1000    -0.083168       0.5219   -3.5324e-07    -0.083168
_SET1_   7479     10  102222812  102243399     32       2  1000     -0.40021      0.63188   -3.5324e-07     -0.40021
_SET1_   5526     11   64692143   64701950     12       4  1000       1.5714     0.052512   -3.5324e-07       1.5714
_SET1_   4041     11   68080077   68216743    280      20  1000    -0.044459      0.49687   -3.5324e-07    -0.044459
_SET1_   5519     11  111597632  111637169     31       7  1000    -0.057889      0.50475   -3.5324e-07    -0.057888
_SET1_   4040     12   12268959   12419811    194      16  1000     -0.10082       0.5189   -3.5324e-07     -0.10082
_SET1_   5529     14   63839838   64010095    385      19  1000     -0.52056      0.67127   -3.5324e-07     -0.52056
_SET1_   5527     14  102226910  102394329    354      32  1000       1.4587     0.065353   -3.5324e-07       1.4587
_SET1_   8312     16     337440     405244    219      21  1000      0.77888       0.2072   -3.5324e-07      0.77888
_SET1_   1856     17    7128661    7137867     11       3  1000      0.78533      0.20871   -3.5324e-07      0.78533
_SET1_   1455     19    1941148    1981337    134      12  1000      0.47271      0.30032   -3.5324e-07      0.47271
_SET1_   5518     19   52693055   52729678     93       9  1000        1.192      0.10471   -3.5324e-07        1.192
