# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SANDERSON_PPARA_TARGETS (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 5.85616e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1376      1   53662101   53679869     23       4  1000     -0.64862      0.72517   -4.1723e-06     -0.64861
_SET1_   34        1   76190043   76229355    113       8  1000       1.7374     0.035708   -4.1723e-06       1.7374
_SET1_   3158      1  120290619  120311555     42       8  1000       1.8341     0.029508   -4.1723e-06       1.8341
_SET1_   50486     1  209848670  209849735      3       2  1000      0.42762      0.31826   -4.1723e-06      0.42763
_SET1_   1962      3  184908412  184971886    104      11  1000        1.684     0.039323   -4.1723e-06        1.684
_SET1_   2110      4  159593277  159629842     17       5  1000       1.1586      0.11331   -4.1723e-06       1.1586
_SET1_   3295      5  118788138  118878030    212      18  1000       1.8503     0.027702   -4.1723e-06       1.8503
_SET1_   948       7   80231504   80308593    198      12  1000      0.40816       0.3173   -4.1723e-06      0.40816
_SET1_   1666      8   91013580   91064232    111      10  1000     -0.63742      0.71276   -4.1723e-06     -0.63742
_SET1_   26063    16     451858     462487     22       3  1000     0.071965      0.45153   -4.1723e-06     0.071969
_SET1_   1632     16    2289873    2302296     28       4  1000      0.48807      0.29229   -4.1723e-06      0.48807
_SET1_   224      17   19552064   19580908     37       4  1000       1.2305     0.099248   -4.1723e-06       1.2305
_SET1_   26291    19   49258816   49261587      8       3  1000       1.5567     0.055406   -4.1723e-06       1.5567
_SET1_   10005    20   44470360   44486048     32       8  1000       1.1648      0.11118   -4.1723e-06       1.1648
_SET1_   1375     22   51007290   51017096     37       7  1000       1.4614     0.063167   -4.1723e-06       1.4614
