# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = CHANDRAN_METASTASIS_TOP50_UP (set)
# _SET1_  NGENES = 34
# _SET1_  P-VALUE = 4.71171e-07
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   205           1   65613232   65697828    164      13  1000     0.028302      0.46838   -2.5915e-06     0.028305
_SET1_   64710         1  205681947  205719372     45       8  1000      0.96724      0.15686   -2.5915e-06      0.96724
_SET1_   359948        1  234740015  234745271     10       4  1000       1.2803     0.094978   -2.5915e-06       1.2803
_SET1_   3329          2  198351308  198364998     14       3  1000      -1.2182       0.8796   -2.5915e-06      -1.2181
_SET1_   7366          4   69512315   69536494     79      18  1000        3.321   0.00041221   -2.5915e-06        3.321
_SET1_   10409         5   17216932   17276954     78      14  1000     -0.22708      0.57648   -2.5915e-06     -0.22708
_SET1_   10146         5  151151476  151184915     47       4  1000      0.26421      0.37291   -2.5915e-06      0.26422
_SET1_   23367         5  154062224  154197167    119      12  1000      -1.6576       0.9468   -2.5915e-06      -1.6576
_SET1_   25998         6   82879956   82957448    156       6  1000      0.27879      0.36166   -2.5915e-06      0.27879
_SET1_   5898          7   39663152   39747723    121      13  1000     -0.19567      0.55954   -2.5915e-06     -0.19567
_SET1_   94239         7   44866488   44887725     39       5  1000     -0.84342      0.78614   -2.5915e-06     -0.84342
_SET1_   55904         7  104654637  104754532    109       5  1000      0.98936      0.14526   -2.5915e-06      0.98936
_SET1_   55798         7  128116783  128142978     62      12  1000    0.0074658      0.48485   -2.5915e-06    0.0074684
_SET1_   57189         7  141356528  141401953     63       6  1000       0.4385      0.31256   -2.5915e-06       0.4385
_SET1_   26986         8  101715144  101734969     24       4  1000      0.84196      0.18637   -2.5915e-06      0.84196
_SET1_   2907          8  145064226  145067596      3       1  1000      0.58456      0.26386   -2.5915e-06      0.58456
_SET1_   55035         9   95059640   95087876     28       5  1000      0.67956      0.23567   -2.5915e-06      0.67956
_SET1_   10807         9  139296374  139305054     39       7  1000      0.36718      0.34118   -2.5915e-06      0.36718
_SET1_   10658        11   47487489   47574792     57       8  1000      0.47404      0.30208   -2.5915e-06      0.47405
_SET1_   51111        11   67922330   67981250     72       6  1000      0.56939      0.26597   -2.5915e-06      0.56939
_SET1_   10376        12   49521565   49525304      7       1  1000     0.075009      0.44757   -2.5915e-06     0.075012
_SET1_   5094         12   53845886   53874946     18       4  1000      0.77799      0.20602   -2.5915e-06      0.77799
_SET1_   100289635    12  133498019  133532908     27       6  1000       1.7714     0.034964   -2.5915e-06       1.7714
_SET1_   7528         14  100705102  100745371     45       4  1000     -0.17708       0.5463   -2.5915e-06     -0.17708
_SET1_   3320         14  102547075  102606086     85       9  1000      0.19439      0.40695   -2.5915e-06       0.1944
_SET1_   57532        17   27582854   27621166     66       8  1000      -0.8975      0.80331   -2.5915e-06      -0.8975
_SET1_   28964        17   27900487   27916610     16       3  1000    -0.068397      0.50752   -2.5915e-06    -0.068394
_SET1_   124540       17   55333931   55762050    915     126  1000       1.5647     0.065315   -2.5915e-06       1.5647
_SET1_   51155        17   73131343   73150775     15       3  1000       0.2798      0.37222   -2.5915e-06       0.2798
_SET1_   2885         17   73314157   73401790    168       7  1000       -0.664      0.72362   -2.5915e-06       -0.664
_SET1_   8535         17   77806955   77813222     10       4  1000       1.2036      0.10832   -2.5915e-06       1.2036
_SET1_   84914        19   58331011   58379953    104      13  1000      0.26037      0.38123   -2.5915e-06      0.26037
_SET1_   6647         21   33031935   33041244     11       3  1000       2.2381     0.011449   -2.5915e-06       2.2382
_SET1_   10521        22   38879443   38903622     21       4  1000        -1.24      0.88522   -2.5915e-06        -1.24
