# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION (set)
# _SET1_  NGENES = 29
# _SET1_  P-VALUE = 2.71043e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3065      1   32757708   32799227     22       2  1000    -0.058824      0.49961   -1.0302e-05    -0.058814
_SET1_   5928      1   33116749   33151812     84       5  1000     -0.19604      0.55689   -1.0302e-05     -0.19603
_SET1_   64769     1   37955561   37980420     53       9  1000       1.0944       0.1294   -1.0302e-05       1.0944
_SET1_   57459     1  153777201  153895451    156       9  1000    -0.054775      0.50592   -1.0302e-05    -0.054765
_SET1_   10000     1  243651535  244014381    354      13  1000      0.19992      0.40678   -1.0302e-05      0.19993
_SET1_   84289     2  242641456  242668896    110      13  1000       1.9172     0.025728   -1.0302e-05       1.9172
_SET1_   7862      3    9773413    9789699     17       6  1000      0.36706      0.34293   -1.0302e-05      0.36708
_SET1_   3622      4  184426220  184433422     12       5  1000       2.5616    0.0046551   -1.0302e-05       2.5616
_SET1_   27154     6   36164408   36200567     27       5  1000      0.68443      0.23372   -1.0302e-05      0.68444
_SET1_   3066      6  114257320  114292359     53       9  1000       1.4367     0.070555   -1.0302e-05       1.4367
_SET1_   7994      8   41786997   41909506    129       9  1000     -0.15728      0.54671   -1.0302e-05     -0.15727
_SET1_   5305     10   22823766   23003503    413      21  1000    -0.084505      0.52498   -1.0302e-05    -0.084495
_SET1_   9219     11   62360675   62369312      9       1  1000     -0.59382       0.7051   -1.0302e-05     -0.59381
_SET1_   1108     12    6679248    6716551     65       6  1000      0.19033      0.40681   -1.0302e-05      0.19034
_SET1_   79837    12   57984942   57997211     10       4  1000       1.6901     0.041689   -1.0302e-05       1.6901
_SET1_   90809    14   20926012   20929637      3       2  1000     -0.45478      0.65877   -1.0302e-05     -0.45477
_SET1_   207      14  105235686  105262080     65      15  1000       -1.426      0.91951   -1.0302e-05       -1.426
_SET1_   5371     15   74287014   74340160    106       9  1000       1.0928      0.12913   -1.0302e-05       1.0928
_SET1_   29117    16   50352929   50402845     90       9  1000     -0.43276      0.65363   -1.0302e-05     -0.43275
_SET1_   7157     17    7571720    7590868     39       8  1000       1.7882     0.033954   -1.0302e-05       1.7882
_SET1_   1107     17    7788096    7816075     18       6  1000       0.6539      0.24479   -1.0302e-05      0.65391
_SET1_   8396     17   36921944   36956218     65      12  1000       2.1048     0.016382   -1.0302e-05       2.1048
_SET1_   5608     17   67410838   67538470    287      37  1000     -0.19792      0.58084   -1.0302e-05     -0.19791
_SET1_   53615    19    1576670    1592760     23       4  1000     -0.30632      0.60325   -1.0302e-05     -0.30631
_SET1_   5300     19    9945883    9960365     24       6  1000      0.74027      0.21809   -1.0302e-05      0.74028
_SET1_   54815    19   19496642   19619741    144       8  1000       1.1741      0.11183   -1.0302e-05       1.1741
_SET1_   208      19   40736224   40791443     75       8  1000     -0.30615      0.60509   -1.0302e-05     -0.30614
_SET1_   2033     22   41488614   41576081    128      10  1000    -0.097473      0.52403   -1.0302e-05    -0.097463
_SET1_   23774    22   50166931   50221196    116      11  1000       0.3033      0.36686   -1.0302e-05      0.30331
