# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
79501        1      69091      70008      1       1  1000      0.97035   -1.0256e-06      0.97035
100996442    1     142447     174392      1       1  1000     -0.55865   -1.0256e-06     -0.55865
148398       1     859993     879961     74      17  1000       1.1295   -1.0256e-06       1.1295
26155        1     879583     894679     36       4  1000     -0.18527   -1.0256e-06     -0.18527
339451       1     895967     901099     30       6  1000     -0.41456   -1.0256e-06     -0.41456
84069        1     901872     910488     37      14  1000       1.7088   -1.0256e-06       1.7088
84808        1     910579     917473     18       4  1000       0.2433   -1.0256e-06       0.2433
57801        1     934342     936608      4       2  1000      -1.1093   -1.0256e-06      -1.1093
9636         1     948847     949920      5       2  1000      0.39509   -1.0256e-06      0.39509
375790       1     955503     991499    104      11  1000     -0.36584   -1.0256e-06     -0.36584
401934       1    1007126    1009687      5       2  1000      0.20892   -1.0256e-06      0.20892
54991        1    1017198    1051736    107       9  1000      0.23259   -1.0256e-06      0.23259
254173       1    1109286    1133315    121      13  1000       2.6903   -1.0256e-06       2.6903
8784         1    1138888    1142163      7       1  1000        1.503   -1.0256e-06        1.503
7293         1    1146706    1149703      6       2  1000      0.81255   -1.0256e-06      0.81255
51150        1    1152288    1167447     89       4  1000       0.6957   -1.0256e-06      0.69571
126792       1    1167629    1170421      3       2  1000       1.4761   -1.0256e-06       1.4761
388581       1    1177826    1182102      9       2  1000       1.7427   -1.0256e-06       1.7427
118424       1    1189292    1209234     24       5  1000       1.4389   -1.0256e-06       1.4389
6339         1    1215816    1227409     42      17  1000       2.3932   -1.0256e-06       2.3932
116983       1    1227764    1243304     54      11  1000       2.7377   -1.0256e-06       2.7377
126789       1    1243962    1247057      2       1  1000      -0.8874   -1.0256e-06      -0.8874
54973        1    1246965    1260067     18       5  1000       1.2587   -1.0256e-06       1.2587
80772        1    1260136    1264276      9       2  1000       0.1781   -1.0256e-06      0.17811
83756        1    1266726    1269844      6       3  1000       1.1487   -1.0256e-06       1.1487
1855         1    1270658    1284509     32       6  1000      0.30895   -1.0256e-06      0.30895
54587        1    1288071    1297183     26       5  1000      0.48651   -1.0256e-06      0.48651
54998        1    1309110    1310818      3       2  1000       1.7416   -1.0256e-06       1.7416
81669        1    1321091    1334718     16       5  1000    -0.069351   -1.0256e-06     -0.06935
55052        1    1337276    1342693     10       4  1000      0.74778   -1.0256e-06      0.74778
441869       1    1353800    1356824      7       2  1000        1.109   -1.0256e-06        1.109
