# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BONCI_TARGETS_OF_MIR15A_AND_MIR16_1 (set)
# _SET1_  NGENES = 91
# _SET1_  P-VALUE = 6.18137e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10277      1   10093041   10241297    139      20  1000        1.368       0.0853   -4.3772e-06        1.368
_SET1_   3339       1   22148737   22263750    219      26  1000      0.31844      0.37331   -4.3772e-06      0.31844
_SET1_   998        1   22379120   22419439     38       7  1000    -0.096011      0.52577   -4.3772e-06    -0.096006
_SET1_   7798       1   23410516   23504301    131      12  1000     -0.13047      0.53425   -4.3772e-06     -0.13047
_SET1_   192670     1   36273231   36323491     32       5  1000       0.8036      0.20501   -4.3772e-06      0.80361
_SET1_   23499      1   39549839   39952810    557      21  1000     -0.66209      0.72774   -4.3772e-06     -0.66209
_SET1_   7482       1  113010040  113063910    107      18  1000       2.2095     0.013042   -4.3772e-06       2.2095
_SET1_   9191       1  161090767  161103192      7       2  1000      0.18288       0.4118   -4.3772e-06      0.18288
_SET1_   7832       1  203274664  203278730     10       4  1000     0.050671      0.47267   -4.3772e-06     0.050675
_SET1_   83593      1  206680866  206762616    159      25  1000     -0.35866      0.63755   -4.3772e-06     -0.35866
_SET1_   89780      1  228194723  228248972     87      10  1000      0.52901      0.28542   -4.3772e-06      0.52902
_SET1_   10000      1  243651535  244014381    354      13  1000       1.6767     0.040122   -4.3772e-06       1.6767
_SET1_   85465      2   26568954   26618759     88       7  1000       0.6352      0.24217   -4.3772e-06       0.6352
_SET1_   5013       2   63277192   63284966      4       2  1000      -0.5456      0.69584   -4.3772e-06      -0.5456
_SET1_   56603      2   72356367   72374991     25       5  1000      0.42468      0.32752   -4.3772e-06      0.42469
_SET1_   92         2  148602086  148688396     76       7  1000     -0.11081      0.52083   -4.3772e-06     -0.11081
_SET1_   9874       2  171847333  172087824    531      17  1000     -0.61614      0.70708   -4.3772e-06     -0.61614
_SET1_   25843      2  198380295  198418423     34       3  1000        1.336     0.079872   -4.3772e-06        1.336
_SET1_   10290      2  220299552  220358354     70      10  1000      0.17802      0.41255   -4.3772e-06      0.17802
_SET1_   993        3   48198668   48230153     18       2  1000     -0.07786      0.50722   -4.3772e-06    -0.077856
_SET1_   5576       3   48784017   48885270     42       4  1000     -0.67905      0.73241   -4.3772e-06     -0.67905
_SET1_   7881       3  155838337  156256927    793      57  1000       1.3342     0.096915   -4.3772e-06       1.3343
