# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SESTO_RESPONSE_TO_UV_C1 (set)
# _SET1_  NGENES = 71
# _SET1_  P-VALUE = 1.00805e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3065      1   32757708   32799227     22       2  1000     -0.41651       0.7114   -4.0144e-06      -0.4165
_SET1_   3491      1   86046444   86049650      3       1  1000      -0.4323       0.6478   -4.0144e-06     -0.43229
_SET1_   1266      1   95362507   95392735     85      17  1000      -1.6308      0.94595   -4.0144e-06      -1.6308
_SET1_   5686      1  109941653  109969108     32       4  1000      0.12514      0.42834   -4.0144e-06      0.12514
_SET1_   6703      1  153012201  153013594      4       1  1000     -0.45304      0.65368   -4.0144e-06     -0.45304
_SET1_   6700      1  153028596  153029988      1       1  1000     -0.70111       0.7455   -4.0144e-06     -0.70111
_SET1_   6704      1  153065611  153067001      2       1  1000   0.00086717      0.50745   -4.0144e-06   0.00087118
_SET1_   6278      1  153430220  153436559      5       2  1000     -0.13929      0.54939   -4.0144e-06     -0.13929
_SET1_   8682      1  160175125  160185162      2       1  1000      0.66627      0.24299   -4.0144e-06      0.66628
_SET1_   481       1  169075947  169101960    108      18  1000     0.074227      0.45214   -4.0144e-06     0.074231
_SET1_   2752      1  182350839  182361341     22       3  1000     -0.28465      0.58534   -4.0144e-06     -0.28464
_SET1_   3775      1  233749750  233808258    156      29  1000       1.1852      0.11259   -4.0144e-06       1.1852
_SET1_   1653      2   15731745   15771235    108       8  1000    -0.055112      0.49617   -4.0144e-06    -0.055108
_SET1_   23190     2  136499189  136542633     76       7  1000       1.2101      0.10222   -4.0144e-06       1.2102
_SET1_   2591      2  166604313  166650803     47       5  1000       1.4468     0.064036   -4.0144e-06       1.4468
_SET1_   10920     2  237993870  238007489     17       4  1000      0.28096      0.39042   -4.0144e-06      0.28096
_SET1_   4071      3  149086805  149095647     19       3  1000      0.17981      0.41333   -4.0144e-06      0.17982
_SET1_   6047      4    2470795    2517586    113      17  1000      -1.4776      0.92533   -4.0144e-06      -1.4776
_SET1_   5515      5  133532148  133561950     71       3  1000     -0.51722      0.67376   -4.0144e-06     -0.51722
_SET1_   2107      5  137841782  137878989     45       7  1000     -0.74953      0.75642   -4.0144e-06     -0.74953
_SET1_   7322      5  138940751  139008019     45       5  1000       0.9318      0.16552   -4.0144e-06      0.93181
_SET1_   10318     5  150409504  150467221    163      28  1000      -0.1269      0.54366   -4.0144e-06      -0.1269
_SET1_   1460      6   31632995   31637844     10       4  1000     -0.30776      0.60963   -4.0144e-06     -0.30775
_SET1_   1026      6   36644237   36655116     32       7  1000     -0.66692      0.73435   -4.0144e-06     -0.66691
_SET1_   5292      6   37137922   37143204      6       2  1000      0.33881      0.35916   -4.0144e-06      0.33881
_SET1_   6903      6   42712234   42713884      1       1  1000     -0.40145       0.6823   -4.0144e-06     -0.40144
_SET1_   1490      6  132269316  132272518      1       1  1000      0.28005       0.4165   -4.0144e-06      0.28006
_SET1_   7128      6  138188325  138204451     22       4  1000       3.0832   0.00091469   -4.0144e-06       3.0833
_SET1_   6648      6  160100148  160114353     35       4  1000     -0.91033       0.7984   -4.0144e-06     -0.91033
_SET1_   7458      7   73588706   73611429     15       4  1000     0.032764      0.49038   -4.0144e-06     0.032768
_SET1_   5701      7  102984852  103009842     24       5  1000      0.55514      0.28554   -4.0144e-06      0.55515
_SET1_   10135     7  105888731  105926373     54       7  1000      -0.3014      0.59539   -4.0144e-06     -0.30139
_SET1_   526       8   20054704   20079207     37       8  1000       1.3363     0.084623   -4.0144e-06       1.3363
_SET1_   5520      8   26149007   26230196     99      12  1000       1.2488     0.096376   -4.0144e-06       1.2488
_SET1_   6674      8  101170263  101254132    163      12  1000     -0.23965      0.56655   -4.0144e-06     -0.23965
_SET1_   9414      9   71714875   71870124    396      23  1000       1.6183     0.045386   -4.0144e-06       1.6183
_SET1_   1318      9  115913238  115926422     60      10  1000       1.1158      0.12183   -4.0144e-06       1.1158
_SET1_   3934      9  130911732  130915734      4       2  1000       0.8155      0.20009   -4.0144e-06       0.8155
_SET1_   7417     10   76969912   76991206     32       6  1000      0.58749      0.26627   -4.0144e-06       0.5875
_SET1_   3434     10   91152303   91166244     21       4  1000      0.88101      0.17588   -4.0144e-06      0.88102
_SET1_   1847     10  112257625  112271302     15       2  1000      0.21567      0.39162   -4.0144e-06      0.21567
