# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_G_PROTEIN_ACTIVATION (set)
# _SET1_  NGENES = 27
# _SET1_  P-VALUE = 6.40534e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2782       1    1716725    1822552    112      10  1000      0.18573      0.40865    3.9574e-06      0.18572
_SET1_   55970      1   68167149   68299436    245      26  1000      0.67177      0.24332    3.9574e-06      0.67177
_SET1_   2787       1   84964006   84972262     15       4  1000      -1.0882      0.85303    3.9574e-06      -1.0882
_SET1_   2773       1  110091186  110138465     47       6  1000        1.829     0.030418    3.9574e-06        1.829
_SET1_   2780       1  110145889  110155705     14       4  1000       1.1525      0.12007    3.9574e-06       1.1525
_SET1_   2786       1  235710985  235814054    316      28  1000       2.2954      0.01047    3.9574e-06       2.2954
_SET1_   5443       2   25383722   25391559     14       6  1000      0.67737      0.24203    3.9574e-06      0.67737
_SET1_   2779       3   50229043   50235129      3       1  1000        1.528     0.063501    3.9574e-06        1.528
_SET1_   2771       3   50264120   50296786     30       6  1000      0.38816      0.32435    3.9574e-06      0.38816
_SET1_   59345      3  179113876  179169371     96      14  1000      0.87049      0.18397    3.9574e-06      0.87049
_SET1_   4988       6  154331631  154568001    576      41  1000      0.84697      0.19597    3.9574e-06      0.84697
_SET1_   2770       7   79764140   79848725    150      22  1000      0.28068      0.37916    3.9574e-06      0.28068
_SET1_   346562     7   80087987   80141242    118      15  1000     -0.21898      0.56498    3.9574e-06     -0.21898
_SET1_   2792       7   93535820   93540485     12       3  1000       0.8689      0.18601    3.9574e-06      0.86889
_SET1_   2791       7   93551016   93555826     10       4  1000      0.23097      0.40448    3.9574e-06      0.23097
_SET1_   2783       7  100271363  100276792      2       1  1000       2.3778    0.0089015    3.9574e-06       2.3778
_SET1_   2790       9  114423851  114432526     30       6  1000     -0.37133      0.63335    3.9574e-06     -0.37134
_SET1_   2784      12    6949375    6956564      2       1  1000    -0.008532      0.51266    3.9574e-06    -0.008536
_SET1_   54331     14   52327022   52436518    376      40  1000     -0.54901      0.70775    3.9574e-06     -0.54901
_SET1_   10681     15   52413123   52483565    151      14  1000      -0.4086      0.63817    3.9574e-06      -0.4086
_SET1_   51764     16     848041     850733     15       5  1000      0.87121      0.17939    3.9574e-06       0.8712
_SET1_   2775      16   56225251   56391356    313      31  1000    0.0010252      0.49316    3.9574e-06    0.0010212
_SET1_   2793      17   47283596   47287936     11       4  1000       1.6992     0.042862    3.9574e-06       1.6992
_SET1_   2788      19    2511218    2702746    747      95  1000      0.21484      0.46141    3.9574e-06      0.21483
_SET1_   94235     19   47137333   47137939      2       1  1000     -0.62028      0.73634    3.9574e-06     -0.62028
_SET1_   5173      20    1959402    1974931     44       9  1000      0.91612      0.16841    3.9574e-06      0.91612
_SET1_   2781      22   23412669   23467224     99       9  1000      0.13345      0.42958    3.9574e-06      0.13345
