# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = CROMER_TUMORIGENESIS_DN (set)
# _SET1_  NGENES = 46
# _SET1_  P-VALUE = 4.71413e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5226      1   10458884   10480565     32       3  1000       1.9032     0.024949    -2.638e-06       1.9033
_SET1_   5320      1   20301924   20306932     11       4  1000       2.2139     0.011947    -2.638e-06       2.2139
_SET1_   1893      1  150480487  150486265      9       3  1000       1.1499      0.11486    -2.638e-06       1.1499
_SET1_   8991      1  151336778  151345210     12       5  1000      0.79698      0.19768    -2.638e-06      0.79698
_SET1_   4582      1  155158300  155162768      2       1  1000      0.62751      0.25013    -2.638e-06      0.62751
_SET1_   223       1  165631449  165667900    140      13  1000      0.97561      0.14966    -2.638e-06      0.97562
_SET1_   4118      2   95691400   95719737      9       2  1000        1.446     0.068061    -2.638e-06        1.446
_SET1_   3557      2  113868693  113891593     94       6  1000       1.9963     0.020016    -2.638e-06       1.9963
_SET1_   4632      2  211154868  211179895     40       4  1000      -1.3003      0.89294    -2.638e-06      -1.3003
_SET1_   54657     2  234627438  234681945    140      10  1000       1.8579     0.027868    -2.638e-06       1.8579
_SET1_   7123      3   45067759   45077563     29       2  1000     -0.57943       0.7006    -2.638e-06     -0.57943
_SET1_   23218     3   47021173   47051194     45       6  1000     -0.18968      0.55408    -2.638e-06     -0.18968
_SET1_   347       3  195295573  195311076     54      11  1000       0.6485      0.24065    -2.638e-06      0.64851
_SET1_   4585      3  195473636  195539148    346      25  1000       1.7283     0.037999    -2.638e-06       1.7283
_SET1_   6286      4    6695566    6698897     14       2  1000      -1.1453      0.86387    -2.638e-06      -1.1453
_SET1_   84525     4   57514154   57547874    103      15  1000        1.024      0.13895    -2.638e-06        1.024
_SET1_   131       4  100333418  100356667     58      13  1000      0.44818      0.30628    -2.638e-06      0.44818
_SET1_   11005     5  147443535  147516925    348      13  1000      -0.2339      0.57414    -2.638e-06      -0.2339
_SET1_   2762      6    1624035    2245868   1343      91  1000     -0.28187      0.62183    -2.638e-06     -0.28187
_SET1_   3119      6   32627241   32634466    630      24  1000       1.2591     0.099038    -2.638e-06       1.2591
_SET1_   5764      7  136912088  137028606    244      36  1000       1.9987     0.020129    -2.638e-06       1.9987
_SET1_   1191      8   27454434   27472328     35       6  1000    -0.011447       0.4817    -2.638e-06    -0.011445
_SET1_   6422      8   41119476   41166990    102      11  1000     0.089197      0.43996    -2.638e-06       0.0892
_SET1_   8000      8  143751726  143764145     59       3  1000       2.3762    0.0074613    -2.638e-06       2.3762
_SET1_   360       9   33441152   33447631     14       5  1000      -1.1933      0.87275    -2.638e-06      -1.1933
_SET1_   10020     9   36214438   36277053    127       9  1000      0.26613      0.37407    -2.638e-06      0.26613
_SET1_   5730      9  139871898  139876194      3       1  1000       1.8666      0.02835    -2.638e-06       1.8666
_SET1_   4477     10   51549553   51562517     30       4  1000      0.45242      0.30878    -2.638e-06      0.45242
_SET1_   4925     11   17281884   17371510    133      13  1000      0.22562      0.38773    -2.638e-06      0.22563
_SET1_   6588     11  107578101  107582787      4       1  1000      -1.0635      0.84592    -2.638e-06      -1.0635
_SET1_   2012     12   13349602   13369708     40      11  1000       -1.744      0.95412    -2.638e-06       -1.744
_SET1_   57228    12   51639133   51664202     48       5  1000     0.062392      0.45635    -2.638e-06     0.062395
_SET1_   3851     12   53200327   53207900     16       4  1000      -1.4988      0.92681    -2.638e-06      -1.4988
_SET1_   8796     13   78109809   78219398    193      21  1000      0.21559      0.39506    -2.638e-06      0.21559
_SET1_   5493     16    4932508    4987136    180      28  1000     -0.44433      0.65346    -2.638e-06     -0.44433
_SET1_   4629     16   15796992   15950887    474      53  1000    -0.078477      0.51781    -2.638e-06    -0.078474
_SET1_   1339     16   31439052   31439749      2       1  1000      -1.1826      0.87806    -2.638e-06      -1.1826
_SET1_   4620     17   10424465   10453017     58       6  1000      0.67158      0.23477    -2.638e-06      0.67158
_SET1_   218      17   19641297   19651746     12       3  1000       1.0847      0.12781    -2.638e-06       1.0847
_SET1_   3860     17   39657233   39661865     11       3  1000       2.2516      0.01113    -2.638e-06       2.2516
_SET1_   3866     17   39669997   39678033     13       2  1000       1.7836     0.033369    -2.638e-06       1.7836
_SET1_   1048     19   42212530   42234437     40       6  1000     -0.15775       0.5405    -2.638e-06     -0.15775
_SET1_   4680     19   42259398   42276113     30       4  1000      -1.2506      0.88361    -2.638e-06      -1.2506
_SET1_   634      19   43011458   43032661     29       4  1000      0.64457      0.25061    -2.638e-06      0.64458
_SET1_   7053     20    2276613    2321725    114      15  1000     -0.24304      0.57373    -2.638e-06     -0.24303
_SET1_   7033     21   43731777   43735706      7       3  1000     -0.99164      0.82663    -2.638e-06     -0.99164
