# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_DN (set)
# _SET1_  NGENES = 31
# _SET1_  P-VALUE = 9.0111e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10136     1   22328149   22339035     74      12  1000      0.60194      0.26531   -3.3728e-06      0.60194
_SET1_   1301      1  103342023  103574052    682      27  1000      0.45848      0.31338   -3.3728e-06      0.45849
_SET1_   4807      1  160336861  160342638      9       2  1000     -0.35621      0.62769   -3.3728e-06      -0.3562
_SET1_   8837      2  201980877  202037411     70       5  1000      0.41248      0.32988   -3.3728e-06      0.41248
_SET1_   54738     2  219845809  219850379      3       1  1000       1.3876     0.068946   -3.3728e-06       1.3876
_SET1_   10803     3   45927996   45944667     33       8  1000     -0.46183      0.66843   -3.3728e-06     -0.46182
_SET1_   8692      3   50355221   50360281      4       2  1000      0.59011      0.26352   -3.3728e-06      0.59011
_SET1_   2201      5  127593601  127873735    478      29  1000       1.7269     0.040588   -3.3728e-06       1.7269
_SET1_   27241     7   33169144   33645680   1175      40  1000       1.4589     0.069636   -3.3728e-06       1.4589
_SET1_   2737      7   42000547   42277469    594      59  1000       0.5184      0.30729   -3.3728e-06       0.5184
_SET1_   165       7   44143960   44154164     17       4  1000       1.3908     0.079372   -3.3728e-06       1.3908
_SET1_   10234     7  102553344  102585558     37       6  1000     -0.85567      0.79282   -3.3728e-06     -0.85567
_SET1_   4956      8  103563848  103573245     50       7  1000     -0.30067      0.60837   -3.3728e-06     -0.30066
_SET1_   10221     8  126442563  126450647     17       7  1000       1.6982     0.043104   -3.3728e-06       1.6982
_SET1_   10280     9   34634719   34637805      2       1  1000       1.0407       0.1436   -3.3728e-06       1.0407
_SET1_   7054     11    2185159    2193107     22       5  1000     -0.36255      0.63187   -3.3728e-06     -0.36254
_SET1_   2950     11   67351066   67354125      9       2  1000       0.3207      0.36566   -3.3728e-06       0.3207
_SET1_   472      11  108093559  108239829    153       5  1000      0.68453      0.23745   -3.3728e-06      0.68454
_SET1_   4753     12   44902058   45307711    893      40  1000      0.42397      0.33025   -3.3728e-06      0.42397
_SET1_   3853     12   52880958   52887181     35       5  1000      0.79229       0.2072   -3.3728e-06      0.79229
_SET1_   12       14   95078639   95090395     25       7  1000       3.1533    0.0007457   -3.3728e-06       3.1533
_SET1_   4130     15   43803165   43823818     16       3  1000     -0.20792      0.56984   -3.3728e-06     -0.20791
_SET1_   4313     16   55513081   55540586     81       9  1000      0.61463      0.26266   -3.3728e-06      0.61463
_SET1_   1006     16   61681169   62070939    738      47  1000     -0.22974      0.58911   -3.3728e-06     -0.22974
_SET1_   6354     17   32597235   32599261      3       2  1000      -0.5554      0.69729   -3.3728e-06      -0.5554
_SET1_   9772     17   73452664   73496533     68       8  1000      -0.7703      0.76935   -3.3728e-06      -0.7703
_SET1_   1068     18     580369     581524      4       2  1000      0.26221      0.38637   -3.3728e-06      0.26221
_SET1_   2525     19    5842899    5851485     23       5  1000      -0.6123      0.72258   -3.3728e-06      -0.6123
_SET1_   5680     19   43511809   43530658     78       4  1000     -0.67027      0.74043   -3.3728e-06     -0.67026
_SET1_   10326    20    1545029    1600720     67       9  1000      0.37361      0.34649   -3.3728e-06      0.37361
_SET1_   3985     22   31608225   31676066    109      14  1000      -2.2635      0.98739   -3.3728e-06      -2.2635
