# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SA_PTEN_PATHWAY (set)
# _SET1_  NGENES = 17
# _SET1_  P-VALUE = 3.10016e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5293      1    9711789    9789172    108      20  1000      0.40772      0.33361   -6.6238e-06      0.40772
_SET1_   6464      1  154934774  154946959      7       1  1000  -7.9882e-05      0.48371   -6.6238e-06  -7.3258e-05
_SET1_   10380     1  220230824  220263249     49       9  1000     -0.01001      0.49187   -6.6238e-06    -0.010004
_SET1_   10000     1  243651535  244014381    354      13  1000       1.5616     0.052659   -6.6238e-06       1.5616
_SET1_   6654      2   39208690   39347686    248      10  1000      0.82686      0.19193   -6.6238e-06      0.82686
_SET1_   5290      3  178866311  178952500    126       9  1000     -0.82391      0.78078   -6.6238e-06      -0.8239
_SET1_   26034     6  154475618  154677900    516      46  1000       1.8548     0.031852   -6.6238e-06       1.8548
_SET1_   2185      8   27168999   27316908    339      17  1000       5.4201   6.8575e-13   -6.6238e-06       5.4201
_SET1_   5728     10   89623195   89728532     48       9  1000        1.202      0.10782   -6.6238e-06        1.202
_SET1_   3611     11    6624938    6632105     24       3  1000     -0.86842      0.79086   -6.6238e-06     -0.86841
_SET1_   207      14  105235686  105262080     65      15  1000      0.92043      0.17224   -6.6238e-06      0.92044
_SET1_   5170     16    2587965    2653191     21       3  1000      0.69005      0.23387   -6.6238e-06      0.69005
_SET1_   5595     16   30125426   30134630      7       3  1000       2.1376      0.01476   -6.6238e-06       2.1376
_SET1_   5934     16   53468351   53525560     95       6  1000       0.7796      0.19862   -6.6238e-06       0.7796
_SET1_   2885     17   73314157   73401790    168       7  1000       1.7671     0.033821   -6.6238e-06       1.7671
_SET1_   208      19   40736224   40791443     75       8  1000     -0.20721      0.56384   -6.6238e-06      -0.2072
_SET1_   5594     22   22113946   22221970    175      13  1000      0.73997      0.21451   -6.6238e-06      0.73998

# _SET2_  VARIABLE = REACTOME_VITAMIN_B1_THIAMIN_METABOLISM (set)
# _SET2_  NGENES = 5
# _SET2_  P-VALUE = 6.7663e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   10560     1  169433147  169455208     39      11  1000      0.99635      0.15329   -6.6238e-06      0.99636
_SET2_   80704     2  228549926  228582814    126      16  1000      0.25761      0.38606   -6.6238e-06      0.25762
_SET2_   27010     7  144149034  144533488    892      57  1000       2.0071     0.022911   -6.6238e-06       2.0071
_SET2_   79178    14   23980969   24028790     51      13  1000       1.2544       0.1007   -6.6238e-06       1.2544
_SET2_   60386    17   73269061   73285530     62       9  1000       1.4146     0.073552   -6.6238e-06       1.4146
